JASID,画面経度,画面緯度
1311203906,139.6084447,35.62630025
1311203907,139.6095248,35.6266142
1311203908,139.6107479,35.62564907
1311203909,139.6116795,35.62648051
1311204500,139.611984,35.63039
1311204700,139.621231,35.631836
1311204800,139.604996,35.64027
1311204900,139.620575,35.624981
1311205000,139.61863,35.62468385
1311205100,139.618622,35.621895
1311205200,139.620575,35.624981
1311205300,139.62178,35.660549
1311205400,139.619125,35.65461
1311205500,139.623856,35.652687
1311205600,139.619125,35.65461
1311205700,139.619995,35.666279
1311205800,139.633484,35.660751
1311205900,139.633484,35.660751
1311206000,139.631516,35.658089
1311206100,139.631516,35.658089
1311206200,139.641525,35.655247
1311206300,139.638824,35.658394
1311206400,139.641525,35.655247
1311206500,139.645782,35.658005
1311206600,139.638824,35.658394
1311206700,139.641525,35.655247
