JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
1311206800,13112,68,えんじょういんいせき,円乗院遺跡,世田谷区 代田二丁目,[縄文時代（早期）][弥生時代（後期）][古墳時代],集落,[弥生時代]住居 竪穴 [弥生時代][古墳時代]住居 溝,縄文土器 弥生土器 石器 土師器
1311207000,13112,70,ねづやまいせき,根津山遺跡,世田谷区 代田四丁目 松原六丁目,[旧石器時代][縄文時代（草創期～中期）][近世],集落,,
1311207200,13112,72,だいたにしまるいせき,代田西丸遺跡,世田谷区 代田四丁目,[縄文時代],包蔵地,,石棒
1311207300,13112,73,ひがしおおはらいせき,東大原遺跡,世田谷区 大原一丁目 代田六丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311207400,13112,74,まもりやまいせき,守山遺跡,世田谷区 代田六丁目,[縄文時代（中期）][弥生時代],包蔵地,,縄文土器 石器 弥生土器
1311207500,13112,75,めいだいまええきいせき,明大前駅遺跡,世田谷区 松原一丁目,[縄文時代（後期）][近世],集落,[縄文時代]竪穴 土坑 ピット [近世]井戸,縄文土器 石器
1311207600,13112,76,まつばらはねぎどおりいせき,松原羽根木通遺跡,世田谷区 羽根木二丁目 松原一丁目 松原五丁目,[縄文時代（早期～晩期）][近世],集落,[縄文時代]住居 掘立柱建物 竪穴 炉 焼土 土坑 ピット [近世]建物 溝,尖頭器 縄文土器 石器 石製品 陶磁器
1311207700,13112,77,まつばらしょうがっこういせき,松原小学校遺跡,世田谷区 松原五丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器 石器 石棒 石剣 土偶
1311207800,13112,78,うめがおかおうけつ,梅ヶ丘横穴,世田谷区 代田四丁目,[古墳時代],横穴墓,1基,ガラス製小玉 人骨
1311207900,13112,79,はねぎやまだていまえいせき,羽根木山田邸前遺跡,世田谷区 羽根木一丁目 代田四丁目,[縄文時代（中期）],集落,[縄文時代]住居,縄文土器
1311208000,13112,80,しんぱちやまががわいせき,新八山賀川遺跡,世田谷区 桜上水五丁目,[中世],包蔵地,,板碑
1311208100,13112,81,さくらがおかいせき,桜ヶ丘遺跡,世田谷区 羽根木一丁目 松原五丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311208200,13112,82,しもざんやいせき,下山谷遺跡,世田谷区 北沢三丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311208300,13112,83,おおざんやいせき,大山谷遺跡,世田谷区 大原一丁目 北沢四丁目 北沢五丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311208400,13112,84,いけのうえいせき,池之上遺跡,世田谷区 代沢二丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311208500,13112,85,たもんやまいせき・みしゅくじょうあと,多聞山遺跡・三宿城跡,世田谷区 三宿二丁目,[縄文時代（早期～後期）][古墳時代][中世][近世],集落 城館,[縄文時代]炉 土坑 [古墳時代]住居 [中世]溝,縄文土器 石器 土師器 炭化物
1311208600,13112,86,さくらぎいせき,桜木遺跡,世田谷区 桜一丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代（中期）][古墳時代][平安][その他（近代）],集落,,縄文土器 石器 貝斧
1311208700,13112,87,みやのさかいせき,宮ノ坂遺跡,世田谷区 宮坂一丁目,[縄文時代（中期）],包蔵地,,縄文土器 石器
1311208800,13112,88,せたがやじょうせき,世田谷城跡,世田谷区 豪徳寺二丁目 梅丘二丁目,[中世],城館,※遺跡範囲のすべてが、東京都指定旧跡世田谷城跡となっています。,陶器 板碑
1311208900,13112,89,おおとりやまいせき,大鶏山遺跡,世田谷区 豪徳寺二丁目,[縄文時代（中期）][弥生時代],包蔵地,,縄文土器 石器 弥生土器
1311209000,13112,90,じょうこうじいせき,浄光寺遺跡,世田谷区 世田谷一丁目,[縄文時代（中期）],包蔵地,,縄文土器
1311209100,13112,91,もとじゅくいせき,元宿遺跡,世田谷区 世田谷四丁目,[縄文時代（早期～前期）],集落,,縄文土器
1311209200,13112,92,まつがおかいせき,松ヶ丘遺跡,世田谷区 桜三丁目 弦巻五丁目,[縄文時代（中期）],包蔵地,,縄文土器 打斧 石鏃
1311209400,13112,94,にしざんやいせき,西山谷遺跡,世田谷区 若林三丁目,[時代不明],包蔵地,,
1311209500,13112,95,いなりしたいせき,稲荷下遺跡,世田谷区 弦巻二丁目 弦巻三丁目 新町三丁目,[縄文時代],包蔵地,,縄文土器 石鏃
