JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,取得住所
1.31E+09,13112,96,じゃくずれいせき,蛇崩遺跡,世田谷区 下馬一丁目 池尻一丁目,[旧石器時代][縄文時代（早期～中期）][近世],集落,[縄文時代]住居 集石 屋外炉 炉穴 土坑 [近世]溝,縄文土器 打斧 磨斧 土錘 土偶 土製品 陶磁器 銭貨,東京都世田谷区下馬一丁目
1.31E+09,13112,99,さんげんちゃやいせき,三軒茶屋遺跡,世田谷区 三軒茶屋二丁目,[縄文時代（中期）],包蔵地,,縄文土器 打斧,東京都世田谷区三軒茶屋二丁目
1.31E+09,13112,100,きたまるいせき,北丸遺跡,世田谷区 野沢一丁目,[縄文時代（中期）],包蔵地,,縄文土器 石器,東京都世田谷区野沢一丁目
1.31E+09,13112,103,まみだにいせき,狸谷遺跡,世田谷区 駒沢一丁目,[縄文時代（中期）],包蔵地,,縄文土器 石器,東京都世田谷区駒沢一丁目
1.31E+09,13112,105,せたいせき・せたじょうせき,瀬田遺跡・瀬田城跡,世田谷区 瀬田一丁目 瀬田二丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],集落・城館,[旧石器時代]ブロック 礫群 [縄文時代]住居 土坑 ピット [弥生時代～古墳時代]住居 [奈良～平安時代]住居 [近世]ピット 土坑 井戸 溝 配石,石器 縄文土器 石器 礫 けつ状耳飾 弥生土器 土師器 須恵器 陶器 灰釉陶器 土製品 陶磁器,東京都世田谷区瀬田一丁目
1.31E+09,13112,107,しもやまいせき,下山遺跡,世田谷区 瀬田四丁目 瀬田五丁目,[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[旧石器時代]ブロック 礫群 [縄文時代]住居 集石 炉穴 土坑 ピット [弥生時代]環濠 住居 方形周溝墓 墓壙 甕棺 溝状遺構 [古墳時代]住居 円形周溝墓 [奈良時代][平安時代]住居,ナイフ形石器 尖頭器 礫器 縄文土器 打斧 石鏃 土錘 けつ状耳飾 弥生土器 抉入石斧 石包丁 石皿 土師器 須恵器 土製紡錘車 土製勾玉 ソロバン玉状土製品 石櫃 陶磁器 カワラケ 瓦質土器 煙管 銭貨,東京都世田谷区瀬田四丁目
1.31E+09,13112,108,たまがわじんじゃこふん,玉川神社古墳,世田谷区 瀬田四丁目,[古墳時代],古墳,円墳,直刀,東京都世田谷区瀬田四丁目
1.31E+09,13112,109,たまがわじんじゃひがしおうけつぼぐん,玉川神社東横穴墓群,世田谷区 瀬田四丁目,[古墳時代],横穴墓,2基,,東京都世田谷区瀬田四丁目
1.31E+09,13112,110,たきがやおうけつぼぐん,滝ヶ谷横穴墓群,世田谷区 瀬田四丁目,[古墳時代],横穴墓,2基,人骨,東京都世田谷区瀬田四丁目
1.31E+09,13112,111,しょうげんづか（にしおか2ごうふん）,将監塚（西岡2号墳）,世田谷区 瀬田四丁目,[中世][近世],塚,,,東京都世田谷区瀬田四丁目
