JASID,経度,緯度
1320200100,139.3588667,35.73631785
1320200200,139.3647032,35.73408838
1320200300,139.3754836,35.73202607
1320200400,139.3843413,35.72494691
1320200500,139.3938857,35.72862592
1320200600,139.404254,35.7270094
1320200700,139.4020567,35.72115623
1320200800,139.4221754,35.72723237
1320200900,139.4243041,35.71245929
1320201100,139.3906385,35.6976392
1320201200,139.4078046,35.69540865
1320201300,139.4054696,35.68993898
1320201400,139.4089033,35.69072429
1320201500,139.4044053,35.69032936
1320201600,139.404577,35.68968802
1320201700,139.4023111,35.69080339
1320201800,139.4234894,35.69047063
1320201900,139.3898832,35.69630088
1320202000,139.4104825,35.6913935
1320202100,139.4059507,35.69256461
