JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
1320600422,13206,4-22,たかくらこふんぐん22ごうふん,高倉古墳群22号墳,府中市 片町二丁目,[古墳時代],古墳,円墳,
1320600423,13206,4-23,たかくらこふんぐん23ごうふん,高倉古墳群23号墳,府中市 片町二丁目,[古墳時代],古墳,円墳,
1320600424,13206,4-24,たかくらこふんぐん24ごうふん,高倉古墳群24号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳,
1320600425,13206,4-25,たかくらこふんぐん25ごうふん,高倉古墳群25号墳,府中市 美好町三丁目,[古墳時代],古墳,円墳,
1320600426,13206,4-26,たかくらこふんぐん26ごうふん,高倉古墳群26号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳　竪穴建物跡　土坑　その他遺構,須恵器
1320600427,13206,4-27,たかくらこふんぐん27ごうふん,高倉古墳群27号墳,府中市 美好町三丁目,[古墳時代],古墳,円墳　[古墳時代]木棺,銅製品
1320600428,13206,4-28,たかくらこふんぐん28ごうふん,高倉古墳群28号墳,府中市 美好町三丁目,[古墳時代],古墳,円墳,陶磁器
1320600429,13206,4-29,たかくらこふんぐん29ごうふん,高倉古墳群29号墳,府中市 分梅町一丁目,[古墳時代],古墳,円墳,
1320600430,13206,4-A,,府中市№4-A遺跡,府中市 分梅町一丁目,[古墳時代],古墳,円墳　[古墳時代]石室?,銀象嵌大刀　鉄刀　鍔
1320600431,13206,4-G,,府中市№4-G遺跡,府中市 美好町三丁目,[古墳時代？],古墳？,[古墳時代]石室　?,
1320600432,13206,4-H,,府中市№4-H遺跡,府中市 美好町三丁目,[古墳時代？],古墳,円墳?,
1320600433,13206,4-I,みみづか,耳塚,府中市 美好町三丁目,[古墳時代？],古墳？,円墳？　2基,
1320600434,13206,4-K,おおつか,大塚,府中市 美好町三丁目,[古墳時代？],古墳？,円墳,
1320600500,13206,5,むさしだいいせき,武蔵台遺跡,府中市 武蔵台二丁目,[旧石器時代][縄文時代（早期・中期）]［奈良時代］［平安時代］,集落,[旧石器時代]礫群　炭化物集中地点　土坑　[縄文時代]住居　集石　土坑　配石,ナイフ形石器　尖頭器　掻器　彫器　錐　斧形石器　礫器　敲石　石核　縄文土器　打斧　磨斧　石鏃　掻器　石皿　磨石　スタンプ形石器　敲石　土製円板
1320600600,13206,6,おおくにたまじんじゃうらいせき,大国魂神社裏遺跡,府中市 宮町三丁目,[縄文時代（中期～晩期）]［古墳時代］［奈良時代］［平安時代］［中世］,集落・社寺,[縄文時代]住居　土坑,縄文土器　打斧　石鏃　石錐　石皿　磨石
1320600700,13206,7,ふちゅうしゅく,府中宿,府中市 宮西町一丁目　 宮西町二丁目　 宮西町三丁目　 宮西町四丁目　 宮西町五丁目　 宮町一丁目　 宮町二丁目　 宮町三丁目　　 八幡町一丁目　 八幡町二丁目　 片町二丁目　 寿町一丁目　 美好町三丁目　 本町二丁目,[近世],社寺・その他（宿場）,[近世]掘立柱建物　建物　土蔵　地下室　井戸　溝　墓地,陶磁器　土器　鉄製品　銅製品(煙管・簪）　ガラス製品
1320600800,13206,8,ほんしゅくいちりづか,本宿一里塚,府中市 日新町一丁目,[近世],その他（塚）,※遺跡範囲のすべてが市指定史跡甲州街道本宿一里塚跡となっています。,
1320600900,13206,9,でんしょうおうじあと,伝祥応寺跡,府中市 武蔵台二丁目,[奈良時代][平安時代][中世?],社寺,,瓦　板碑
1320601000,13206,10,よこかいどうきた１ごうづか,横海道北１号塚,府中市 武蔵台一丁目,中世,塚,塚状遺構,縄文土器　土師器　須恵器　土師質土器　瓦　陶器　かわらけ他
1320601100,13206,11,さんぜんにんづか,三千人塚,府中市 矢崎町二丁目,[中世],塚,※遺跡範囲のすべてが都指定史跡三千人塚　附　康元元年銘板碑一基となっています。,板碑　人骨　常滑産骨蔵器
1320601200,13206,12,ひよしちょういせき,日吉町遺跡,府中市 日吉町,[縄文時代（中期）][中世],包蔵地・社寺,,縄文土器　陶磁器
1320601300,13206,13,てんじんちょういせき,天神町遺跡,府中市 天神町一丁目　 天神町二丁目　 天神町三丁目　 天神町四丁目　 幸町二丁目　 幸町三丁目,[旧石器時代][縄文時代（早期～後期）][奈良時代][平安時代],包蔵地,[旧石器時代]ユニット　[縄文時代]集石　集石土坑　焼土　土坑　[奈良時代][平安時代]土坑　溝　[近世]地下室,ナイフ形石器　尖頭器　槍先形尖頭器　細石刃　細石刃核　角錐状石器　掻器　削器　礫器　剥片　縄文土器　打斧　磨斧　礫器　石鏃　石匙　石錐　ピエス・エスキーユ　石皿　磨石　スタンプ形石器　凹石　敲石　台石　石製円盤　土玉　土師器　須恵器　土師質土器　陶器　鉄製品　瓦
1320601400,13206,14,しんまちいせき,新町遺跡,府中市 新町二丁目,[縄文時代],包蔵地,,縄文土器
1320601500,13206,15,,府中市№15遺跡,府中市 若松町四丁目,[旧石器時代][縄文時代（中期）][奈良時代][平安時代],包蔵地,,掻器　石核　剥片　縄文土器　石鏃　土師器
