JASID,画面経度,画面緯度
1320600422,139.4695944,35.66919136
1320600423,139.4696278,35.6693964
1320600424,139.4653416,35.6684152
1320600425,139.4681697,35.66901409
1320600426,139.4659236,35.66745281
1320600427,139.4663423,35.66982533
1320600428,139.463023,35.66753517
1320600429,139.4646034,35.66831147
1320600430,139.4673637,35.66818163
1320600431,139.4680379,35.66899787
1320600432,139.4649688,35.66942954
1320600433,139.4637277,35.66980778
1320600434,139.463326,35.6691342
1320600500,139.4647621,35.69159807
1320600600,139.4794948,35.66672783
1320600700,139.4765886,35.67109486
1320600800,139.4565463,35.66770193
1320600900,139.4666735,35.69234441
1320601000,139.4684546,35.6869421
1320601100,139.475278,35.66269474
1320601200,139.4820902,35.66238571
1320601300,139.4887723,35.68266982
1320601400,139.492715,35.68782253
1320601500,139.5013319,35.67735493
