JASID,経度,緯度
1321402800,139.483665,35.70079777
1321402900,139.4851149,35.70016943
1321403000,139.481922,35.70351503
1321403200,139.4889865,35.6973684
1321403400,139.4651256,35.70043532
1321403500,139.4611774,35.70118809
1321403600,139.4608684,35.70386455
1321403700,139.464439,35.70336272
1321403800,139.4679335,35.70524044
1321403900,139.4666632,35.70128155
1321404000,139.4559932,35.69806544
1321404600,139.4428096,35.7047288
1321404700,139.4582592,35.70274937
1321404800,139.4529377,35.7004632
1321404900,139.4566455,35.70102081
1321405000,139.4581562,35.69324182
1321405200,139.4639927,35.70517487
1321405300,139.4901274,35.69927724
1321405400,139.4816738,35.69817697
1321405500,139.4421917,35.7065688
1321405600,139.4486461,35.70160629
1321405700,139.4770468,35.70348715
1321405800,139.4691008,35.69517554
