JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品
1321900100,13219,1,こあだちまえはらきたいせき,小足立前原北遺跡,狛江市 西野川四丁目,[古墳時代][奈良時代][平安時代],包蔵地,,土師器 須恵器
1321900200,13219,2,こあだちまえはらみなみいせき,小足立前原南遺跡,狛江市 西野川三丁目 西野川四丁目 和泉本町四丁目,[弥生時代][古墳時代][奈良時代][平安時代][近世],集落,[古墳時代]住居,弥生土器 土師器 須恵器 陶器
1321900300,13219,3,こあだちまえはらひがしいせき,小足立前原東遺跡,狛江市 西野川二丁目 西野川四丁目,[弥生時代][古墳時代][奈良時代],包蔵地,[奈良時代]住居 土坑,弥生土器 土師器 須恵器
1321900400,13219,4,みのわいせき,箕和遺跡,狛江市 西野川二丁目 西野川四丁目,[弥生時代][古墳時代]［奈良時代］[近世],集落,[縄文時代]土坑 [古墳時代]住居 [奈良時代]住居,弥生土器 土師器 石製模造品 陶器
1321900500,13219,5,みのわだ・きたくぼいせき,箕和田・北久保遺跡,狛江市 西野川二丁目 和泉本町三丁目,[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代][近世],集落,[近世]溝状遺構 墓地,縄文土器 弥生土器 土師器 須恵器 陶磁器 鉄製品 銅製品 煙管 銭貨
1321900600,13219,6,がくとうほんむらいせき,覚東本村遺跡,狛江市 西野川一丁目,[古墳時代][奈良時代][平安時代][近世],包蔵地,,土師器 陶器
1321900700,13219,7,こあだちなかむらきたいせき,小足立中村北遺跡,狛江市 東野川二丁目 東野川三丁目 西野川一丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代][近世],集落,[奈良時代][平安時代]住居 [近世]建物 竪穴状遺構 土坑 井戸 溝 集石,縄文土器 石斧 石鏃 砥石 土師器 須恵器 陶磁器 硯 釘 木製品 銭貨
1321900800,13219,8,こあだちなかむらみなみいせき,小足立中村南遺跡,狛江市 東野川二丁目 西野川一丁目,[弥生時代][古墳時代][奈良時代][平安時代],集落,[平安時代]住居 掘立柱建物,弥生土器 土師器 須恵器
1321900900,13219,9,みつおさにしいせき,三長西遺跡,狛江市 東野川一丁目 東野川三丁目 東野川四丁目,[縄文時代][奈良時代],集落・墳墓,[縄文時代]土坑 [古墳時代]方形周溝 墓 [古墳時代][奈良時代]住居,土師器 須恵器
1321901000,13219,10,みつおさひがしいせき,三長東遺跡,狛江市 東野川三丁目 東野川四丁目,[古墳時代][奈良時代][平安時代][近世],集落,[古墳時代]住居 [時代不明]溝,土師器 須恵器 磁器 擂鉢 ホウロク カワラケ
1321901100,13219,11,がくとうみしまにしいせき,覚東三島西遺跡,狛江市 東野川一丁目,[古墳時代][奈良時代][平安時代],包蔵地,,土師器
1321901200,13219,12,がくとうみしまなかいせき,覚東三島中遺跡,狛江市 東野川一丁目,[奈良時代][平安時代][近世],包蔵地,,土師器 須恵器 陶磁器 ホウロク カワラケ
1321901300,13219,13,がくとうみしまひがしいせき,覚東三島東遺跡,狛江市 東野川四丁目,[弥生時代][古墳時代],包蔵地,,弥生土器 土師器
1321901400,13219,14,いわとみしまいせき,岩戸三島遺跡,狛江市 岩戸北二丁目,[古墳時代],包蔵地,,土師器
1321901500,13219,15,きたくぼひがしいせき,北久保東遺跡,狛江市 和泉本町二丁目,[近世],包蔵地,,陶器 カワラケ
1321901600,13219,16,まるやまにしいせき,丸山西遺跡,狛江市 和泉本町二丁目,[古墳時代],包蔵地,,土師器
1321901700,13219,17,まるやまひがしいせき,丸山東遺跡,狛江市 和泉本町二丁目,[古墳時代],包蔵地,,土師器
1321901800,13219,18,はらきたいせき,原北遺跡,狛江市 和泉本町一丁目,[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代][近世],集落,[古墳時代]住居,縄文土器 弥生土器 土師器 須恵器 陶器 カワラケ
1321901900,13219,19,いずみいせき,和泉遺跡,狛江市 和泉本町一丁目,[縄文時代][古墳時代][中世],集落,[古墳時代]住居 [時代不明]竪穴状遺構 土坑 地下式土坑,縄文土器 土師器 須恵器
1321902000,13219,20,はらみなみいせき,原南遺跡,狛江市 和泉本町一丁目,[縄文時代][奈良時代][平安時代][近世],集落,[時代不明]住居 掘立柱建物,縄文土器 土師器 須恵器 陶器
1321902100,13219,21,しゅくやしききたいせき,宿屋敷北遺跡,狛江市 岩戸北一丁目,[古墳時代][近世],包蔵地,,土師器 陶器
1321902200,13219,22,しゅくやしきにしいせき,宿屋敷西遺跡,狛江市 岩戸北一丁目 岩戸北三丁目,[縄文時代（中期）][古墳時代][奈良時代][近世],集落,[縄文時代]土坑 [古墳時代]住居,縄文土器 土師器 須恵器 陶器
1321902300,13219,23,しゅくやしきひがしいせき,宿屋敷東遺跡,狛江市 岩戸北一丁目 岩戸北三丁目,[弥生時代][古墳時代][近世],包蔵地,[中世][近世]竪穴状遺構 [時代不明]溝,弥生土器 土師器 須恵器 陶器
1321902400,13219,24,ふるやしきづかこふん,古屋敷塚古墳,狛江市 岩戸北三丁目,[古墳時代],古墳,円墳,
1321902500,13219,25,はしきたづかこふん,橋北塚古墳,狛江市 岩戸北三丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,
1321902600,13219,26,うちきたやいせき,内北谷遺跡,狛江市 岩戸北三丁目,[古墳時代][奈良時代],集落,[古墳時代][奈良時代]住居,土師器 須恵器
1321902700,13219,27,まつばきたいせき,松場北遺跡,狛江市 岩戸北四丁目,[古墳時代][近世],包蔵地,,土師器 陶器
1321902800,13219,28,まつばみなみいせき,松場南遺跡,狛江市 岩戸北四丁目 岩戸南二丁目,[古墳時代],包蔵地,,土師器 須恵器
1321902900,13219,29,ふるやしき・あいのはらいせき,古屋敷・相之原遺跡,狛江市 岩戸南二丁目 岩戸南三丁目,[縄文時代（草創期・中期～後期）][弥生時代][古墳時代][奈良時代][平安時代][近世],集落,[弥生時代]住居 [古墳時代][奈良時代][平安時代]住居 [時代不明]土師器窯 土坑,縄文土器 有舌尖頭器 石鏃 弥生土器 土師器 須恵器 鉄鎌 鉄鏃 刀子 石製模造品 陶磁器
1321903000,13219,30,つちやづかこふん,土屋塚古墳,狛江市 岩戸南一丁目,[古墳時代],古墳,※遺跡範囲のすべてが狛江市指定史跡土屋塚古墳となっています。,円筒埴輪
1321903100,13219,31,ふるやしきいせき,古屋敷遺跡,狛江市 岩戸南一丁目 岩戸南二丁目,[古墳時代][奈良時代][平安時代],集落,[古墳時代]住居 [奈良時代]住居,土師器 須恵器 陶器（灰釉）
1321903200,13219,32,やざきやまいせき,矢崎山遺跡,狛江市 猪方一丁目,[弥生時代（後期）][古墳時代],集落,[弥生時代][古墳時代]住居,弥生土器 土師器 円筒埴輪
1321903300,13219,33,しみずづか1ごうこふん,清水塚1号古墳,狛江市 猪方一丁目,[古墳時代],古墳,円墳 [古墳時代]横穴式石室,
1321903400,13219,34,しみずづか2ごうこふん,清水塚2号古墳,狛江市 猪方一丁目,[古墳時代],古墳,円墳,
1321903500,13219,35,しみずづか3ごうこふん,清水塚3号古墳,狛江市 猪方一丁目,[古墳時代],古墳,円墳,
1321903600,13219,36,てらまえひがしいせき,寺前東遺跡,狛江市 東和泉一丁目 東和泉二丁目 猪方一丁目,[縄文時代（早期～前期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居 [平安時代]住居 [時代不明]掘立柱建物 土坑 溝状遺構,縄文土器 打斧 石鏃 石皿 磨石 弥生土器 土師器 須恵器 陶器 カワラケ 釘 銭貨
1321903701,13219,37-1,くぼ・まえはらいせき,久保・前原遺跡,狛江市 東和泉二丁目 猪方三丁目,[古墳時代][奈良時代][平安時代][近世],集落,[古墳時代]周溝 [奈良時代][平安時代]住居 [時代不明]掘立柱建物 土坑,土師器 須恵器 陶器 鉄製品
1321903702,13219,37-2,くぼ・まえはらこふん,久保・前原古墳,狛江市 猪方三丁目,[古墳時代],古墳,[古墳時代]周溝,土師器 須恵器
1321903800,13219,38,まえはらづかこふん,前原塚古墳,狛江市 猪方三丁目,[古墳時代],古墳,円墳 [古墳時代]葺石? 横穴式石室?,土師器
1321903900,13219,39,いのがたおがわづかこふん,猪方小川塚古墳,狛江市 猪方三丁目,[古墳時代],古墳,円墳 [古墳時代]横穴式石室,
