"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1322700100,13227,1,"しょうじんばけいせき","精進バケ遺跡","羽村市 羽西一丁目 羽西二丁目","[縄文時代（中期）]","集落","","縄文土器 打斧 磨斧 石棒",139.299062,35.76848948
1322700200,13227,2,"はやしのうえいせき","林の上遺跡","羽村市 羽加美四丁目 羽中二丁目","[縄文時代（中期）]","包蔵地","","縄文土器 打斧 石鏃 石皿",139.3045895,35.76436658
1322700300,13227,3,"ねがらみまえいせき","根搦前遺跡","羽村市 羽加美二丁目 羽加美四丁目","[古墳時代]","包蔵地","","土師器 石皿 砥石? 土製支脚",139.3008473,35.76046634
1322700500,13227,5,"やまねさかうえいせき","山根坂上遺跡","羽村市 羽東二丁目","[縄文時代（中期～期）]","集落","[縄文時代]住居 集石土坑","縄文土器 打斧 磨斧 石鏃 石匙 土製円板 石製垂飾",139.3131593,35.7576718
1322700600,13227,6,"はけたうえいせき","羽ケ田上遺跡","羽村市 羽東一丁目 羽東三丁目","[縄文時代（中期～後期）]","集落","[縄文時代]住居 集石土坑 埋甕 配石","縄文土器 打斧 磨斧 礫器 石鏃 掻器 削器 石錐 石皿 磨石 凹石 敲石 砥石 石棒",139.3152879,35.7541613
1322700700,13227,7,"かじいせき","鍛冶遺跡","羽村市 五ノ神一丁目","[中世][近世]","鍛冶工房跡","[近世]炉","鞴 鉄製品 鋳型 鉄滓 泥人形 銭貨",139.3179658,35.75912053
1322700800,13227,8,"","羽村市№8遺跡","羽村市 川崎二丁目","[縄文時代（前期）]","包蔵地","","縄文土器",139.3188109,35.75217143
1322700900,13227,9,"","羽村市№9遺跡","羽村市 川崎二丁目","[縄文時代（中期）][古墳時代][奈良時代][平安時代]","包蔵地","","縄文土器 打斧 土師器",139.3204245,35.75052753
1322701000,13227,10,"てんのうだいいせき","天王台遺跡","羽村市 羽東","[縄文時代（中期）]","集落","[縄文時代]住居 集石土坑 土坑","縄文土器 石器",139.3100007,35.76104285
1322701100,13227,11,"はけしたいせき","羽ヶ下遺跡","羽村市 羽中一丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.3091424,35.76388445
1330300100,13303,1,"まつばらいせき","松原遺跡","瑞穂町 箱根ヶ崎","[旧石器時代][縄文時代（前期）]","包蔵地","[旧石器時代]礫群 [縄文時代]土坑","縄文土器 石鏃 石器 打製石斧",139.3442205,35.77458789
1330300200,13303,2,"さやまいせき","狭山遺跡","瑞穂町 箱根ヶ崎","[旧石器時代][縄文時代（前期～中期）][弥生時代][古墳時代][平安時代]","集落","［時代不明］住居跡 炉 土坑 溝状遺構 溝","ナイフ形石器 尖頭器 細石刃 細石刃核 掻器 削器 石錐 旧石器 縄文土器 打斧 磨斧 有茎尖頭器 石鏃 石皿 磨石 凹石 敲石 土製円板 石器 弥生土器 土師器 須恵器 陶磁器 ガラス製品 金属製品 銭貨",139.3498167,35.77550709
1330300300,13303,3,"せんげんやついせき","浅間谷遺跡","瑞穂町 箱根ヶ崎","[旧石器時代][縄文時代（早期・中期～後期）]［弥生時代］","包蔵地","[縄文時代]炉","尖頭器 細石刃核 掻器 縄文",139.3540739,35.776287
1330300400,13303,4,"","瑞穂町№4遺跡","瑞穂町 石畑","[縄文時代]","包蔵地","","縄文土器",139.3563055,35.77550709
1330300500,13303,5,"","瑞穂町№5遺跡","瑞穂町 石畑","[縄文時代（早期～前期）]","包蔵地","","縄文土器 打製石器",139.3568811,35.77251852
1330300600,13303,6,"","瑞穂町№6遺跡","瑞穂町 石畑","[縄文時代（中期）]","包蔵地","","縄文土器",139.3631033,35.77584134
1330300700,13303,7,"","瑞穂町№7遺跡","瑞穂町 石畑","[縄文時代（早期～前期）]","包蔵地","","縄文土器",139.3581251,35.77199737
1330300800,13303,8,"","瑞穂町№8遺跡","瑞穂町 石畑","[縄文時代（早期～前期）]","包蔵地","","縄文土器",139.3597902,35.77082322
1330300900,13303,9,"ろくどうやまいせき","六道山遺跡","瑞穂町 石畑","[旧石器時代][縄文時代（早期～中期）]","集落","[縄文時代]炉穴群 土坑","尖頭器 縄文土器 打斧 磨斧 礫器 掻器 削器 石錐 石皿 磨石 有孔石器 有孔土製円板",139.3661932,35.77542352
1330301000,13303,10,"ろくどうやませいほくいせき","六道山西北遺跡","瑞穂町 石畑","[縄文時代（前期）]","包蔵地","","縄文土器",139.3634466,35.77762398
