JASID,画面経度,画面緯度
1330300100,139.3442205,35.77458789
1330300200,139.3498167,35.77550709
1330300300,139.3540739,35.776287
1330300400,139.3563055,35.77550709
1330300500,139.3568811,35.77251852
1330300600,139.3631033,35.77584134
1330300700,139.3581251,35.77199737
1330300800,139.3597902,35.77082322
1330300900,139.3661932,35.77542352
1330301000,139.3634466,35.77762398
1330301100,139.3606657,35.76982462
1330301200,139.3620514,35.77046311
1330301300,139.3635964,35.77244973
1330301400,139.3625933,35.76994806
1330301500,139.363253,35.76779775
1330301600,139.3652652,35.76712181
1330301700,139.3584481,35.75729499
1330301800,139.3627437,35.79052622
1330301900,139.3614946,35.77596477
1330302000,139.3616055,35.7677568
1330302100,139.3649965,35.77744102
1330302200,139.3629307,35.77104957
