自治体コード,区市町村名,合計,旧石器,縄文,弥生,古墳,奈良,平安,中世,近世,st,流域
13109,品川区,30,0,16,3,8,4,2,4,7,1,目黒川
13112,世田谷区,240,40,116,26,130,29,27,52,70,2,多摩川
13202,立川市,20,8,13,0,3,6,7,4,4,7,多摩川
13203,武蔵野市,5,3,3,0,0,2,3,0,0,11,神田川
13204,三鷹市,25,12,18,0,9,12,6,2,14,8,野川
13206,府中市,23,2,3,1,21,3,3,3,3,5,多摩川
13208,調布市,23,2,4,1,22,4,4,2,3,4,多摩川
13210,小金井市,24,17,22,0,4,0,1,5,5,9,野川
13211,小平市,4,3,1,0,0,1,1,0,1,12,石神井川
13214,国分寺市,46,19,36,1,0,25,23,6,1,10,野川
13215,国立市,54,5,14,0,34,8,18,9,10,6,多摩川
13219,狛江市,72,1,22,15,64,32,25,10,31,3,多摩川
13229,西東京市,14,7,12,2,1,0,3,1,6,13,石神井川
