"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
6.47275407557274e-314,13101,"江戸城跡",35.68619003,139.757489,"0","0","0","0","0","0","0","1","0"
6.4727541249793e-314,13101,"旧本丸西貝塚",35.6866013,139.7550845,"0","1","0","0","0","0","0","0","0"
6.47275417438586e-314,13101,"千代田区№3遺跡",35.6844541,139.7568012,"0","0","1","0","0","0","0","0","0"
6.47275422379243e-314,13101,"紅葉山遺跡",35.68495605,139.751926,"0","0","0","0","0","0","0","0","0"
6.47275427319899e-314,13101,"千代田区№5遺跡",35.68565319,139.7534709,"0","0","0","0","1","1","0","0","0"
6.47275432260556e-314,13101,"千代田区№6遺跡",35.68158178,139.7535053,"0","0","0","0","0","0","0","0","0"
6.47275442141869e-314,13101,"牛ヶ淵貝塚",35.69479204,139.7510672,"0","1","1","1","1","1","0","0","0"
6.47275447082525e-314,13101,"九段坂上貝塚",35.69628581,139.7491794,"0","1","1","0","0","1","0","0","0"
6.47275452023182e-314,13101,"永田町二丁目遺跡",35.67281761,139.7438231,"0","1","1","0","0","0","0","1","0"
6.47275456963838e-314,13101,"千代田区№11遺跡",35.6742121,139.7395316,"0","1","0","0","0","0","0","0","0"
6.47275461904495e-314,13101,"千代田区№12遺跡",35.69663226,139.7591696,"0","1","0","0","0","0","0","1","0"
6.47275466845151e-314,13101,"明治大学大学院西側遺跡",35.6988349,139.7612639,"0","1","0","0","0","0","0","0","0"
6.47275471785808e-314,13101,"千代田区№14遺跡",35.68525565,139.7683707,"0","0","0","0","0","0","1","0","0"
6.47275476726464e-314,13101,"千代田区№15遺跡",35.68414911,139.73814,"0","0","0","0","0","0","0","1","0"
6.4727548166712e-314,13101,"千代田区№16遺跡",35.69900219,139.7650405,"0","0","0","0","0","0","0","1","0"
6.47275486607777e-314,13101,"千代田区№17遺跡",35.6704748,139.7551184,"0","0","0","0","0","0","0","1","0"
6.47275491548433e-314,13101,"千代田区№18遺跡",35.6933313,139.7730602,"0","0","0","0","0","0","0","1","0"
6.4727549648909e-314,13101,"日枝神社境内遺跡",35.67535557,139.7393599,"0","0","0","0","0","0","0","1","0"
6.47275501429746e-314,13101,"都立一橋高校内遺跡",35.69466967,139.7811283,"0","0","0","0","0","0","0","1","0"
6.47275506370403e-314,13101,"外務省構内遺跡",35.67437944,139.7498313,"0","1","0","0","0","0","0","1","0"
6.47275511311059e-314,13101,"東京国立近代美術館遺跡",35.69037522,139.754735,"1","1","1","1","0","0","1","1","0"
6.47275521192372e-314,13101,"国会図書館遺跡",35.67859066,139.7445784,"0","0","0","0","0","0","0","1","0"
6.47275526133029e-314,13101,"千代田区№25遺跡",35.696224,139.769836,"0","0","0","0","0","0","0","1","0"
6.47275531073685e-314,13101,"千代田区№26遺跡",35.69560776,139.7661052,"0","0","0","0","0","0","0","1","0"
6.47275536014341e-314,13101,"千代田区№27遺跡",35.66994487,139.7569037,"0","0","0","0","0","0","0","1","0"
6.47275540954998e-314,13101,"江戸城外堀跡",35.67075371,139.748561,"0","0","0","0","0","0","0","1","0"
6.47275545895654e-314,13101,"大手町一丁目遺跡",35.68849034,139.7647658,"0","0","0","0","0","0","0","1","0"
6.47275550836311e-314,13101,"千代田区№30遺跡",35.68592491,139.7700186,"0","0","0","0","0","0","0","1","0"
6.47275555776967e-314,13101,"千代田区№31遺跡",35.68965024,139.7517137,"0","0","0","0","0","0","0","1","0"
6.47275560717624e-314,13101,"千代田区№32遺跡",35.69116723,139.7593756,"0","0","0","0","0","0","0","1","0"
6.4727556565828e-314,13101,"雉子橋関連遺跡",35.69325849,139.7555304,"0","0","0","0","0","0","0","1","0"
6.47275575539593e-314,13101,"千代田区№35遺跡",35.6801245,139.7449217,"0","0","0","0","0","0","0","1","0"
6.4727558048025e-314,13101,"千代田区№36遺跡",35.70110099,139.7719215,"0","0","0","0","0","0","0","1","0"
6.47275585420906e-314,13101,"永田町一丁目遺跡",35.67343119,139.7464324,"0","0","0","0","0","0","0","1","0"
6.47275590361563e-314,13101,"千代田区№38遺跡",35.68912043,139.7515764,"0","0","0","0","0","0","0","1","0"
6.47275595302219e-314,13101,"千代田区№39遺跡",35.67122785,139.7453681,"0","0","0","0","0","0","0","1","0"
6.47275600242875e-314,13101,"千代田区№40遺跡",35.68757014,139.7624312,"0","0","0","0","0","0","0","1","0"
6.47275605183532e-314,13101,"平河町遺跡",35.67928786,139.7401839,"0","1","1","1","0","0","1","1","0"
6.47275610124188e-314,13101,"紀尾井町遺跡",35.68084957,139.7371627,"1","1","1","0","0","0","1","1","0"
