"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","旧石器時代"
1311200100,13112,"1","からすやまいせき","烏山遺跡","世田谷区 北烏山六丁目　 北烏山七丁目　 北烏山八丁目　 北烏山九丁目","[旧石器時代][縄文時代（早期～後期）][古墳時代][奈良時代][平安時代][近世]","集落","ピット　陥穴　円形土坑　溝　畝　道路","縄文土器　石器　土師器　石墨　陶磁器　銭貨　煙管",139.59153,35.67412332,"1"
1311200300,13112,"3","そしがやおおみちきたいせき","祖師谷大道北遺跡","世田谷区 上祖師谷六丁目　上祖師谷七丁目　給田一丁目","[旧石器時代][縄文時代（中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック　[縄文時代]住居　竪穴　[古墳時代]住居　[中世][近世]井戸　地下式土坑　[時期不明]ピット　溝","ナイフ形石器　削器　縄文土器　石器　土師器　鉄鏃　陶器　カワラケ　土師質土器　羽釜　内耳鍋　鉄片　石臼　板碑　漆器　桶",139.596436,35.659981,"1"
1311200500,13112,"5","めぐりさわきたいせき","廻沢北遺跡","世田谷区 船橋七丁目　 千歳台四丁目","[旧石器時代][縄文時代（早期～後期）][近世]","集落","[旧石器時代]ブロック　[縄文時代]住居　集石土坑　土坑　土壙　[近世]溝","ナイフ形石器　尖頭器　細石刃　細石刃核　掻器　削器　彫器　錐　斧形石器　敲石　石核　縄文土器　土製品　陶磁器　和釘　玩具",139.6152536,35.65838154,"1"
1311200900,13112,"9","きぬたちゅうがっこういせき","砧中学校遺跡","世田谷区 成城一丁目　 成城三丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代][古墳時代][平安時代][近世]","集落","[縄文時代]住居址　土坑　集石　ピット　礫群　[弥生時代]住居址　[古墳時代]住居址　古墳周溝　[古（以降）]集石土坑　土坑　ピット　溝　[近世]竪穴　土坑　ピット　溝","（縄文）縄文土器・石器　（弥生）土器、　（古墳）土師器・須恵器・石器・刀子　（近世）陶器",139.6006734,35.63379948,"1"
1311201800,13112,"18","しものしんめいいせき","下神明遺跡","世田谷区 成城一丁目　成城三丁目","[旧石器時代][縄文時代（早期・中期～後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック　ブロック　礫群　[縄文時代]土坑　ピット　土坑　[古墳時代]住居址　[平安時代]住居址　[近世]溝　土坑　ピット　溝","（旧石器）石器・剥片　（縄文）縄文土器・石器　（古墳）土師器・石器　（平安）土師器・須恵器・砥石　（近世）煙管",139.5990011,35.63509307,"1"
1311201900,13112,"19","かみのしんめいいせき","上神明遺跡","世田谷区 成城四丁目　 成城五丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代][古墳時代][平安時代][中世][近世]","集落","[縄文時代]住居　土坑　[弥生時代][古墳時代]住居　ピット群　方形周溝墓","石器　縄文土器　弥生土器　土師器　須恵器　鉄製品　土製品",139.5923661,35.6414265,"1"
1311202300,13112,"23","みやのはらいせき","宮之原遺跡","世田谷区 喜多見四丁目","[旧石器時代][縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][近世]","集落","[縄文時代]集石　[弥生時代]住居　[古墳時代]住居","縄文土器　石器　弥生土器　土師器　須恵器　灰釉陶器　鉄鏃　刀子　鉄製農工具　土師質土器　瓦　砥石　土器片錘　土錘",139.5935426,35.62879711,"1"
1311204500,13112,"45","にしやとおうけつぼぐん・にしやといせき","西谷戸横穴墓群・西谷戸遺跡","世田谷区 大蔵四丁目　 岡本三丁目","[旧石器時代][古墳時代][奈良時代][平安時代]","集落・横穴墓","[旧石器時代]ブロック　礫群　[古墳時代]33基　[奈良～平安時代]住居","縄文土器　弥生土器　土師器　須恵器　石器　鉄鏃　直刀　刀子　装飾品（玉類他）",139.611984,35.63039,"1"
1311204800,13112,"48","うえのだいいせき","上之台遺跡","世田谷区 砧八丁目　 祖師谷三丁目","[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][古墳時代][奈良時代][中世]","集落","[縄文時代]住居　集石　集石土坑　土坑　[古墳時代]住居　[時期不明]溝　段状遺溝","石器　縄文土器　石器　焼礫　弥生土器　土師器　須恵器　鉄鏃　鉄製品　青銅製品　泥人形",139.604996,35.64027,"1"
1311205200,13112,"52","どうがやといせき","堂ヶ谷戸遺跡","世田谷区 岡本一丁目　 岡本二丁目　 岡本三丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[縄文時代]住居　集石　集石土坑　土坑　ピット　[弥生時代][古墳時代][奈良時代][平安時代]住居　竪穴　[近世]溝","石器　縄文土器　弥生土器　土製品　土師器　須恵器　鉄製品　銅鏃　玉類　陶磁器　砥石　煙管",139.620575,35.624981,"1"
1311205800,13112,"58","むかいやまいせき","向山遺跡","世田谷区 桜上水三丁目","[旧石器時代][縄文時代（中期）][中世][近世]","集落","[縄文時代]住居　竪穴　土坑　ピット　[中世]井戸　溝","",139.633484,35.660751,"1"
1311206300,13112,"63","あかつつみなかどおりいせき","赤堤中通遺跡","世田谷区 赤堤三丁目","[旧石器時代]","包蔵地","","石器",139.638824,35.658394,"1"
1311206400,13112,"64","まえやといせき・あかつつみじんやあと","前谷戸遺跡・赤堤陣屋跡","世田谷区 赤堤一丁目　 赤堤二丁目　 豪徳寺一丁目","[旧石器時代][縄文時代（中期）][弥生時代][近世]","包蔵地・その他（陣屋）","","石器　縄文土器　弥生土器",139.641525,35.655247,"1"
1311207000,13112,"70","ねづやまいせき","根津山遺跡","世田谷区 代田四丁目 松原六丁目","[旧石器時代][縄文時代（草創期～中期）][近世]","集落","","",139.6555,35.65914,"1"
1311208600,13112,"86","さくらぎいせき","桜木遺跡","世田谷区 桜一丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（中期）][古墳時代][平安][その他（近代）]","集落","","縄文土器 石器 貝斧",139.6412,35.64488,"1"
1311209600,13112,"96","じゃくずれいせき","蛇崩遺跡","世田谷区 下馬一丁目 池尻一丁目","[旧石器時代][縄文時代（早期～中期）][近世]","集落","[縄文時代]住居 集石 屋外炉 炉穴 土坑 [近世]溝","縄文土器 打斧 磨斧 土錘 土偶 土製品 陶磁器 銭貨",139.6846,35.6413,"1"
1311210500,13112,"105","せたいせき・せたじょうせき","瀬田遺跡・瀬田城跡","世田谷区 瀬田一丁目 瀬田二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落・城館","[旧石器時代]ブロック 礫群 [縄文時代]住居 土坑 ピット [弥生時代～古墳時代]住居 [奈良～平安時代]住居 [近世]ピット 土坑 井戸 溝 配石","石器 縄文土器 石器 礫 けつ状耳飾 弥生土器 土師器 須恵器 陶器 灰釉陶器 土製品 陶磁器",139.6318,35.61599,"1"
1311210700,13112,"107","しもやまいせき","下山遺跡","世田谷区 瀬田四丁目 瀬田五丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック 礫群 [縄文時代]住居 集石 炉穴 土坑 ピット [弥生時代]環濠 住居 方形周溝墓 墓壙 甕棺 溝状遺構 [古墳時代]住居 円形周溝墓 [奈良時代][平安時代]住居","ナイフ形石器 尖頭器 礫器 縄文土器 打斧 石鏃 土錘 けつ状耳飾 弥生土器 抉入石斧 石包丁 石皿 土師器 須恵器 土製紡錘車 土製勾玉 ソロバン玉状土製品 石櫃 陶磁器 カワラケ 瓦質土器 煙管 銭貨",139.6244,35.62158,"1"
1311211200,13112,"112","しもやまきたいせき","下山北遺跡","世田谷区 岡本一丁目","[旧石器時代][縄文時代（早期～前期）][弥生時代][古墳時代][中世][近世]","集落","[旧石器時代]ブロック [縄文時代]住居 集石 土坑 [弥生時代]住居 溝 [古墳時代]住居 [中世]掘立柱建物 井戸 [近世]建物 門","石器 縄文土器 石器 弥生土器 土師器 ガラス玉",139.6227,35.62252,"1"
1311211700,13112,"117","かまがやいせき","鎌ヶ谷遺跡","世田谷区 瀬田一丁目","[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック 礫群 [縄文時代]土坑 ピット [弥生時代][古墳時代]V字溝 溝状遺構","縄文土器 石器 弥生土器 土師器 須恵器 陶器",139.6336,35.6134,"1"
1311212100,13112,"121","やがわうえいせき","谷川上遺跡","世田谷区 野毛一丁目","[旧石器時代][縄文時代（中期）][古墳時代][中世][近世]","集落","[縄文時代]住居 ピット [中世][近世]竪穴土坑 溝","縄文土器 石器 土師器 陶磁器",139.6451,35.60425,"1"
1311212300,13112,"123","しものげいせき","下野毛遺跡","世田谷区 野毛一丁目 野毛二丁目","[旧石器時代][縄文時代（早期～後期）][中世][近世]","集落","[縄文時代]住居 集石 炉 土坑","縄文土器 石器 剥片 礫 陶器",139.6424,35.60424,"1"
1311214300,13112,"143","すわやまいせき","諏訪山遺跡","世田谷区 奥沢一丁目 奥沢三丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][平安時代][中世][近世]","集落","[縄文時代]住居 竪穴 集石 集石土坑 焼土 土坑 ピット [平安時代]土坑 火葬墓 [中世]焼土 溝 [近世]溝","縄文土器 石器 土錘 耳栓 土製品 礫 土師器 須恵器 土師質土器 陶器 陶磁器 鉄板 人骨",139.6748,35.60334,"1"
1311214500,13112,"145","おくさわだいいせき","奥沢台遺跡","世田谷区 奥沢六丁目 玉川田園調布二丁目","[旧石器時代][縄文時代（前期～後期）][弥生時代（後期）][古墳時代][近世]","集落","[縄文時代]住居 竪穴 炉 屋外炉 土坑 ピット [弥生時代]住居 [古墳時代]竪穴 [近世]ピット 土坑 井戸 溝","縄文土器 石器 けつ状耳飾 石棒 石製品 土製品 礫 弥生土器 陶磁器",139.6635,35.6037,"1"
1311215500,13112,"155","ふどうばし・ふどうざかいせき","不動橋・不動坂遺跡","世田谷区 成城三丁目 成城四丁目","[旧石器時代][縄文時代（早期～後期）][古墳時代]","集落","[古墳時代]住居 [時期不明]集石 焼土 土坑 井戸","石器 縄文土器 石器 土師器",139.5937,35.63851,"1"
