JASID,自治体コード,遺跡番号,種類,所在地（代表地番）,時代,名称・備考,旧市番号,地図,経度,緯度
14131000100,14131,川崎区No.1,散布地,川崎区駅前本町11-2,古墳　近世,商工会議所,六郷橋?1,31,139.6993456,35.53167462
14131000200,14131,川崎区No.2,その他の墓,川崎区中島2-3,中世,板碑,川崎-1,24,139.7155829,35.52931368
14131000300,14131,川崎区No.3,その他の遺跡,川崎区砂子2丁目（新川通）,近世,小土呂橋,—,31,139.7002493,35.5280843
14131000400,14131,川崎区No.4,貝塚,川崎区小田1丁目,古墳　近世,小田貝塚,—,32,139.7003724,35.51470437
14131000500,14131,川崎区No.5,貝塚,川崎区渡田2-14-8ほか,奈良　平安,渡田貝塚,—,25,139.7065694,35.52068445
14131000600,14131,川崎区No.6,貝塚,川崎区大島2-10-6ほか,奈良　平安,大島貝塚,—,25,139.7148048,35.5215437
14131000700,14131,川崎区No.7,その他の墓,川崎区大島4-23,近世,了延庵内,—,25,139.7158602,35.52282541
14131000800,14131,川崎区No.8,都市遺跡,川崎区本町1-8-4ほか,近世,旧東海道川崎宿跡,—,24,139.7029763,35.53242898
14132000100,14132,幸区No.1,古墳 その他の墓,幸区塚越2-180,古墳　中世,塚越古墳・板碑,小向-1,30,139.680023,35.546993
14132000200,14132,幸区No.2,横穴墓,幸区南加瀬1-7-17付近,古墳,南加瀬横穴墓群,夢見ヶ崎-3,37,139.6681877,35.54636732
14132000300,14132,幸区No.3,集落跡,幸区南加瀬1-2ほか,縄文　弥生,加瀬台遺跡,夢見ヶ崎-2,37,139.6649776,35.55023613
14132000400,14132,幸区No.4,古墳,幸区北加瀬1-30ほか,縄文　弥生　古墳　中世,加瀬台古墳群,夢見ヶ崎-1・6,37,139.6658874,35.54914674
14132000500,14132,幸区No.5,古墳,幸区南加瀬2-1,古墳　中世,白山古墳,夢見ヶ崎-5,37,139.6610809,35.5502082
14132000600,14132,幸区No.6,古墳,幸区南加瀬2-4,古墳,第六天古墳,夢見ヶ崎-4,37,139.6602054,35.55027803
14132000700,14132,幸区No.7,その他の墓,幸区南加瀬2-11ほ,中世,越路遺跡,夢見ヶ崎-7,37,139.6613384,35.54980317
14132000800,14132,幸区No.8,散布地,幸区南加瀬2-2,弥生　奈良　平安,,夢見ヶ崎-8,37,139.6649605,35.54896517
14132000900,14132,幸区No.9,散布地,幸区矢上地,旧石器,,夢見ヶ崎-9,37,139.6573559,35.55181432
14132001000,14132,幸区No.10,横穴墓,幸区南加瀬1-2ほか,古墳,夢見ヶ崎横穴墓,夢見ヶ崎-6,37,139.6657329,35.54984507
14132001100,14132,幸区No.11,古墳,幸区塚越1-64（御嶽神社）,古墳,御嶽神社古墳,—,30,139.6788071,35.54656635
14133000100,14133,中原区No.1,古墳,中原区丸子通1-408,古墳,上丸子古墳,丸子橋-1,34,139.6653748,35.58416175
14133000200,14133,中原区No.2,散布地,中原区宮内3-8,弥生,,宮内-2,40,139.6435748,35.59043619
