自治体コード,名称,よみがな
13101,千代田区,ちよだく
13102,中央区,ちゅうおうく
13103,港区,みなとく
13104,新宿区,しんじゅくく
13105,文京区,ぶんきょうく
13106,台東区,たいとうく
13107,墨田区,すみだく
13108,江東区,こうとうく
13109,品川区,しながわく
13110,目黒区,めぐろく
13111,大田区,おおたく
13112,世田谷区,せたがやく
13113,渋谷区,しぶやく
13114,中野区,なかのく
13115,杉並区,すぎなみく
13116,豊島区,としまく
13117,北区,きたく
13118,荒川区,あらかわく
13119,板橋区,いたばしく
13120,練馬区,ねりまく
13121,足立区,あだちく
13122,葛飾区,かつしかく
13123,江戸川区,えどがわく
13201,八王子市,はちおうじし
13202,立川市,たちかわし
13203,武蔵野市,むさしのし
13204,三鷹市,みたかし
13205,青梅市,おうめし
13206,府中市,ふちゅうし
13207,昭島市,あきしまし
13208,調布市,ちょうふし
13209,町田市,まちだし
13210,小金井市,こがねいし
13211,小平市,こだいらし
13212,日野市,ひのし
13213,東村山市,ひがしむらやまし
13214,国分寺市,こくぶんじし
13215,国立市,くにたちし
13218,福生市,ふっさし
13219,狛江市,こまえし
13220,東大和市,ひがしやまとし
13221,清瀬市,きよせし
13222,東久留米市,ひがしくるめし
13223,武蔵村山市,むさしむらやまし
13224,多摩市,たまし
13225,稲城市,いなぎし
13227,羽村市,はむらし
13228,あきる野市,あきるのし
13229,西東京市,にしとうきょうし
13303,瑞穂町,みずほまち
13305,日の出町,ひのでまち
13307,檜原村,ひのはらむら
13308,奥多摩町,おくたままち
13361,大島町,おおしままち
13362,利島村,としまむら
13363,新島村,にいじまむら
13364,神津島村,こうづしまむら
13381,三宅村,みやけむら
13382,御蔵島村,みくらじまむら
13401,八丈町,はちじょうまち
13402,青ヶ島村,あおがしまむら
13421,小笠原村,おがさわらむら
