B800-B350	不明	縄文晩期末-弥生前期	和田・百草遺跡群 わだ　もぐさいせきぐん	東京都多摩市和田418	集落	35.63962263	139.4354072	72～73
1-240		弥生後期	落合遺跡（仮称）落合2189番館・2地点 おちあいいせき	東京都新宿区中落合4-2189-10,11	集落	35.71712002	139.6814945	33.3～34
B200-240?		弥生？	落合遺跡（仮称）落合2189番館・2地点 おちあいいせき	東京都新宿区中落合4-2189-10,11	不詳	35.71712002	139.6814945	33.3～34
1-240		弥生後期前葉-後葉	落合遺跡　学校法人目白学園地点　第9次 おちあいいせき　がっこうほうじんめじろがくえんちてん	東京都新宿区市下落合2-563-1ほか	集落	35.71739777	139.6817722	_～_
1-240		弥生後期前葉-後葉	落合遺跡　学校法人目白学園地点　第5〜7次 おちあいいせき　がっこうほうじんめじろがくえんちてん	東京都新宿区市下落合2-563-1ほか	集落			_～_
1-240		弥生後期前葉-後葉	落合遺跡　学校法人目白学園地点　第4次 おちあいいせき　がっこうほうじんめじろがくえんちてん	東京都新宿区市下落合2-563-1ほか	集落			_～_
1-240		弥生後期前葉-後葉	落合遺跡　学校法人目白学園地点　第3次 おちあいいせき　がっこうほうじんめじろがくえんちてん	東京都新宿区市下落合2-563-1ほか	集落			_～_
1-240		弥生後期前葉-後葉	落合遺跡　学校法人目白学園地点　第12次 おちあいいせき　がっこうほうじんめじろがくえんちてん	東京都新宿区市下落合2-563-1ほか	集落	35.71711996	139.6795502	34.4～34.5
1-240		弥生後期前葉-後葉	落合遺跡　学校法人目白学園地点　第11次 おちあいいせき　がっこうほうじんめじろがくえんちてん	東京都新宿区市下落合2-563-1ほか	集落	35.71767545	139.6792724	32.8～33.5
B350-B300	不明	弥生中期初頭	野津田川島遺跡（B・C地点） のづたかわしまいせき	東京都町田市野津田町字川島2770他	集落	35.59074059	139.4565185	70.5～74.5
B100-1		弥生中期後半	本郷元町遺跡 ほんごうもとまちいせき	東京都文京区本郷1-3-9	不詳	35.70267919	139.7564885	2.5～4.5
240-400	五領式	古墳前期	本郷元町遺跡 ほんごうもとまちいせき	東京都文京区本郷1-3-9	不詳	35.70267919	139.7564885	2.5～4.5
100-240		弥生後期後半	北新宿二丁目遺跡2 きたしんじゅくにちょうめいせき	東京都新宿区北新宿2-5	集落	35.70073327	139.6909387	31.9～32.1
100-240		弥生後期後半	北新宿二丁目遺跡　5　（仮称）斉藤邸スロープ・外構地点 きたしんじゅくにちょうめいせき	東京都新宿区北新宿2-6-35	集落	35.70101099	139.6901055	32.8～32.8
100-240		弥生後期後半	北新宿二丁目遺跡　4　（仮称）クレッセント新宿柏木地点 きたしんじゅくにちょうめいせき	東京都新宿区北新宿2-6-35	集落	35.71017735	139.7167694	32.1～32.3
100-240		弥生後期後半	北新宿二丁目遺跡　3　（仮称）新宿区道21-1370拡幅・提供公園地点 きたしんじゅくにちょうめいせき	東京都新宿区北新宿2-6地内	集落	35.7010112	139.6978826	_～_
240-400	五領式	古墳前期	豊島馬場遺跡 としまばんばいせき	東京都北区豊島8-27,王子5-25	墓	35.76711587	139.7381542	0.9～1.5
240-400	五領式	古墳前期	豊島馬場遺跡 としまばんばいせき	東京都北区豊島8-27	集落	35.76822688	139.7392652	1～1.7
B2500-B2300	称名寺式	縄文後期初頭	豊沢貝塚 とよさわかいづか	東京都渋谷区恵比須2-32-59	集落,貝塚	35.64629563	139.7209382	14.6～15
B2500-B2000	堀之内式	縄文後期前葉	豊沢貝塚 とよさわかいづか	東京都渋谷区恵比須2-32-59	集落,貝塚	35.64629563	139.7209382	14.6～15
B2000-B1500	加曽利Ｂ式	縄文後期中葉	豊沢貝塚 とよさわかいづか	東京都渋谷区恵比須2-32-59	集落,貝塚	35.64629563	139.7209382	14.6～15
B1800-B1250	曽谷式	縄文後期後葉	豊沢貝塚 とよさわかいづか	東京都渋谷区恵比須2-32-59	集落,貝塚	35.64629563	139.7209382	14.6～15
B1500-B1250	安行１	縄文後期末葉	豊沢貝塚 とよさわかいづか	東京都渋谷区恵比須2-32-59	集落,貝塚	35.64629563	139.7209382	14.6～15
200-240		弥生後期末葉	豊沢貝塚 とよさわかいづか	東京都渋谷区恵比須2-32-59	集落	35.64629563	139.7209382	14.6～15
200-240		弥生後期末葉	方南峰遺跡C地点（方南町峰） ほうなんみねいせきしーちてん（ほうなんまちみね）	東京都杉並区方南2-518	集落跡	35.68378994	139.6578868	39.1～39.5
B200-240	不明	弥生	百人町三丁目遺跡　第3次調査 ひゃくにんちょうさんちょうめいせき　だいさんじちょうさ	東京都新宿区大久保三丁目7番地内	包含地	35.70656625	139.7023264	29.3～29.4
200-240		弥生終末	尾崎遺跡 おざきいせき	東京都八王子市尾崎町153-1ほか	集落	35.67739385	139.3401361	136.2～136.2
240-400	五領式	古墳前期	尾崎遺跡 おざきいせき	東京都八王子市尾崎町153-1ほか	集落	35.67739385	139.3401361	134.5～135.6
200-240	？	弥生終末	尾崎遺跡 おさきいせき	東京都八王子市尾崎町地内	集落	35.67739386	139.3406916	132.9～135
240-400	五領式	古墳前期	尾崎遺跡 おさきいせき	東京都八王子市尾崎町地内	集落	35.67739386	139.3406916	132.9～136.2
B100-1	宮ノ台式	弥生中期後半	飛鳥山遺跡 あすかやまいせき	東京都北区王子?西ケ原	集落,墓	35.75072879	139.7373216	22～24
