"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1310100100,13101,"1","えどじょうあと","江戸城跡","千代田区 千代田　 皇居外苑　 北の丸公園","[近世]","城館","[近世]建物礎石　敷石遺構　囲状遺構　土留遺構　石組溝　暗渠　城門　城橋　天守台　櫓堀　石塁　石垣　地下室　井戸　上下水道","縄文土器　弥生土器　土師器　陶磁器　瓦　金属製品　木製品　鉄釘　火箸　簪　笄　チャコ　銭貨",139.757489,35.68619003
1310100200,13101,"2","きゅうほんまるにしかいづか","旧本丸西貝塚","千代田区 千代田","[縄文時代（前期～晩期）]","貝塚","","縄文土器　打斧　石鏃　有溝土錘　骨角器",139.7550845,35.6866013
1310100300,13101,"3","","千代田区№3遺跡","千代田区 千代田","[弥生時代]","包蔵地","","弥生土器",139.7568012,35.6844541
1310100400,13101,"4","もみじやまいせき","紅葉山遺跡","千代田区 千代田","[縄文前期]","包蔵地","","縄文土器",139.751926,35.68495605
1310100500,13101,"5","","千代田区№5遺跡","千代田区 千代田","[奈良時代][平安時代]","包蔵地","","土師器",139.7534709,35.68565319
1310100600,13101,"6","","千代田区№6遺跡","千代田区 千代田","","貝塚","","土師器",139.7535053,35.68158178
1310100800,13101,"8","うしがふちかいづか","牛ヶ淵貝塚","千代田区 九段南一丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","貝塚","","縄文土器　弥生土器　土師器",139.7510672,35.69479204
1310100900,13101,"9","くだんざかうえかいづか","九段坂上貝塚","千代田区 九段北一丁目","[縄文時代（中期）][弥生時代][平安時代]","貝塚","[弥生時代]V字溝　住居","縄文土器　弥生土器　土師器　須恵器",139.7491794,35.69628581
1310101000,13101,"10","ながたちょうにちょうめいせき","永田町二丁目遺跡","千代田区 永田町二丁目","[縄文時代（後期）][弥生時代（中期）][近世]","包蔵地・集落・貝塚・屋敷","[弥生時代]住居跡　土坑　環壕　溝　[近世]土坑　井戸　溝　建物址","石器　弥生土器　陶磁器類　金属　木製品　瓦",139.7438231,35.67281761
1310101100,13101,"11","","千代田区№11遺跡","千代田区 永田町二丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.7395316,35.6742121
1310101200,13101,"12","","千代田区№12遺跡","千代田区 神田神保町一丁目","[縄文時代][近世]","貝塚　その他（上水道）","竹樋","縄文土器　陶磁器",139.7591696,35.69663226
1310101300,13101,"13","めいじだいがくだいがくいんにしがわいせき","明治大学大学院西側遺跡","千代田区 神田駿河台一丁目","[縄文時代（前期）]","包蔵地","","縄文土器",139.7612639,35.6988349
1310101400,13101,"14","","千代田区№14遺跡","千代田区 大手町二丁目","[中世]","単独出土地","","銅鐘",139.7683707,35.68525565
1310101500,13101,"15","","千代田区№15遺跡","千代田区 麹町三丁目","[近世]","上水道","[近世]上水木樋　石桝","",139.73814,35.68414911
1310101600,13101,"16","","千代田区№16遺跡","千代田区 神田駿河台四丁目","[近世]","包蔵地","","陶磁器　銅製高麗犬",139.7650405,35.69900219
