"JASID","自治体コード","時代","経度","緯度","前期"
1310100200,13101,"[縄文時代（前期～晩期）]",139.7550845,35.6866013,1
1310101300,13101,"[縄文時代（前期）]",139.7612639,35.6988349,1
1310102200,13101,"[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][中世][近世]",139.754735,35.69037522,1
1310105600,13101,"[縄文時代（前期・後期）][弥生時代（後期）][近世][近代]",139.7464141,35.69089728,1
1310105800,13101,"[縄文時代（前期・後期）][近世]",139.7413855,35.67348697,1
1310106500,13101,"[縄文時代（前期）][近世]",139.7404933,35.69527317,1
1310107100,13101,"[縄文時代（前期・中期・後期）][弥生時代（後期）][平安時代]",139.7500377,35.68272514,1
1310304500,13103,"[縄文時代（前期・中期）][近世]",139.731010481376,35.6548082864047,1
1310305100,13103,"[縄文時代（前期）]",139.729568526202,35.6486010799078,1
1310306800,13103,"[縄文時代（前期）]",139.719772,35.639008,1
1310309900,13103,"[縄文時代（前期～中期）][弥生時代][古墳時代]",139.740760847128,35.6631767884883,1
1310310000,13103,"[縄文時代（前期～後期）][弥生時代][古墳時代][奈良時代][平安時代]",139.74316410706,35.665059580064,1
1310401500,13104,"[旧石器時代][縄文時代（前期～後期）][近世]",139.7282492,35.69941572,1
1310401700,13104,"[縄文時代（前期、中期、後期）][弥生時代（後期）][古墳時代][奈良時代][近世]",139.7368646,35.69725793,1
1310404000,13104,"[縄文時代（前期～後期）][近世]",139.7328101,35.69031143,1
1310405400,13104,"[縄文時代（前期～後期）][近世]",139.7231879,35.6941138,1
1310406100,13104,"[旧石器時代][縄文時代（早期～晩期）][平安時代][近世]",139.7290067,35.69304468,1
1310406200,13104,"[縄文時代（前期～中期）][近世]",139.7202736,35.68842154,1
1310406700,13104,"[縄文時代（早期～前期）][中世][近世]",139.71334360533,35.6776233120809,1
1310406800,13104,"[旧石器時代][縄文時代（前期?中期）][弥生時代（後期）][古墳時代][中世][近世]",139.689965,35.70440123,1
1310407700,13104,"[旧石器時代][縄文時代（前期～中期）][古墳時代][奈良時代][平安時代]",139.690914,35.71507608,1
1310407900,13104,"[旧石器時代][縄文時代（草創期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]",139.6947029,35.70590669,1
1310408000,13104,"[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][近世]",139.7115907,35.71294957,1
1310408800,13104,"[旧石器時代][縄文時代（早期～後期）][近世]",139.7285411,35.69747797,1
1310409300,13104,"[縄文時代（前期?中期）][近世]",139.7179047,35.68998307,1
1310409700,13104,"[縄文時代（早期～前期）][近世]",139.7214885,35.69259418,1
1310410400,13104,"[縄文時代（前期～後期）][近世]",139.7200333,35.68376465,1
1310410700,13104,"[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代]",139.6900837,35.70114116,1
1310411000,13104,"[旧石器時代][縄文時代（早期～後期][近世]",139.7204484,35.69892663,1
1310411500,13104,"[縄文時代（前期?中期）][古墳時代][中世][近世]",139.6884014,35.69609467,1
1310411700,13104,"[縄文時代（前期～後期）][近世]",139.7289597,35.6907917,1
1310412600,13104,"[縄文時代（前期～中期）][奈良時代][平安時代][近世]",139.7379333,35.70485643,1
1310413000,13104,"[縄文時代（前期～中期）][古墳時代][奈良時代][近世]",139.7401134,35.70244486,1
1310503800,13105,"[縄文時代（前期?晩期）]",139.7646685,35.70143345,1
1310504000,13105,"[縄文時代（前期?晩期）]",139.7675524,35.70932315,1
1310505800,13105,"[縄文時代（前期?中期）][奈良時代][平安時代][近世]",139.7568407,35.70266017,1
1310507400,13105,"[縄文時代（前期・後期）][弥生時代][平安時代][近世]",139.7655954,35.70937891,1
1310900300,13109,"縄文時代（前期）]",139.728664,35.62745086,1
1310900400,13109,"[縄文時代（早期～中期）][弥生時代（後期）]",139.7229069,35.63109445,1
1310900800,13109,"[縄文時代（前期）][弥生時代]",139.7337182,35.62050855,1
1310901000,13109,"[縄文時代（早期～後期）][弥生時代][中世]",139.7245685,35.61720399,1
1310903000,13109,"[縄文時代（早期～後期）][古墳時代]",139.7289666,35.61491723,1
1311000200,13110,"[旧石器時代][縄文時代（早期～後期）]",139.6804591,35.65884679,1
1311000300,13110,"［旧石器時代］[縄文時代（早期～後期）][弥生時代（前期～後期）][古墳時代][奈良時代][平安時代][中世][近世]［近代］",139.6875316,35.65337917,1
1311000800,13110,"[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][平安時代][中世][近世][近代]",139.6866739,35.64782322,1
1311001200,13110,"[縄文時代（早期～前期）][弥生時代（中期）]［近世］",139.7051446,35.64402888,1
1311001500,13110,"[旧石器時代][縄文時代（早期～後期）][中世][近世]",139.7015397,35.63607692,1
1311002000,13110,"[縄文時代（早期～後期）][弥生時代（後期）]",139.7075822,35.62857065,1
1311003000,13110,"[縄文時代（前期）]",139.6627422,35.62913927,1
1311003300,13110,"[旧石器時代][縄文時代（草創期～後期）][平安時代][中世][近世]",139.6726427,35.62084051,1
1311004000,13110,"[縄文時代（前期～後期）]",139.683245,35.60780795,1
1311004100,13110,"[縄文時代（前期～後期）]",139.6832107,35.60613316,1
1311004700,13110,"[旧石器時代][縄文時代（草創期～晩期）][弥生時代（後期）][古墳時代][平安時代][中世][近世][近代]",139.684373,35.65446715,1
1311004900,13110,"[縄文時代（早期～前期）][中世][近世]",139.6898324,35.62014271,1
1311005100,13110,"[旧石器時代][縄文時代（前期～後期）][弥生時代（後期）][近世]",139.713776,35.640392,1
1311005400,13110,"[旧石器時代][縄文時代（早期～中期・晩期）][弥生時代（後期）][近世]",139.6977975,35.64944134,1
1311005600,13110,"[縄文時代（前期～中期）][中世][近世][近代]",139.6939523,35.65030619,1
1311100100,13111,"[縄文時代（前期・後期）]",139.6674392,35.58883561,1
