"JASID","時代","経度","緯度","後期"
1310100200,"[縄文時代（前期～晩期）]",139.7550845,35.6866013,1
1310101000,"[縄文時代（後期）][弥生時代（中期）][近世]",139.7438231,35.67281761,1
1310102200,"[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][中世][近世]",139.754735,35.69037522,1
1310104200,"[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][中世][近世][近代]",139.7371627,35.68084957,1
1310105600,"[縄文時代（前期・後期）][弥生時代（後期）][近世][近代]",139.7464141,35.69089728,1
1310105800,"[縄文時代（前期・後期）][近世]",139.7413855,35.67348697,1
1310107100,"[縄文時代（前期・中期・後期）][弥生時代（後期）][平安時代]",139.7500377,35.68272514,1
1310300100,"[縄文時代（早期・中期～後期）]",139.719524078993,35.6680171187889,1
1310301800,"[縄文時代（後期）]",139.742752119494,35.6614194760094,1
1310302300,"[縄文時代（後期）]",139.748514496608,35.654583536585,1
1310303000,"[縄文時代（後期）]",139.740219,35.661404,1
1310304200,"[縄文時代（後期）]",139.732435270346,35.6567889117509,1
1310304300,"[縄文時代（後期）]",139.72704510383,35.6544316820209,1
1310304400,"[縄文時代（後期）]",139.729602858608,35.6549477686257,1
1310306000,"[縄文時代（後期）][弥生時代][古墳時代][平安時代][近世]",139.739954039508,35.6415005633308,1
1310310000,"[縄文時代（前期～後期）][弥生時代][古墳時代][奈良時代][平安時代]",139.74316410706,35.665059580064,1
1310314901,"[縄文時代（中期～後期）][近世]",139.749117250543,35.6666611437705,1
1310400100,"[縄文時代][弥生時代（後期）]",139.6763314,35.72162653,1
1310400200,"[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]",139.6805457,35.71627471,1
1310401000,"[旧石器時代][縄文時代（中期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]",139.6947029,35.70849936,1
1310401100,"[縄文時代（後期）][近世]",139.7293373,35.68772442,1
1310401500,"[旧石器時代][縄文時代（前期～後期）][近世]",139.7282492,35.69941572,1
1310401700,"[縄文時代（前期、中期、後期）][弥生時代（後期）][古墳時代][奈良時代][近世]",139.7368646,35.69725793,1
1310401800,"[縄文時代][弥生時代（後期）][古墳時代][中世][近世]",139.7380147,35.70067335,1
1310403500,"[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]",139.6748036,35.72067884,1
1310404000,"[縄文時代（前期～後期）][近世]",139.7328101,35.69031143,1
1310404300,"[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]",139.7008827,35.7061576,1
