JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13201000100,13201,1,おんがたちく№18いせき,恩方地区№18遺跡,八王子市 上恩方町,[縄文時代（中期）],包蔵地,,縄文土器,139.183995,35.68013177
13201000200,13201,2,ふるやど（おんがたちく№17）いせき,振宿（恩方地区№17）遺跡,八王子市 上恩方町,[縄文時代（中期）],包蔵地,,縄文土器,139.195153,35.67664574
13201000300,13201,3,たかどめ（おんがたちく№16）いせき,高留（恩方地区№16）遺跡,八王子市 上恩方町,[縄文時代（中期）][近世],包蔵地,,縄文土器　打斧　磨斧　陶磁器,139.2118666,35.67152417
13201000400,13201,4,みやのした（おんがたちく№15）いせき,宮ノ下（恩方地区№15）遺跡,八王子市 上恩方町,[縄文時代],包蔵地,,打斧,139.2160723,35.67110581
13201000500,13201,5,うえのくぼ（おんがたちく№14）いせき,上ノ久保（恩方地区No.14)遺跡,八王子市 上恩方町,[縄文時代（中期）][近世],包蔵地,,縄文土器　陶磁器,139.2177889,35.67333704
13201000600,13201,6,ちからいしいせき,力石遺跡,八王子市 上恩方町,[縄文時代（早期?後期）],集落,[縄文時代]住居　炉穴　陥し穴　土坑,縄文土器　打斧　石鏃　削器　石匙　ピエス・エスキーユ　磨石　抉入磨石　剥片,139.2217839,35.67653165
13201000700,13201,7,おんがたちく№20いせき,恩方地区No.20遺跡,八王子市 上恩方町,[古墳時代],包蔵地,,土師器,139.1927497,35.66590782
13201000800,13201,8,おんがたちく№20いせき,恩方地区No.19遺跡,八王子市 上恩方町,[縄文時代（中期）],包蔵地,,縄文土器,139.2041418,35.66901397
13201000900,13201,9,どうどころ（おんがたちく№22）いせき,堂所（恩方地区No.22）遺跡,八王子市 上恩方町　 裏高尾町,[縄文時代（前期）],包蔵地,,縄文土器,139.191907,35.65450908
13201001000,13201,10,おんがたちく№21いせき,恩方地区No.21遺跡,八王子市 上恩方町,[縄文時代],包蔵地,,剥片,139.1851264,35.64600017
13201001100,13201,11,きつねづか（おんがたちく№12）いせき,弧塚（恩方地区№12）遺跡,八王子市 上恩方町,[縄文時代（早期?後期）][近世],集落,[縄文時代]住居,縄文土器　打斧　磨斧　ナイフ形石器　石槍　石鏃　削器　石匙　敲石　土製円板　石製垂飾　青磁,139.2269338,35.67290601
13201001200,13201,12,くろぬた（おんがたちく№11）いせき,黒沼田（恩方地区No.11）遺跡,八王子市 上恩方町,[縄文時代（中期）][近世],包蔵地,,縄文土器　石鏃　磁器,139.2327703,35.67262711
13201001300,13201,13,おんがたちく№10いせき,恩方地区No.10遺跡,八王子市 小津町,[縄文時代],包蔵地,,土器,139.2343552,35.67913575
13201001400,13201,14,みや（おんがたちく№9）いせき,ミヤ（恩方地区No.9)遺跡,八王子市 小津町,[縄文時代（中期？）],包蔵地,,磨斧,139.2467685,35.67773594
13201001500,13201,15,ひかげいせき,日影遺跡,八王子市 上川町,[縄文時代（前期?中期）][近世],集落,,縄文土器　打斧　陶磁器,139.2599803,35.70302121
13201001600,13201,16,,八王子市№16遺跡,八王子市 上川町,[縄文時代（中期）][古墳時代][近世],包蔵地,,縄文土器　土師器　陶磁器,139.2541438,35.70309091
13201001700,13201,17,とざわうえいせき,戸沢上遺跡,八王子市 上川町,[縄文時代（前期?中期）][古墳時代][近世],包蔵地,,縄文土器　打斧　石鏃,139.258407,35.70053845
13201001800,13201,18,とうないりうえのはらいせき,十内入上原遺跡,八王子市 上川町　 川口町,[縄文時代（早期・中期?後期）],集落,[縄文時代]敷石住居?,縄文土器,139.2651541,35.69673721
13201001900,13201,19,とのいりひがしいせき,十内入東遺跡,八王子市 川口町,[縄文時代（早期?中期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居　炉穴　集石　土坑　[古墳時代]土坑　[中近]建物跡　地下式坑　墓坑　土坑,縄文土器　石器　陶磁器　漆器　銭貨　金属製品,139.2682011,35.69471575
13201002000,13201,20,,八王子市№20遺跡,八王子市 上川町,[縄文時代（早期）][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器,139.2625268,35.69984144
13201002100,13201,21,,八王子市№21遺跡,八王子市 上川町,[縄文時代（中期）][近世],包蔵地,,縄文土器　石匙　円盤石器　剥片　陶磁器,139.261182,35.69901341
13201002200,13201,22,,八王子市№22遺跡,八王子市 上川町,[縄文時代（早期?中期）][古墳時代][奈良時代][平安時代][近世],包蔵地,,剥片　縄文土器　土師器　陶磁器,139.2633517,35.69844495
13201002300,13201,23,,八王子市№23遺跡,八王子市 川口町,[縄文時代（早期?後期）][古墳時代][近世],包蔵地,,縄文土器　土師器　陶磁器,139.2766694,35.69798164
13201002400,13201,24,,八王子市№24遺跡,八王子市 川口町,[縄文時代（中期）],包蔵地,,縄文土器,139.2727302,35.69212923
13201002500,13201,25,みやたいせき,宮田遺跡,八王子市 川口町,[縄文時代（前期?後期）][古墳時代][近世],集落,[縄文時代]住居　敷石住居　土坑,縄文土器　打斧　磨斧　石鏃　土錘　土製円板　土偶　炭化材　土師器　須恵器　陶磁器,139.279116,35.68945238
