JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13213000100,13213,1,,東村山№1遺跡,東村山市 多摩湖町三丁目,[縄文時代（中期）],包蔵地・集落,,縄文土器,139.4442464,35.76501003
13213000200,13213,2,やけべやまいせき,宅部山遺跡,東村山市 多摩湖町四丁目,[縄文時代（中期）][奈良時代],包蔵地・その他（瓦塔）,[奈良時代]瓦塔基壇,縄文土器　石器　瓦塔,139.4478513,35.76620791
13213000300,13213,3,,東村山市№3遺跡,東村山市 多摩湖町二丁目,[奈良時代],包蔵地,,土師器　須恵器,139.4462054,35.76300638
13213000400,13213,4,,東村山市№4遺跡,東村山市 多摩湖町二丁目,[縄文時代（中期）],包蔵地,,縄文土器　打製石斧　楔形石器,139.4453814,35.75957969
13213000500,13213,5,,東村山市№5遺跡,東村山市 多摩湖町一丁目,[縄文時代（中期）][古墳時代][奈良時代][中世],包蔵地,,縄文土器　剥片　土師器　須恵器　陶器　磁器,139.448643,35.76342426
13213000700,13213,7,ひなたきた,日向北遺跡,東村山市 多摩湖町一丁目,[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世],集落,[縄文時代]住居　[古墳時代]住居,尖頭器　縄文土器　打製石斧　磨製石斧　石鏃　石錐　敲石　土錘　垂飾　石棒　石剣　紡錘車　耳栓　土偶　剥片　残核　焼獣骨　弥生土器　土師器　須恵器　陶器　磁器,139.4518359,35.76470573
13213001000,13213,10,ひなたづか（ひとみづか）,日向塚（人見塚）,東村山市 多摩湖町一丁目,[時代不明],その他（塚）,,縄文土器　打製石斧　土師器　須恵器,139.449982,35.76152986
13213001100,13213,11,,東村山市№11遺跡,東村山市 廻田町三丁目,[縄文時代（中期）],包蔵地,,縄文土器　石鏃,139.444279,35.75814685
13213001200,13213,12,,東村山市№12遺跡,東村山市 廻田町三丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.4475079,35.75835171
13213001700,13213,17,なかのわり（ひなた）いせき,中の割(日向)遺跡,東村山市 多摩湖町一丁目　 廻田町三丁目　 廻田町四丁目,[旧石器時代][縄文時代（草創期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世],集落,［縄文時代］竪穴住居跡　敷石住居　土坑 集石土坑　配石,ナイフ形石器　尖頭器　釉石刃　剥片　残核　縄文土器　耳栓　土製円盤　ミニチュア土器　打製石斧　磨製石斧　石鏃　楔形石器　石棒　敲石　磨石兼敲石　スクレイパー　石皿　台石　石皿兼台石　剥片　残核　弥生土器　瓦　土師器　須恵器　陶器　磁器　板碑,139.4503939,35.76027619
13213001800,13213,18,,東村山市№18遺跡,東村山市 諏訪町三丁目,[縄文時代（中期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世],包蔵地,,縄文土器　磨製石斧　石皿　剥片　弥生土器　土師器　須恵器　陶器,139.4532948,35.76733005
13213001900,13213,19,,東村山市№19遺跡,東村山市 諏訪町三丁目,[縄文時代（前期～中期）][古墳時代][奈良時代][平安時代][中世],包蔵地,,縄文土器　剥片　土師器　須恵器　陶器,139.4556294,35.76710719
13213002000,13213,20,,東村山市№20遺跡,東村山市 諏訪町三丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.4586163,35.76785933
13213002100,13213,21,,東村山市№21遺跡,東村山市 諏訪町三丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器　須恵器　瓦,139.4608136,35.76953073
13213002200,13213,22,,東村山市№22遺跡,東村山市 野口町四丁目　 諏訪町二丁目,[縄文時代（早期・中期）][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　打製石斧　敲石　土師器,139.45908,35.76261635
13213002300,13213,23,,東村山市№23遺跡,東村山市 諏訪町二丁目,[縄文時代（前期～中期）],包蔵地,,縄文土器,139.46665,35.77220489
13213002400,13213,24,,東村山市№24遺跡,東村山市 諏訪町二丁目,[縄文時代（中期）],包蔵地,,縄文土器　打製石斧　剥片,139.4671994,35.77312412
13213002500,13213,25,,東村山市№25遺跡,東村山市 諏訪町二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.4683667,35.77359765
13213002600,13213,26,とくぞうじ（のぐち）いせき,徳蔵寺(野口)遺跡,東村山市 諏訪町一丁目,[縄文時代（早期・中期～晩期）][弥生時代（前期～中期）][古墳時代][奈良時代][平安時代][中世],包蔵地,[時代不明]V字溝,縄文土器　打製石斧　石皿　残核　弥生土器　土師器　須恵器　陶器　中世土器　磁器　板碑　石製円盤　木製品,139.4687443,35.77033856
13213002700,13213,27,,東村山市№27遺跡,東村山市 野口町三丁目,[縄文時代（中期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　打製石斧　敲石　剥片　弥生土器　土師器　須恵器,139.4547198,35.76473359
13213002800,13213,28,かじやついせき,鍛冶谷ッ遺跡,東村山市 野口町三丁目,[縄文時代（中期～晩期）][弥生時代（前期～後期）][古墳時代][奈良時代]［平安時代］,包蔵地,,縄文土器　剥片　弥生土器　土師器　須恵器,139.4555438,35.76621006
13213002900,13213,29,,東村山市№29遺跡,東村山市 野口町三丁目,[縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][中世],包蔵地,,縄文土器　打製石斧　剥片　残核　土師器　須恵器　板碑　陶器　中世土器,139.4540332,35.76269993
13213003000,13213,30,,東村山市№30遺跡,東村山市 野口町三丁目,[旧石器時代][縄文時代（中期～後期）][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器　剥片　残核　土師器　須恵器,139.4558871,35.76445501
13213003100,13213,31,しょうふくじいせき,正福寺遺跡,東村山市 野口町三丁目　 野口町四丁目,[旧石器時代][縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][中世],集落,[奈良時代]住居　[平安時代]住居,尖頭器　縄文土器　打製石斧　石鏃　剥片　石皿　敲石　磨石兼敲石　土師器　須恵器　砥石　紡錘車　刀子　鉄鏃　陶器,139.4575007,35.7645943
13213003200,13213,32,,東村山市№32遺跡,東村山市 野口町四丁目,[縄文時代（早期・中期・晩期）][古墳時代][平安時代],包蔵地,,縄文土器　石鏃　土師器　須恵器,139.4610195,35.76593718
13213003300,13213,33,べんてんいけきたいせき,弁天池北遺跡,東村山市 野口町四丁目,[縄文時代（前期～後期）][古墳時代][奈良時代][平安時代][中世],集落,竪穴建物　土坑　埋設土器　溝状遺構,縄文土器　打製石斧　石皿　剥片　土師器　須恵器　紡錘車　刀子　小刀　角釘　瓦　紡錘車　陶器　磁器　板碑　銭貨,139.4612942,35.76365282
13213003400,13213,34,,東村山市№34遺跡,東村山市 野口町四丁目,[縄文時代（中期）][古墳時代],包蔵地,,縄文土器　土師器,139.4634228,35.76540788
13213003500,13213,35,,東村山市№35遺跡,東村山市 野口町四丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.4633541,35.76281707
