JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品,取得住所,色,画面経度,画面緯度
13222000100,13222,1,,東久留米市№1遺跡,東久留米市 下里一丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都東久留米市下里一丁目,blue,139.50955642625235,35.753345301823074
13222000200,13222,2,みやまえきいせき,宮前遺跡,東久留米市 下里二丁目,［旧石器時代］[縄文時代（中期）],集落,[縄文時代]住居　土坑,縄文土器　石器,東京都東久留米市下里二丁目,blue,139.50242061546143,35.75430546040626
13222000300,13222,3,しんやまいせき,新山遺跡,東久留米市 下里三丁目,［旧石器時代］[縄文時代（中期）][平安時代],集落,[縄文時代]住居跡　土坑　配石　[平安時代]住居跡　[時代不明]窯状遺構,ナイフ形石器　剥片　縄文土器　打斧　磨斧　石鏃　石錐　石皿　磨石　凹石　土製円板　土師器,東京都東久留米市下里三丁目,blue,139.49933071067628,35.7522715313562
13222000400,13222,4,にししもさといせき,西下里遺跡,東久留米市 下里四丁目,[旧石器時代][縄文時代（早期）],包蔵地,,ナイフ形石器　台形石器　縄文土器,東京都東久留米市下里四丁目,blue,139.4959318161984,35.75645077954064
13222000500,13222,5,,東久留米市№5遺跡,東久留米市 下里五丁目,[旧石器時代][縄文時代（中期）],包蔵地,,ナイフ形石器　縄文土器,東京都東久留米市下里五丁目,blue,139.50228328714567,35.756283615315425
13222000600,13222,6,さかしたいせき,坂下遺跡,東久留米市 下里七丁目,[旧石器時代][縄文時代（中期）],包蔵地,,ナイフ形石器　石刃　縄文土器,東京都東久留米市下里七丁目,blue,139.50347961193657,35.76008762233164
13222000700,13222,7,しもざとほんむらいせき,下里本邑遺跡,東久留米市 野火止三丁目,[旧石器時代][縄文時代（早期～中期）][弥生時代][奈良時代][平安時代]［近世］,集落,[旧石器時代]石器礫群　[縄文時代]住居跡　土坑　[弥生時代]土坑　方形周溝墓　[奈良時代]住居　[平安時代]住居,ナイフ形石器　尖頭器　細石刃　細石刃核　局部磨斧　礫器　細石器　縄文土器　弥生土器　土師器,東京都東久留米市野火止三丁目,blue,139.509075773873,35.76109056455917
13222000800,13222,8,しんめいやまいせき,神明山遺跡,東久留米市 中央町二丁目,[旧石器時代][縄文時代（中期）],包蔵地,[旧石器時代]礫群,ナイフ形石器　石刃　礫器　縄文土器,東京都東久留米市中央町二丁目,blue,139.5216609784124,35.75451381674006
13222000900,13222,9,,東久留米市№9遺跡,東久留米市 中央町五丁目,[旧石器時代][縄文時代（前期～中期）],包蔵地,,尖頭器　縄文土器,東京都東久留米市中央町五丁目,blue,139.5184121454587,35.75197301330064
13222001000,13222,10,だいいちしょうがっこういせき,第一小学校遺跡,東久留米市 中央町六丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]礫群　[縄文時代]住居　土坑,ナイフ形石器　石錘　縄文土器　石器,東京都東久留米市中央町六丁目,blue,139.51695746035097,35.75376155027283
13222001100,13222,11,こやまだいいせき,小山台遺跡,東久留米市 小山一丁目　 小山二丁目　 小山三丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代],集落,[縄文時代]住居,ナイフ形石器　縄文土器　打斧　弥生土器,東京都東久留米市小山一丁目２番,blue,139.52725261663937,35.76481260941078
13222001200,13222,12,,東久留米市№12遺跡,東久留米市 氷川台一丁目,[旧石器時代][縄文時代（早期～前期）],包蔵地,,ナイフ形石器　縄文土器,東京都東久留米市氷川台一丁目,blue,139.53453105928418,35.76651192851598
13222001300,13222,13,,東久留米市№13遺跡,東久留米市 金山町一丁目　 氷川台二丁目,[旧石器時代][縄文時代（中期）],包蔵地,,礫器　縄文土器,東京都東久留米市金山町一丁目２番,blue,139.53535503441742,35.76704121671064
13222001400,13222,14,じゆうがくえんみなみいせき,自由学園南遺跡,東久留米市 学園町一丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]ブロック　礫群　[縄文時代]住居　集石　炉穴　土坑　ピット　柄鏡形遺構,ナイフ形石器　尖頭器　角錐状石器　台形石器　楔形石器　掻器　削器　彫器　石錐　石斧　礫器　敲石　磨石　石核　剥片　縄文土器　打斧　有茎尖頭器　石鏃　石棒,東京都東久留米市学園町一丁目,blue,139.5383027920214,35.75328620554633
13222001500,13222,15,じゆうがくえんきたいせき,自由学園北遺跡,東久留米市 学園町一丁目,[旧石器時代][縄文時代（早期～後期）],集落,[旧石器時代]礫群,ナイフ形石器　尖頭器　縄文土器,東京都東久留米市学園町一丁目,blue,139.53784312766868,35.75457837177207
13222001600,13222,16,,東久留米市№16遺跡,東久留米市 本町四丁目,[旧石器時代][縄文時代],包蔵地,,尖頭器　縄文土器,東京都東久留米市本町四丁目,blue,139.52982111070347,35.75698457043573
13222001700,13222,17,,東久留米市№17遺跡,東久留米市 浅間町一丁目,[旧石器時代][縄文時代（早期～中期）],包蔵地,,縄文土器,東京都東久留米市浅間町一丁目,blue,139.53849544142497,35.757336620665455
13222001800,13222,18,さんかくやまいせき,三角山遺跡,東久留米市 浅間町二丁目,[旧石器時代][縄文時代（早期～後期）],集落,[旧石器時代]礫群,ナイフ形石器　尖頭器　縄文土器　有茎尖頭器,東京都東久留米市浅間町二丁目,blue,139.54358834999184,35.76018849056982
13222001900,13222,19,,東久留米市№19遺跡,東久留米市 浅間町二丁目,[縄文時代（早期～中期）],包蔵地,,縄文土器,東京都東久留米市浅間町二丁目,blue,139.5445496547505,35.7608849778744
13222002000,13222,20,かわにしいせき,川西遺跡,東久留米市 浅間町三丁目,[縄文時代（早期～中期）],集落,[縄文時代]住居,縄文土器　石鏃,東京都東久留米市浅間町三丁目,blue,139.54547662513835,35.75837759504249
13222002100,13222,21,,東久留米市№21遺跡,東久留米市 柳窪一丁目,[旧石器時代][縄文時代（中期）],包蔵地,,尖頭器　削器　縄文土器,東京都東久留米市柳窪一丁目,blue,139.49675579133165,35.75009823577204
13222002200,13222,22,やなぎくぼいせき,柳窪遺跡,東久留米市 柳窪二丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都東久留米市柳窪二丁目,blue,139.4961378106365,35.745277765573704
13222002300,13222,23,,東久留米市№23遺跡,東久留米市 柳窪五丁目,[旧石器時代][縄文時代（前期）],包蔵地,,ナイフ形石器　縄文土器,東京都東久留米市柳窪五丁目,blue,139.49424953418037,35.75087839985325
13222002400,13222,24,じとうやまいせき,地頭山遺跡,東久留米市 南沢二丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]礫群　[縄文時代]住居,尖頭器　縄文土器,東京都東久留米市南沢二丁目,blue,139.53181031077855,35.75116499813757
13222002500,13222,25,,東久留米市№25遺跡,東久留米市 南沢二丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都東久留米市南沢二丁目,blue,139.53139832190223,35.74979971009601
13222002600,13222,26,ひかわだいみょうじんしゃまえいせき,氷川大明神社前遺跡,東久留米市 南沢三丁目,[縄文時代（早期～前期）],包蔵地,,縄文土器,東京都東久留米市南沢三丁目,blue,139.52816251088385,35.75325467872143
13222002700,13222,27,,東久留米市№27遺跡,東久留米市 南沢三丁目,[縄文時代（早期～前期）],包蔵地,,縄文土器,東京都東久留米市南沢三丁目,blue,139.5260339108574,35.75328254033337
13222002800,13222,28,たかやなぎいせき,高柳遺跡,東久留米市 南沢三丁目,[旧石器時代][縄文時代（中期）],包蔵地,,ナイフ形石器　石刃　縄文土器,東京都東久留米市南沢三丁目,blue,139.52593091429318,35.751582938644006
13222002900,13222,29,はちまんじんじゃいせき,八幡神社遺跡,東久留米市 南沢三丁目,[縄文時代（前期～後期）],包蔵地,,縄文土器,東京都東久留米市南沢三丁目,blue,139.52884915639171,35.75233522623719
13222003000,13222,30,かさまつざかいせき,笠松坂遺跡,東久留米市 南沢三丁目,[旧石器時代][縄文時代（中期）],包蔵地,,ナイフ形石器　石刃　縄文土器,東京都東久留米市南沢三丁目,blue,139.5306001045321,35.75021765777211
13222003100,13222,31,,東久留米市№31遺跡,東久留米市 南沢一丁目　 学園町一丁目,[縄文時代（早期・中期）][弥生時代],包蔵地,,縄文土器　弥生土器,東京都東久留米市南沢一丁目１番,blue,139.5367444959039,35.75661224079893
13222003200,13222,32,,東久留米市№32遺跡,東久留米市 下里二丁目,[縄文時代（中期）],包蔵地,,縄文土器,東京都東久留米市下里二丁目,blue,139.5042058940437,35.75514130623871
13222003300,13222,33,なかまるまえいせき,中丸前遺跡,東久留米市 中央町一丁目,[縄文時代（早期～中期）],包蔵地,[縄文時代]集石　土坑,縄文土器　磨斧　礫器　石鏃　磨石　スタンプ形石器,東京都東久留米市中央町一丁目,blue,139.5251519204645,35.75511787901398
13222003400,13222,34,,東久留米市№34遺跡,東久留米市 幸町三丁目　 幸町四丁目,[旧石器時代][縄文時代（早期～中期）],包蔵地,,尖頭器　縄文土器,東京都東久留米市幸町三丁目４番,blue,139.5182620852442,35.75841434582743
13222003500,13222,35,,東久留米市№35遺跡,東久留米市 幸町二丁目,[旧石器時代][縄文時代（早期・中期～後期）],包蔵地,,縄文土器,東京都東久留米市幸町二丁目,blue,139.52066998437175,35.7598389703671
13222003600,13222,36,,東久留米市№36遺跡,東久留米市 幸町三丁目,[旧石器時代][縄文時代（早期）],包蔵地,,剥片　縄文土器,東京都東久留米市幸町三丁目,blue,139.5230342720474,35.75897154805253
13222003700,13222,37,こやまごちょうめいせき,小山五丁目遺跡,東久留米市 小山五丁目,[旧石器時代][縄文時代（中期）],包蔵地,[旧石器時代]礫群,ナイフ形石器　縄文土器,東京都東久留米市小山五丁目,blue,139.51822322781877,35.764004723034404
13222003800,13222,38,,東久留米市№38遺跡,東久留米市 氷川台一丁目,[旧石器時代][縄文時代（前期）],包蔵地,,剥片　縄文土器,東京都東久留米市氷川台一丁目,blue,139.53302043864312,35.766651215392244
13222003900,13222,39,,東久留米市№39遺跡,東久留米市 金山町二丁目,[旧石器時代][縄文時代（早期～中期）],包蔵地,,剥片　縄文土器,東京都東久留米市金山町二丁目,blue,139.54211849162164,35.76823906769194
13222004000,13222,40,,東久留米市№40遺跡,東久留米市 南沢一丁目,[旧石器時代][縄文時代（早期～中期）],包蔵地,,剥片　縄文土器,東京都東久留米市南沢一丁目,blue,139.5342135700559,35.75356116016782
13222004100,13222,41,,東久留米市№41遺跡,東久留米市 南沢四丁目,[旧石器時代][縄文時代（中期）],包蔵地,,ナイフ形石器　縄文土器,東京都東久留米市南沢四丁目,blue,139.5299821225273,35.749298170200134
13222004200,13222,42,,東久留米市№42遺跡,東久留米市 南沢二丁目,[縄文時代（早期・中期）][弥生時代],包蔵地,,縄文土器　打斧　剥片　弥生土器,東京都東久留米市南沢二丁目,blue,139.53359558805113,35.751861564428935
13222004300,13222,43,,東久留米市№43遺跡,東久留米市 浅間町三丁目,[縄文時代（前期）],包蔵地,,縄文土器,東京都東久留米市浅間町三丁目,blue,139.54067010658363,35.75450492586894
13222004400,13222,44,しんばしみなみいせき,新橋南遺跡,東久留米市 新川町一丁目,[縄文時代（中期）],包蔵地,,縄文土器　石鏃　石錐,東京都東久留米市新川町一丁目,blue,139.5381295189906,35.758851217002785
13222004500,13222,45,,東久留米市№45遺跡,東久留米市 下里四丁目,[旧石器時代],包蔵地,,石刃,東京都東久留米市下里四丁目,blue,139.49610347757536,35.75458407665923
