JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13225000100,13225,1,けいおうていとさがみはらせん№1いせき,京王帝都相模原線No.1遺跡,稲城市 坂浜,[旧石器時代][縄文時代（早期・中期）][奈良時代][平安時代],包蔵地,,,139.4766499,35.61807499
13225000200,13225,2,けいおうていとさがみはらせん№2いせき,京王帝都相模原線No.2遺跡,稲城市 坂浜,[旧石器時代][縄文時代（中期）][中世],集落,[縄文時代]住居　炉　土坑　[中世]建物　ピット群　地下式土坑,ナイフ形石器　縄文土器　石器　陶器　鉄鏃　刀子,139.4788815,35.61935881
13225000300,13225,3,,稲城市№3遺跡,稲城市 坂浜,[縄文時代（前期～中期）],包蔵地,,縄文土器,139.4832074,35.62139613
13225000500,13225,5,,稲城市№5遺跡,稲城市 坂浜,[旧石器時代][縄文時代（中期）]［奈良時代］［平安時代］[中世],包蔵地,,,139.4855763,35.62424271
13225000700,13225,7,,稲城市№7遺跡,稲城市 坂浜,[縄文時代（前期）],包蔵地,,縄文土器,139.4807711,35.61954104
13225000900,13225,9,たまにゅーたうん№11いせき,多摩ニュータウン№11遺跡,稲城市 坂浜,[縄文時代（早期～後期）][古墳時代][中世][近世],包蔵地,[縄文時代]土坑　[古墳時代]土坑　[中世]竪穴状遺構　[近世]土坑　室　溝　道,縄文土器　打斧　磨斧　礫器　有舌尖頭器　石鏃　掻器　磨器　凹石　敲石　須恵器　陶磁器　舶載陶磁器　板碑　砥石　鎌　釘　刀子　銭貨,139.4748488,35.62269467
13225001000,13225,10,たまにゅーたうん№473いせき,多摩ニュータウン№473遺跡,稲城市 坂浜,[縄文時代（早期～後期）][奈良時代][中世][近世],集落,[縄文時代]住居　建物　竪穴状遺構　集石　炉穴　焼土　土坑　墓壙　埋甕　[中世][近世]室　炭窯　溝　道路,縄文土器　石器　土製円板　?状耳飾　垂飾　石棒　石製模造品　土偶　炭化材　土師器　須恵器,139.4741777,35.62371711
13225001100,13225,11,たまにゅーたうん№474いせき,多摩ニュータウン№474遺跡,稲城市 坂浜,[近世],塚,2基,土師器　銭貨,139.4748472,35.6235078
13225001300,13225,13,たまにゅーたうん№470いせき,多摩ニュータウン№470遺跡,稲城市 坂浜,[縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居　集石　土坑　[古墳時代]土坑　[平安時代][中世]土坑　溝　[近世]土坑　炭窯　溝,縄文土器　打斧　礫器　石皿　磨石　土師器　炭化物　陶磁器　砥石　鉄蹄　構築材,139.4713238,35.62401753
13225001400,13225,14,たまにゅーたうん№471いせき,多摩ニュータウン№471遺跡,稲城市 坂浜,[旧石器時代][縄文時代（早期～中期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],集落,[旧石器時代]遺物集中地点　[縄文時代]住居　建物　竪穴状遺構　集石　炉穴　焼土　土坑　墓壙　埋甕　[古墳時代]ピット　土坑　[奈良時代][平安時代]焼土　土坑　炭窯　[平安時代][中世]竪穴状遺構　土坑　溝状遺構　[中世]土坑　炭窯　溝　道路状遺構,ナイフ形石器　尖頭器　はく片　礫　縄文土器　石器　土製円板　?状耳飾　垂飾　石棒　土偶　炭化材　弥生土器　有孔磨製石鏃　炭化物　土師器　須恵器　陶磁器　舶載陶磁器　砥石　煙管,139.4732807,35.62301286
13225001700,13225,17,たまにゅーたうん№14いせき,多摩ニュータウン№14遺跡,稲城市 坂浜,[縄文時代（早期～後期）][奈良時代][平安時代][中世],包蔵地,[縄文時代]集石　土坑　[近世]土坑　炭窯　溝,縄文土器　石器　土師器　須恵器　陶磁器,139.4662499,35.62499428
13225001800,13225,18,たまにゅーたうん№383いせき,多摩ニュータウン№383遺跡,稲城市 坂浜,[縄文時代（早期～後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地,[縄文時代]集石　焼土　土坑　埋甕　[古墳時代]土坑　[古墳時代]～[平安時代]竪穴状遺構　焼土　[平安時代]～[中世]土坑　[近世]ピット　土坑　井戸　段切状遺構　溝,縄文土器　打斧　磨斧　礫器　有舌尖頭器　石鏃　石匙　磨石　土師器　須恵器　陶器　陶磁器　鋤　鎌　銭貨　炭化材,139.4672112,35.62750586
13225001900,13225,19,たまにゅーたうん№382いせき,多摩ニュータウン№382遺跡,稲城市 坂浜,[縄文時代（早期～中期）][弥生時代（中期）][奈良時代][平安時代][中世][近世],包蔵地,[縄文時代]集石　焼土　土坑　石鏃製作址　[奈良時代]～[近世]焼土　ピット　土坑　段切状遺構　溝,縄文土器　打斧　磨斧　礫器　有舌尖頭器　石鏃　削器　石皿　磨石　凹石　敲石　土製円板　土棒　土偶　弥生土器　土師器　須恵器　陶器　陶磁器,139.4663186,35.62750586
13225002000,13225,20,たまにゅーたうん№13いせき,多摩ニュータウン№13遺跡,稲城市 坂浜,[縄文時代（前期～中期）][近世],包蔵地,,縄文土器　陶磁器,139.4700133,35.6236675
13225002100,13225,21,たまにゅーたうん№469いせき,多摩ニュータウン№469遺跡,稲城市 坂浜,[縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][中世][近世],集落,,縄文土器,139.4707238,35.62430247
13225002200,13225,22,たまにゅーたうん№480いせき,多摩ニュータウン№480遺跡,稲城市 坂浜,[旧石器時代][縄文時代（前期～中期）][奈良時代][中世][近世],集落,[縄文時代]住居　集石　土坑　[近世]溝,ナイフ形石器　縄文土器　石器　土製円板　土製品　瓦器　陶磁器,139.4715134,35.62623324
