JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
1322900100,13229,1,きたみやのわきいせき,北宮ノ脇遺跡,西東京市 北町五丁目,[旧石器時代][縄文時代(早期・中期)][近世],集落,[旧石器時代]ブロック 礫群 [縄文時代]土坑 ピット 焼土跡 [近世]溝,石器 剥片 焼礫 縄文土器 陶磁器,139.5624,35.75549
1322900200,13229,2,かみまえいせき,上前遺跡,西東京市 北町六丁目,[縄文時代],包蔵地,,縄文土器 黒曜石,139.5605,35.75471
1322900300,13229,3,なかあらやしきいせき,中荒屋敷遺跡,西東京市 下保谷三丁目,[旧石器時代][縄文時代(前期)][弥生時代],包蔵地,[旧石器時代]ブロック,縄文土器 弥生土器 剥片,139.5646,35.75364
1322900500,13229,5,みなみいりきょうづか,南入経塚,西東京市 住吉町五丁目,[近世],その他（経塚）,形態（円錐台形状） 1基 [近世]墳丘,,139.5582,35.74704
1322900700,13229,7,したのやいせき,下野谷遺跡,西東京市 東伏見二丁目 東伏見三丁目 東伏見六丁目,[旧石器時代][縄文時代(早期～後期)][弥生時代（後期）][古墳時代][平安時代][近世],集落,[旧石器時代]ブロック 礫群 炭化物集中 [縄文時代]住居跡 掘立柱建物跡 竪穴 炉穴 陥し穴 集石土坑 土坑 ピット ピット列 埋設土器 [近世]竪穴 溝 道路 集石 配石 柵列 土坑 硬化面 畑 ピット,石器 剥片 焼礫 縄文土器 土錘 土製円盤 垂飾 耳栓 炭化物 矢柄研磨器 砥石 陶磁器 土師質土器 瓦質土器 銭貨 煙管 須恵器 管状土錘 土鈴 刀子 釘 弥生土器 土師器,139.5611,35.7257
1322900800,13229,8,さかしたいせき,坂下遺跡,西東京市 東伏見五丁目 柳沢二丁目,[旧石器時代][縄文時代(早期～中期)][平安時代][近世],集落,[旧石器時代]礫群 ブロック 炭化物集中 土坑 [縄文時代]土坑 ピット [平安時代]住居跡 [近世]溝 土坑 ピット,石器 剥片 焼礫 縄文土器 粘土塊 土師器 須恵器 陶磁器 土師質土器 瓦質土器 銭貨 煙管 石臼,139.5576,35.72376
1322900900,13229,9,かみほうやかみじゅくいせき,上保谷上宿遺跡,西東京市 住吉町一丁目,[時代不明],包蔵地,,土器,139.5496,35.74338
1322901000,13229,10,ひがしふしみいなりじんじゃいせき,東伏見稲荷神社遺跡,西東京市 東伏見一丁目,[旧石器時代][縄文時代(中期)],包蔵地,,尖頭器 縄文土器,139.5582,35.72677
1322901100,13229,11,しもやぎさわいせき,下柳沢遺跡,西東京市 東伏見二丁目 東伏見三丁目,[旧石器時代][縄文時代(草創期～後期)][中世][近世],集落・その他の墓,[旧石器時代]ブロック 礫群 [縄文時代]住居 土坑 ピット [中]井戸 地下式土坑 [近世]土坑 井戸 溝 水車 畑 水田,縄文土器 石器 剥片 焼礫 陶磁器 土師質土器 瓦質土器 茶臼 板碑 銭貨,139.5642,35.72665
1322901200,13229,12,かみむこうだいきたいせき,上向台北遺跡,西東京市 南町三丁目,[縄文時代(早期)],包蔵地,,縄文土器,139.5421,35.72595
1322901300,13229,13,しもじゅくいせき,下宿遺跡,西東京市 南町五丁目,[縄文時代][平安時代],包蔵地,,石鏃 土師器,139.5387,35.72626
1322901400,13229,14,しもじゅくみなみいせき,下宿南遺跡,西東京市 南町五丁目,[縄文時代],包蔵地,,石鏃,139.5369,35.72309
1322901500,13229,15,かみむこうだいにしいせき,上向台西遺跡,西東京市 向台町三丁目,[縄文時代],包蔵地,,石鏃,139.5377,35.72157
1322901600,13229,16,たなしみなみちょういせき,田無南町遺跡,西東京市 南町五丁目,[旧石器時代][縄文時代(草創期～早期)][近世],包蔵地,[旧石器時代]ブロック 礫群 [縄文時代]陥し穴 [近世]溝,ナイフ形石器 細石刃 掻器 削器 彫器 局部磨製石斧 敲石 磨石 縄文土器 打斧 石槍 石鏃 陶磁器 瓦 煙管 泥面子,139.5344,35.72371
