"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1330800100,13308,"1","とずらいせき","留浦遺跡","奥多摩町 原","[縄文時代（中期）]","包蔵地","","縄文土器　石鏃　石匙",138.989000856163,35.7775138890408
1330800200,13308,"2","ささひらいせき","笹平遺跡","奥多摩町 原","[縄文時代（中期～後期）]","包蔵地","","縄文土器　石鏃",138.998153763294,35.7736997596532
1330800300,13308,"3","あなはたいせき","穴畑遺跡","奥多摩町 原","[縄文時代（中期～後期）]","包蔵地","","縄文土器　土師器",139.001473420308,35.7731148043413
1330800400,13308,"4","ほんだいせき","本田遺跡","奥多摩町 原","[縄文時代（早期～前期）]","包蔵地","","縄文土器　尖頭状石器　石鏃",139.011704439422,35.7763459272917
1330800500,13308,"5","みなみいせき","南遺跡","奥多摩町 原","[縄文時代（中期～後期）]","包蔵地","","縄文土器　有茎石鏃",139.021190898654,35.7724690333137
1330800600,13308,"6","こうちむかいいせき","河内向遺跡","奥多摩町 原","[縄文時代（中期）]","包蔵地","","縄文土器",139.025080508841,35.7744027052903
1330800700,13308,"7","かみごうちだいらいせき","上河内平遺跡","奥多摩町 原","[縄文時代（中期～後期）]","集落","[縄文時代]敷石住居","縄文土器　打斧　磨斧　石鏃　石錘　石皿　石棒",139.022065939649,35.7766801742627
1330800800,13308,"8","しもこうちだいらいせき","下河内平遺跡","奥多摩町 原","[縄文時代（前期）]","包蔵地","","縄文土器　石鏃　石匙　石錐　敲石",139.023988547202,35.7770979828599
1330800900,13308,"9","しもこうちむかいいせき","下河内向遺跡","奥多摩町 原","[縄文時代（前期）]","包蔵地","","縄文土器",139.024434865538,35.779632627971
1330801000,13308,"10","ゆばたいがんおおぬたいせき","湯場対岸大沼田遺跡","奥多摩町 原","[縄文時代（前期～中期）]","包蔵地","","縄文土器　石鏃",139.034940540956,35.7801061233733
1330801100,13308,"11","いでのいせき","出野遺跡","奥多摩町 原","[縄文時代（中期）]","包蔵地","","縄文土器",139.038717094524,35.7789363037675
1330801400,13308,"14","どうじょうがやといせき","堂場谷戸遺跡","奥多摩町 原","[縄文時代（中期～後期）]","集落","[縄文時代]住居","縄文土器　打斧　磨斧　石鏃　石錘",139.038614097959,35.782947040284
1330801500,13308,"15","とちよりいせき","栃寄遺跡","奥多摩町 原","[縄文時代（前期・後期）]","包蔵地","","縄文土器",139.04901677845,35.7835040711813
1330801600,13308,"16","ふくつぎいせき","福次遺跡","奥多摩町 留浦","[縄文時代（中期）]","包蔵地","","縄文土器",138.998386441162,35.793649898334
1330801700,13308,"17","とちよりまえなっちいせき","栃寄前夏地遺跡","奥多摩町 境","[縄文時代（前期）]","包蔵地","","縄文土器",139.078851523015,35.7867626249957
1330801800,13308,"18","うりだいらいせき","うり平遺跡","奥多摩町 氷川","[縄文時代]","包蔵地","","石鏃　剥片　土師器",139.079297842333,35.806394665029
1330801900,13308,"19","きぬがさいせき","絹笠遺跡","奥多摩町 氷川絹笠","[縄文時代（中期）]","包蔵地","","縄文土器",139.087606251275,35.8086777927277
1330802000,13308,"20","とちくぼいせき","栃久保遺跡","奥多摩町 氷川","[平安時代]","包蔵地","","土師器",139.094026385725,35.8126591879979
