"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明","色"
1311102900,13111,"29","とうこういんうらいせき","東光院裏遺跡","大田区 田園調布本町","[中世]","包蔵地・その他（板碑出土地）","","板碑",139.6732746,35.58384688,"0","0","0","0","0","0","1","0","0","yellow"
1311103300,13111,"33","はいづか","灰塚","大田区 千鳥町三丁目","[中世]","墳墓","","板碑",139.6872485,35.57255659,"0","0","0","0","0","0","1","0","0","yellow"
1311106902,13111,"69-2","おおもり・さんのうかまくらかいどうしもつみちかんれんいせき","大森・山王鎌倉街道下ッ道関連遺跡","大田区 山王一丁目","[中世]","その他（道路跡）","[中世]道路遺構　溝状遺構","須恵器　かわらけ　土錘　擂鉢　銭貨　磁器",139.7288048,35.59189863,"0","0","0","0","0","0","1","0","0","yellow"
1311107000,13111,"70","くまのじんじゃまえかいづか・あらいじゅくじょうあと","熊野神社前貝塚・新井宿城跡","大田区 山王三丁目","[奈良時代][平安時代][中世]","貝塚・城館","","土師器　須恵器　獣骨",139.721874,35.58434285,"0","0","0","0","1","1","1","0","0","yellow"
1311108100,13111,"81","くがはらいせき","久ヶ原遺跡","大田区 久が原四丁目　 久が原五丁目　 久が原六丁目　 千鳥一丁目","[弥生時代（中期～後期）][古墳時代][中世]","集落","竪穴住居跡","弥生土器　縄文土器　磨斧　軽石製品　土錘　勾玉　獣骨　土師器",139.6939146,35.57641986,"0","0","1","1","0","0","1","0","0","yellow"
1311109001,13111,"90-1","こうみょうじいせき","光明寺遺跡","大田区 鵜の木一丁目","[旧石器時代][縄文時代（早期）][弥生時代][古墳時代][奈良時代][中世][近世]","集落・その他（墓地）","[旧石器時代]石器集中　礫群　[縄文時代]陥し穴　[弥生時代]住居　方形周溝墓　[中世][近世]竪穴状遺構　墓地　集石土坑　集石","石器　礫　縄文土器　弥生土器　陶磁器　蔵骨器　板碑",139.684314,35.57385397,"1","1","1","1","1","0","1","1","0","yellow"
1311110600,13111,"106","おおもりみなみこふん","大森南古墳","大田区 大森南一丁目","[古墳時代][中世]","古墳？塚？","円墳","",139.7383679,35.56248294,"0","0","0","1","0","0","1","0","0","yellow"
1311110700,13111,"107","はちまんづか","八幡塚","大田区 東六郷三丁目","[中世]","塚","","蔵骨器（常滑壺）",139.7135058,35.54401727,"0","0","0","0","0","0","1","0","0","yellow"
1311111300,13111,"113","てらくぼいせき","寺窪遺跡","大田区 池上一丁目","[中世]","包蔵地・その他（草庵跡）","","石造宝塔",139.7063686,35.57707194,"0","0","0","0","0","0","1","0","0","yellow"
1311111400,13111,"114","ほんじょういんうらいせき","本成院裏遺跡","大田区 池上一丁目","[中世]","包蔵地・その他（板碑出土地）","","板碑",139.7044589,35.57644365,"0","0","0","0","0","0","1","0","0","yellow"
