"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
133051300,13305,"13","さぢかみやしき（おやしき）あと","幸神屋敷(御屋敷）跡","日の出町 大久野","[中世]","城館","","",139.2252434,35.74301685
133051400,13305,"14","あらいやしきあと","新井屋敷跡","日の出町 大久野","[中世]","城館","[中世]土塁","",139.2293976,35.74454945
1310102200,13101,"22","とうきょうこくりつきんだいびじゅつかんいせき","東京国立近代美術館遺跡","千代田区 北の丸公園","[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][中世][近世]","集落・城館","[旧石器時代]礫群　[縄文時代][弥生時代][古墳時代]住居　[中世]井戸　土坑群　地下式土坑　溝状遺構　堀　[近世]井戸　石組遺構","縄文土器　弥生土器　土製勾玉　土師器　須恵器　砥石　土錘　石製<U+9299>帯　石製模造品　陶磁器　カワラケ　瓦　鉄鏃　板碑　ガラス製品　焼塩壺　銭貨",139.754735,35.69037522
1310300700,13103,"7","いまいしろやま","今井城山遺跡","港区 赤坂五丁目","[中世]","城館","","",139.7357195024,35.6725084334521
1310301500,13103,"15","にしくぼしろやまいせき","西久保城山遺跡","港区 虎ノ門四丁目","[中世]","城館","","",139.744108244633,35.6658545235071
1310301700,13103,"17","おおたどうかんしろあと","太田道灌城跡","港区 虎ノ門五丁目","[中世]","城館","","",139.743146941184,35.6632883624851
1310306700,13103,"67","きゅうしろがねごりょうちいせき","旧白金御料地遺跡","港区 白金台五丁目","[中世]","城館","[中世]土塁","",139.718496366734,35.6385429904718
1310401600,13104,"16","つくどじょうあと","筑土城跡","新宿区 筑土八幡町","[中世][近世]","その他の墓・城館・社寺・その他（町屋）","[近世]大型土坑 地下室 土坑 柱穴 植栽痕","磁器 陶器 ?器 土器 瓦 土製品 金属製品",139.7404739,35.7038249
1310401800,13104,"18","うしごめじょうあといせき","牛込城跡","新宿区 袋町 北町 中町 若宮町","[縄文時代][弥生時代（後期）][古墳時代][中世][近世]","集落・城館・屋敷・その他の墓","[弥生時代]住居跡 [近世]地下室 土坑 井戸 甕埋納遺構 小穴 大型土坑 墓 植栽痕 溝状遺構 礎石","磁器 陶器 せっ器 土器 瓦 土製品 金属製品 石製品 貝類 骨角製品 ガラス製品",139.7380147,35.70067335
1310402800,13104,"28","おおたどうかんべっかんごてんやまいせき","太田道灌別館御殿山遺跡","新宿区 筑土八幡町","[中世][近世]","城館・社寺","[近世]馬埋葬遺構　甕棺墓","動物遺存体　人骨　甕棺　蔵骨器　泥人形",139.7394096,35.70404793
1310900700,13109,"7","しろがねやかたあと","白金館址","品川区 上大崎二丁目","[中世]","城館","","",139.7185611,35.63848077
1310901700,13109,"17","えばらやかたあと","荏原館跡","品川区 旗の台三丁目","[中世]","城館","[中世]土塁","",139.7080605,35.60455922
1310902100,13109,"21","かねこやまいせき","金子山遺跡","品川区 西大井四丁目","[中世]","城館","","",139.7196823,35.59370406
1311004500,13110,"45","ひもんやとのやまいせき","碑文谷殿山遺跡","目黒区 碑文谷五丁目","[中世]","城館","","",139.682451,35.62276607
1311004600,13110,"46","でんめぐろしやかたあといせき","伝目黒氏館跡遺跡","目黒区 中目黒一丁目","[中世]","城館","","",139.7028444,35.64531228
1311107000,13111,"70","くまのじんじゃまえかいづか・あらいじゅくじょうあと","熊野神社前貝塚・新井宿城跡","大田区 山王三丁目","[奈良時代][平安時代][中世]","貝塚・城館","","土師器　須恵器　獣骨",139.721874,35.58434285
1311112800,13111,"128","まごめじょうあと","馬込城跡","大田区 南馬込五丁目","[中世]","城館","","",139.7095363,35.58952412
1311113000,13111,"130","なめかたしやかたあと","行方氏館跡","大田区 蒲田二丁目　 蒲田三丁目","[中世]","城館","","",139.7239992,35.56503206
