"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
133051900,13305,"19","しもひらいこふん","下平井古墳","日の出町 平井","[古墳時代]","古墳","","須恵器　鉄鏃　刀子　直刀",139.2741196,35.74017102
1310300800,13103,"8","","港区№8遺跡","港区 赤坂六丁目","[古墳時代]","古墳","","須恵器　刀　管玉",139.735435230926,35.6683797118575
1310302400,13103,"24","まるやまこふん","丸山古墳","港区 芝公園四丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、都指定史跡芝丸山古墳となっています。 　 前方後円墳","鉄鏃　円筒埴輪　馬歯",139.747913681789,35.6549461911925
1310302500,13103,"25","まるやまこふんぐん","丸山古墳群","港区 芝公園四丁目","[古墳時代]","古墳","","",139.747484528347,35.6555320134464
1310302501,13103,"25-1","まるやまこふんぐん　いちごうふん","丸山古墳群　1号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","土師器　須恵器　鉄鏃　鹿角製刀子　刀子　管玉　棗玉　ガラス小玉　大刀　直刀　金環　人骨",139.74745019594,35.6546114321694
1310302502,13103,"25-2","まるやまこふんぐん　にごうふん","丸山古墳群　2号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳","",139.746849380794,35.6548625015683
1310302503,13103,"25-3","まるやまこふんぐん　さんごうふん","丸山古墳群　3号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳","",139.746626221135,35.6551972584749
1310302504,13103,"25-4","まるやまこふんぐん　よんごうふん","丸山古墳群　4号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]竪穴式石室?","円筒埴輪　人骨",139.746488892164,35.6556575465314
1310302505,13103,"25-5","まるやまこふんぐん　ごごうふん","丸山古墳群　5号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","須恵器　鉄鏃　刀子　埴輪　玉類　直刀　馬具　人骨",139.746523224243,35.6561038841413
1310302506,13103,"25-6","まるやまこふんぐん　ろくごうふん","丸山古墳群　6号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","須恵器　鉄鏃　管玉　直刀　銅環　鉄環　人骨",139.746849380794,35.6564665313133
1310302507,13103,"25-7","まるやまこふんぐん　ななごうふん","丸山古墳群　7号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","鉄鏃　人物埴輪　直刀　銅環　人骨",139.74731286697,35.6563131039873
1310302508,13103,"25-8","まるやまこふんぐん　はちごうふん","丸山古墳群　8号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","須恵器　埴輪　玉類　刀　槍　人骨",139.747724853882,35.6564525835802
1310302509,13103,"25-9","まるやまこふんぐん　きゅうごうふん","丸山古墳群　9号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","土師器　須恵器　鉄鏃　埴輪　玉類　直刀　銅釧　人骨",139.74805101076,35.6562852079331
1310302600,13103,"26","","港区№26遺跡","港区 芝公園四丁目","[古墳時代]","古墳","","",139.747347198721,35.657470777122
1310303300,13103,"33","","港区№33遺跡","港区 麻布台一丁目","[古墳時代]","古墳？","円墳","",139.740219,35.661404
1310303600,13103,"36","","港区№36遺跡","港区 六本木六丁目","[古墳時代]","古墳","円墳","",139.731662793495,35.6615310540579
1310304900,13103,"49","","港区№49遺跡","港区 南麻布五丁目","[古墳時代]","古墳","前方後円墳?","",139.724762006993,35.6514048439855
1310305400,13103,"54","ねこづか（おせんちやま）いせき","猫塚（オセンチ山）遺跡","港区 三田一丁目","[古墳時代]","古墳","円墳","",139.741333,35.653812
1310305700,13103,"57","かめづかいせき","亀塚遺跡","港区 三田四丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、都指定史跡亀塚となっています。 円墳","土師器　須恵器",139.74088101055,35.643551270207
1310306100,13103,"61","","港区№61遺跡","港区 三田三丁目","[古墳時代]","古墳？","","石棺?",139.740932508833,35.6428258564111
1310901800,13109,"18","","品川区No.18遺跡","品川区 南品川五丁目","[古墳時代]","古墳","","須恵器　円筒埴輪　人物埴輪",139.7416467,35.60782891
1310901900,13109,"19","おおいはやしちょうこふん","大井林町古墳","品川区 東大井四丁目","[古墳時代]","古墳","円墳","",139.7411009,35.60679337
1310902000,13109,"20","おおいこうえんないこふん","大井公園内古墳","品川区 東大井四丁目","[古墳時代]","古墳","円墳","円筒埴輪",139.7409449,35.60532457
1311001800,13110,"18","おおつかやまこふん","大塚山古墳","目黒区 目黒四丁目","[古墳時代]","古墳","円墳","",139.701523,35.632854
1311002500,13110,"25","きつねづかこふん","狐塚古墳","目黒区 碑文谷二丁目","[古墳時代]","古墳","方墳?","",139.6888711,35.62368702
1311100200,13111,"2","せんげんじんじゃこふん","浅間神社古墳","大田区 田園調布一丁目","[縄文時代][弥生時代（後期）][古墳時代]","古墳・集落","前方後円墳　[縄文時代]炉穴　[弥生時代]住居　炉　柱穴","縄文土器　打斧　剥片　弥生土器　土師器　円筒埴輪　人物埴輪　動物埴輪",139.6687695,35.58743962
1311100800,13111,"8","にしおか19ごうふん","西岡19号墳","大田区 田園調布五丁目","[古墳時代]","古墳","前方後円墳？","直刀",139.6587397,35.59761202
1311100900,13111,"9","にしおか20ごうふん","西岡20号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","",139.6578784,35.59596871
1311101000,13111,"10","にしおか21ごうふん","西岡21号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","",139.6579115,35.59571279
1311101100,13111,"11","にしおか22ごうふん","西岡22号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","土器　鉄鏃　刀子　直刀　金環　雲珠",139.6581103,35.59556462
1311101200,13111,"12","にしおか23ごうふん","西岡23号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","",139.6582659,35.59544897
1311101300,13111,"13","にしおか24ごうふん","西岡24号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","鉄鏃　直刀　銅釧　人骨",139.6586951,35.59520469
1311101400,13111,"14","いっぽんまつこふん（にしおか25ごうふん）","一本松古墳(西岡25号墳）","大田区 田園調布五丁目","[古墳時代]","古墳","円墳？","土器",139.660401,35.59766486
1311101500,13111,"15","にしおか26ごうふん","西岡26号墳","大田区 田園調布四丁目","[古墳時代]","古墳","円墳","埴輪",139.6602508,35.59732463
1311101600,13111,"16","にしおか27ごうふん","西岡27号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","",139.6598109,35.596112
1311101700,13111,"17","にしおか28ごうふん","西岡28号墳","大田区 田園調布五丁目","[古墳時代]","古墳","[古墳時代]横穴式石室","鉄鏃　鹿角柄刀子　轡　六鈴鏡　直刀",139.6602231,35.59584821
1311101800,13111,"18","にしおか29ごうふん","西岡29号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","土師器",139.6593983,35.59610788
1311101900,13111,"19","にしおか30ごうふん","西岡30号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","小刀　管玉　耳環",139.6594643,35.59568898
1311102000,13111,"20","にしおか31ごうふん","西岡31号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳？","土器　石釧",139.6593099,35.59519127
1311102100,13111,"21","にしおか32ごうふん","西岡32号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","土器　円筒埴輪",139.6591834,35.59476115
1311102200,13111,"22","にしおか33ごうふん","西岡33号墳","大田区 田園調布四丁目","[古墳時代]","古墳","","土器",139.6606553,35.59527542
1311102300,13111,"23","せんげんさまこふん（にしおか34ごうふん）","浅間様古墳(西岡34号墳）","大田区 田園調布四丁目","[古墳時代]","古墳","※遺跡範囲うち、石室部分が大田区指定史跡古墳石室（俗称穴八幡）となっています。 円墳　[古墳時代]横穴式石室","",139.6608623,35.59448064
1311102400,13111,"24","にしおか35ごうふん","西岡35号墳","大田区 田園調布四丁目","[古墳時代]","古墳","","円筒埴輪",139.6613682,35.59369521
1311102500,13111,"25","かんのんづかこふん（にしおか36ごうふん）","観音塚古墳(西岡36号墳）","大田区 田園調布四丁目","[古墳時代]","古墳","前方後円墳　[古墳時代]横穴式石室","鉄鏃　刀子　円筒埴輪　人物埴輪　玉まき　大刀埴輪　玉類　直刀　鉄環　轡　鐙　木製鐙金具　辻金具　雲珠",139.6625296,35.59444324
1311102600,13111,"26","たまがわだいこふんぐん","多摩川台古墳群1～8号墳","大田区 田園調布一丁目　 田園調布四丁目","[古墳時代]","古墳","1号墳：前方後円墳　径39m　横穴式石室 2号墳：円墳？　礫槨　 3号墳：円墳　径13～14m　横穴式石室　 4号墳：円墳　径18m　横穴式石室　 5号墳：円墳　径20.1m　横穴式石室　 6号墳：円墳　径20m　横穴式石室　 7号墳：円墳　径18.5m　横穴式石室　 8号墳：円墳　径16m　横穴式石室","1号墳：土師器　須恵器　鉄鏃　円筒埴輪　形象埴輪　 2号墳：勾玉　 3号墳：土師器　須恵器　鉄鏃　直刀　金環　 4号墳：土師器　須恵器　鉄鏃　刀子　埴輪　直刀　轡　 5号墳：鉄鏃　刀子　玉類　直刀　金環　銅環　轡　 7号墳：鉄鏃　大刀　 8号墳：土師器　須恵器　鉄鏃　刀子　玉類　直刀　金環　鉾",139.6653353,35.59098393
1311102800,13111,"28","しもぬまべきつねづか1・2ごうふん","下沼部狐塚1・2号墳","大田区 田園調布二丁目","[古墳時代]","古墳","円墳2基","",139.6707426,35.5931476
1311103000,13111,"30","いしづかこふん","石塚古墳","大田区 西嶺町","[古墳時代]","古墳","円墳","",139.6774303,35.58177573
1311103500,13111,"35","かめのこやまこふん（にしおか46ごうふん）","亀甲山古墳（西岡46号墳）","大田区 田園調布一丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、国指定史跡亀甲山古墳となっています。 　 前方後円墳","",139.6672172,35.58937143
1311103600,13111,"36","にしおか47ごうふん","西岡47号墳","大田区 田園調布三丁目","[古墳時代]","古墳","円墳","",139.6673245,35.5914479
1311103800,13111,"38","ほうらいさん（ほうらいづか）こふん","宝莱山（蓬莱塚）古墳","大田区 田園調布四丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、都指定史跡宝莱山古墳となっています。 前方後円墳　[古墳時代]粘土槨","土器　鉄鏃　紡錘車形石製品　管玉　勾玉　丸玉　小玉　四獣鏡　鉄剣",139.6632476,35.59286127
1311105000,13111,"50","にしおか49ごうふん","西岡49号墳","大田区 田園調布本町","[古墳時代]","古墳","円墳","",139.6709538,35.58545938
1311105100,13111,"51","にしおか50ごうふん","西岡50号墳","大田区 田園調布本町","[古墳時代]","古墳","円墳","",139.6708465,35.58590436
1311105200,13111,"52","にしおか51ごうふん","西岡51号墳","大田区 田園調布本町","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","直刀",139.6716083,35.58488351
1311105300,13111,"53","にしおか52ごうふん","西岡52号墳","大田区 田園調布本町","[古墳時代]","古墳","円墳","土師器　鉄鏃　方頭大刀　銀環　人骨",139.6722949,35.5844996
1311105400,13111,"54","にしおか53ごうふん","西岡53号墳","大田区 田園調布南","[古墳時代]","古墳","円墳","",139.676801,35.5810443
1311105500,13111,"55","にしおか54ごうふん","西岡54号墳","大田区 西嶺町","[古墳時代]","古墳","円墳","",139.6781743,35.58182961
1311105600,13111,"56","うのきおおつかこふん","鵜木大塚古墳","大田区 雪谷大塚町","[古墳時代]","古墳","円墳","",139.6771517,35.59133995
1311108300,13111,"83","すりばちやまこふん","スリバチ山古墳","大田区 久が原六丁目","[古墳時代]","古墳","円墳","円筒埴輪　人物埴輪",139.6935284,35.57388922
1311108600,13111,"86","おおつかこふん","大塚古墳","大田区 千鳥一丁目","[古墳時代]","古墳","円墳","",139.6916401,35.57430809
1311109002,13111,"90-2","あらづか１ごうふん","荒塚1号墳","大田区 鵜の木一丁目","[古墳時代]","古墳","円墳","円筒埴輪",139.6841959,35.57387143
1311109003,13111,"90-3","あらづか2ごうふん","荒塚2号墳","大田区 鵜の木一丁目","[古墳時代]","古墳","[古墳時代]周溝","円筒埴輪　埴輪棺",139.6839599,35.57381034
1311109400,13111,"94","おなづかこふん","女塚古墳","大田区 西蒲田六丁目","[古墳時代]","古墳","円墳","土師器",139.712384,35.56524609
1311109700,13111,"97","ひえだじんじゃけいだいこふん","?田神社境内古墳","大田区 蒲田三丁目","[古墳時代]","古墳","円墳","土師器",139.7225496,35.56436462
1311109800,13111,"98","かまたはちまんじんじゃけいだいこふん","蒲田八幡神社境内古墳","大田区 蒲田四丁目","[古墳時代]","古墳","円墳","",139.7224852,35.56057679
1311110100,13111,"101","やくしづかこふん","薬師塚古墳","大田区 西糀谷三丁目","[古墳時代]","古墳","円墳","土師器　刀",139.7381708,35.55472887
1311110600,13111,"106","おおもりみなみこふん","大森南古墳","大田区 大森南一丁目","[古墳時代][中世]","古墳？塚？","円墳","",139.7383679,35.56248294
1311111200,13111,"112","つつみかたごんげんだいこふん","堤方権現台古墳","大田区 池上一丁目","[古墳時代]","古墳","円墳","土器　刀",139.7073986,35.57649601
1311114500,13111,"145","おうぎづかこふん","扇塚古墳","大田区 田園調布一丁目","[古墳時代]","古墳","円墳","",139.6709204,35.58696438
1311115100,13111,"151","ひがしこうじややくしづかこふん","東糀谷薬師塚古墳","大田区 東糀谷一丁目","[古墳時代]","古墳","","土師器　刀",139.7407095,35.55951162
1311115500,13111,"155","せんげんじんじゃきたこふん","浅間神社北古墳","大田区 田園調布一丁目","[古墳時代]","古墳","円墳","土師器　円筒埴輪",139.6682356,35.58793012
1311115600,13111,"156","にしみねこふん","西嶺古墳","大田区 西嶺町","[古墳時代]","古墳","円墳","",139.6779988,35.58063574
1311115700,13111,"157","うのきいっちょうめ15ばんこふん","鵜の木一丁目15番古墳","大田区 鵜の木一丁目","[古墳時代]","古墳","円墳","",139.6826498,35.57641237
1311115800,13111,"158","みしまづかこふん","三島塚古墳","大田区 鵜の木一丁目","[古墳時代]","古墳","","円筒埴輪　人物埴輪頭部　直刀　耳環",139.6830467,35.57518197
1311115900,13111,"159","はちまんじんじゃけいだいこふん","八幡神社境内古墳","大田区 田園調布五丁目","[古墳時代]","古墳","[古墳時代]横穴式石室","",139.6572278,35.59580502
1311116000,13111,"160","にしこうじやおおつか","西糀谷大塚","大田区 西糀谷三丁目","[古墳時代]","古墳","円墳","",139.7346606,35.55528909
1311120000,13111,"200","きたかまたこふん","北蒲田古墳","大田区 蒲田二丁目","[古墳時代]","古墳","円墳","土器",139.7228069,35.56578356
1311120500,13111,"205","おいせづか","お伊勢塚","大田区 新蒲田一丁目","[古墳時代]","古墳","円墳","",139.7093741,35.55668216
1311120700,13111,"207","ことりづか","小鳥塚","大田区 西六郷一丁目","[古墳時代]","古墳","円墳","",139.7081295,35.55383667
1311120900,13111,"209","てんのうぎこふん","天王木古墳","大田区 西六郷一丁目","[古墳時代]","古墳","円墳","須恵器",139.7060911,35.55200363
1311123400,13111,"234","ちょうえいこふん","長栄古墳","大田区 池上一丁目","[古墳時代]","古墳","[古墳時代]周溝","須恵器",139.7065079,35.57819371
1311201002,13112,"10-2","きぬたちゅうがっこうこふんぐん2ごうこふん","砧中学校古墳群2号古墳","世田谷区 成城一丁目","[古墳時代]","古墳","","",139.6026937,35.63488369
1311201003,13112,"10-3","きぬたちゅうがっこうこふんぐん3ごうこふん","砧中学校古墳群3号古墳","世田谷区 成城一丁目","[古墳時代]","古墳","円墳　[古墳時代]周溝","",139.6017589,35.6335968
1311201004,13112,"10-4","きぬたちゅうがっこうこふんぐん4ごうこふん","砧中学校古墳群4号古墳","世田谷区 成城一丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、世田谷区史跡砧中学校古墳群四号墳 円墳　[古墳時代]周溝　幅5～10ｍ　深2ｍ","土師器　直刀",139.6018616,35.63283375
1311201005,13112,"10-5","きぬたちゅうがっこうこふんぐん5ごうこふん","砧中学校古墳群5号古墳","世田谷区 成城一丁目","[古墳時代]","古墳","方墳","",139.6025804,35.63256549
1311201006,13112,"10-6","きぬたちゅうがっこうこふんぐん6ごうこふん","砧中学校古墳群6号古墳","世田谷区 成城一丁目","[古墳時代]","古墳","円墳","土師器　須恵器　直刀　刀子　鉄鏃　耳環　ガラス玉　歯",139.6034605,35.63282779
1311201007,13112,"10-7","きぬたちゅうがっこうこふんぐん7ごうこふん","砧中学校古墳群7号古墳","世田谷区 成城一丁目","[古墳時代]","古墳","","",139.6026937,35.63488369
1311201008,13112,"10-8","きぬたちゅうがっこうこふんぐん8ごうこふん","砧中学校古墳群8号古墳","世田谷区 成城一丁目","[古墳時代]","古墳","円墳[古墳時代]周溝","土師器　須恵器",139.600336,35.63324509
1311201009,13112,"10-9","きぬたちゅうがっこうこふんぐん9ごうふん","砧中学校古墳群9号墳","世田谷区 成城一丁目","[古墳時代]","古墳","古墳周溝","刀子",139.6012895,35.63365045
1311202400,13112,"24","てんじんづかこふん","天神塚古墳","世田谷区 喜多見四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","",139.5968285,35.62662704
1311202500,13112,"25","いなりづかこふん","稲荷塚古墳","世田谷区 喜多見四丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、世田谷区指定史跡稲荷塚古墳となっています。 円墳　[古墳時代]横穴式石室","土師器　須恵器　鉄鏃　刀子　玉類　直刀　圭頭大刀　耳環　骨片",139.5968872,35.6273663
1311203906,13112,"39-6","とのやまこふんぐん6ごうふん","殿山古墳群6号墳","世田谷区 大蔵六丁目","[古墳時代]","古墳","","",139.6084447,35.62630025
1311203907,13112,"39-7","とのやまこふんぐん7ごうふん","殿山古墳群7号墳","世田谷区 大蔵六丁目","[古墳時代]","古墳","円墳","直刀",139.6095248,35.6266142
1311203908,13112,"39-8","とのやまこふんぐん8ごうふん（たいしょうづか）","殿山古墳群8号墳（大将塚）","世田谷区 大蔵六丁目","[古墳時代]","古墳","円墳","鏃　刀",139.6107479,35.62564907
1311203909,13112,"39-9","とのやまこふんぐん9ごうふん","殿山古墳群9号墳","世田谷区 大蔵六丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室?","金銅装圭頭大刀",139.6116795,35.62648051
1311210800,13112,"108","たまがわじんじゃこふん","玉川神社古墳","世田谷区 瀬田四丁目","[古墳時代]","古墳","円墳","直刀",139.626,35.62008
1311211500,13112,"115","かみのげいなりづか（にしおか5ごうふん）こふん","上野毛稲荷塚（西岡5号墳）古墳","世田谷区 上野毛二丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、世田谷区指定史跡上野毛稲荷塚古墳となっています。 円墳・前方後円墳 [旧石器時代]ブロック [縄文時代]住居 集石 土坑 [弥生時代]住居 溝 [古墳時代]住居 [中世]掘立柱建物 井戸 [近世]建物 門","直刀",139.6371,35.60871
1311211900,13112,"119","てんじんやまこふん","天神山古墳","世田谷区 野毛一丁目","[古墳時代]","古墳","円墳 [古墳時代]周溝","",139.6454,35.60118
1311212700,13112,"127","のげおおつか（にしおか8ごうふん）こふん","野毛大塚(西岡8号墳)古墳","世田谷区 野毛一丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、都指定史跡野毛大塚古墳となっています。 前方後円墳 帆立貝式 [古墳時代]石棺 木棺 粘土槨","土師器 鉄鎌 鉄斧 鉄鏃 刀子 埴輪 玉類 鏡 直刀 鉄剣 鉄矛 銅釧 短甲 頸甲 肩甲 冑 石製模造品 人骨 くし 靫 矢筒",139.6431,35.60508
1311212800,13112,"128","すくもづか（にしおか6ごう）こふん","スクモ塚(西岡6号)古墳","世田谷区 野毛三丁目","[古墳時代]","古墳","古墳周溝","縄文土器 土師器 埴輪",139.64,35.60704
1311212900,13112,"129","にしおか7ごうふん","西岡7号墳","世田谷区 野毛二丁目","[古墳時代]","古墳","","",139.641,35.60414
1311213200,13112,"132","にしおか4ごうふん","西岡4号墳","世田谷区 等々力三丁目","[古墳時代]","古墳","円墳","柄鏡",139.6472,35.61179
1311213300,13112,"133","にしおか9ごうふん","西岡9号墳","世田谷区 等々力一丁目","[古墳時代]","古墳","円墳","",139.6466,35.60473
1311213400,13112,"134","みたけさん（にしおか10ごうふん）こふん","御岳山(西岡10号墳)古墳","世田谷区 等々力一丁目","[古墳時代]","古墳","円墳 [古墳時代]ピット 溝 周溝 粘土槨","土師器 須恵器 埴輪 七鈴鏡 直刀 短甲 円筒埴輪 形象埴輪",139.6479,35.6029
1311213500,13112,"135","だいにちづか（にしおか11ごうふん）","大日塚（西岡11号墳）","世田谷区 等々力二丁目","[古墳時代]","古墳","円墳","",139.6497,35.60318
1311213600,13112,"136","きつねづか（にしおか12ごうふん）こふん","狐塚(西岡12号墳)古墳","世田谷区 尾山台二丁目","[古墳時代]","古墳","円墳 [古墳時代]葺石 埴輪列","須恵器 埴輪",139.6515,35.60222
1311213700,13112,"137","おやまきたはらづか（にしおか13ごうふん）","尾山北原塚（西岡13号墳）","世田谷区 尾山台二丁目","[古墳時代]","古墳","円墳 [古墳時代]古墳周溝","円筒埴輪",139.6533,35.60129
1311213800,13112,"138","はちまんづか（にしおか14ごうふん・しんめいづか）こふん","八幡塚(西岡14号墳・神明塚)古墳","世田谷区 尾山台二丁目","[古墳時代][中世]","古墳","円墳","土師器 ヤリガンナ <U+9299>帯金具 刀身 石製模造品 銅鏡 直刀 鉄槍 鉄鏃 ガラス小玉",139.6552,35.60042
1311213900,13112,"139","てんぎょうづかこふん","天慶塚古墳","世田谷区 尾山台一丁目","[古墳時代]","古墳","帆立貝ないし造出付円墳 [古墳時代]古墳周溝","鉄鏃 ヤリガンナ 金具 鉄器 匂玉 直刀 <U+9299>帯飾板 石製模造品 経筒 人骨 円筒埴輪 壷形埴輪 土師器 縄文土器 土師質土器",139.6573,35.60068
1311214000,13112,"140","にしおか16ごうふん","西岡16号墳","世田谷区 尾山台一丁目","[古墳時代]","古墳","円墳","須恵器",139.6569,35.60042
1311214100,13112,"141","にしおか17ごうふん","西岡17号墳","世田谷区 尾山台一丁目","[古墳時代]","古墳","円墳","直刀",139.6566,35.59972
1311214700,13112,"147","にしおかじゅうはちごうふん","西岡18号墳","世田谷区 玉川田園調布一丁目","[古墳時代]","古墳","円墳","直刀",139.6627,35.59994
1311222000,13112,"220","いなりまるづか","稲荷丸塚","世田谷区 上野毛二丁目","[古墳]","古墳","","",139.6366354,35.60977516
1311225100,13112,"251","いなりまるこふん","稲荷丸古墳","世田谷区 上野毛三丁目","[古墳時代]","古墳","円墳 [古墳時代]礫槨 石槨 葺石","",139.6354509,35.6119298
1311226201,13112,"262-1","じんや1ごうふん","陣屋1号墳","世田谷区 喜多見一丁目","[古墳時代]","古墳","円墳 [古墳時代]周溝","土師器",139.5963457,35.62438351
1311226202,13112,"262-2","じんや2ごうふん","陣屋2号墳","世田谷区 喜多見一丁目","[古墳時代]","古墳","[古墳時代]葺石","土師器 埴輪（円筒、人物、形象）",139.5965603,35.62461026
1311226203,13112,"262-3","じんや3ごうふん","陣屋3号墳","世田谷区 喜多見四丁目","[古墳時代]","古墳","[古墳時代]石室","鉄鏃",139.5967525,35.62561757
1311226204,13112,"262-4","じんや4ごうふん","陣屋4号墳","世田谷区 喜多見三丁目","[古墳時代]","古墳","円墳 [古墳時代]周溝","土師器 須恵器 勾玉",139.5977481,35.62498966
