"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1310400100,13104,"1","くずがやごりょうじんじゃいせき","葛ヶ谷御霊神社遺跡","新宿区 西落合二丁目","[縄文時代][弥生時代（後期）]","包蔵地","","土器　石器",139.6763314,35.72162653
1310400200,13104,"2","おちあいいせき","落合遺跡","新宿区 中落合四丁目　 中井一丁目　 中井二丁目","[旧石器時代][縄文時代（早期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]礫群　[縄文時代]竪穴住居　土坑　炉跡　集石　土器焼成坑　ピット　[弥生時代]竪穴住居　掘立柱建物跡　方形周溝墓　[古墳時代]住居　[奈良時代][平安時代]掘立柱建物　竪穴住居跡　土坑　[近世]杭列　焼土　溝状遺構　ピット　[時期不明]建物　住居　ピット　溝","石器　ナイフ形石器　石核　剥片　砕片　縄文土器　打斧　石槍　石鏃　石核　弥生土器　石包丁　土師器　須恵器　鉄製品　陶磁器　刀子　砥石　坏",139.6805457,35.71627471
1310400300,13104,"3","","新宿区No.3遺跡","新宿区 中井二丁目","[奈良時代][平安時代]","集落","[奈良時代][平安時代]竪穴住居跡","土器　土師器　須恵器　鉄滓",139.6865538,35.71680433
1310400400,13104,"4","","新宿区No.4遺跡","新宿区 下落合四丁目","[縄文時代]","包蔵地","","",139.6963728,35.71725033
1310400500,13104,"5","","新宿区No.5遺跡","新宿区 西落合一丁目","[縄文時代]","包蔵地","","縄文土器",139.6819189,35.72173802
1310400600,13104,"6","おちあいおうけつぼぐん","落合横穴墓群","新宿区 下落合四丁目","[奈良時代]","横穴墓","[奈良時代]横穴墓","人骨　鉄製直刀　貝類",139.6972998,35.71805869
1310400700,13104,"7","","新宿区No.7遺跡","新宿区 上落合二丁目","[近世]","塚","","",139.6849402,35.71058801
1310400800,13104,"8","かみおちあいにちょうめいせき","上落合二丁目西遺跡","新宿区 上落合二丁目","[古墳時代][平安時代]","集落","[古墳時代]建物跡　[平安時代]住居跡","土師器　土製丸玉　須恵器　土製支脚　鉄器・鉄製品",139.6861762,35.71273451
1310401000,13104,"10","とやまがはらうえのだいいせき","戸山ヶ原上ノ台遺跡","新宿区 百人町四丁目　 北新宿四丁目","[旧石器時代][縄文時代（中期?後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]","包蔵地・集落","[旧石器時代]集中地点　[縄文時代]竪穴住居跡　土坑　炉穴　集石　ピット　[古墳時代]竪穴住居跡　住居跡　ピット　[近世]土坑　ピット","ナイフ形石器　角錐状石器　リタッチドフレイク　フレイク　チップ　縄文土器　土偶　土製垂飾品　石器　弥生土器　土師器　　灰釉陶器　鉄器　陶磁器類　煙草吸口　銭貨　笄　ガラス瓶類",139.6947029,35.70849936
1310401100,13104,"11","よつやいっちょうめいせき","四谷一丁目遺跡","新宿区 四谷一丁目 本塩町 市谷本村町","[縄文時代（後期）][近世]","集落・屋敷・その他（町屋）","[縄文時代]墓壙 住居址? 土坑 [近世]道路遺構 大下水 地下室 土坑 溝状遺構 畝跡 道路状遺構 焼土遺構 尾根状遺構 柱列 穴蔵 麹室 井戸 ごみ穴 建物跡 礎石・石組基礎 桶埋設遺構 配石列 ピット 土蔵石組基礎址 埋甕 埋桶 木箱埋納 瓦溜","縄文土器 石鏃 石斧 石皿 石錘 磨石 貝類 石器 剥片 磁器 陶器 近世土器 瓦 土製品 金属製品 木製品 骨角製品 ガラス製品 石製品 貝類 魚骨類 せっ器 銅製品",139.7293373,35.68772442
1310401400,13104,"14","","新宿区No.14遺跡","新宿区 内藤町","[縄文時代（中期）]","包蔵地","","石鏃",139.7102829,35.68568879
1310401500,13104,"15","いちがやこうらちょういせき","市谷甲良町遺跡","新宿区 市谷山伏町 市谷甲良町 二十騎町","[旧石器時代][縄文時代（前期～後期）][近世]","包蔵地・集落・屋敷","[縄文時代]住居跡 竪穴状遺構 屋外埋甕 遺構集中部 土坑 柱穴 小穴 [近世]地下室 土坑 井戸 井戸状遺構 植栽痕 溝状遺構 土取穴 胞衣処理施設 小穴 ピット 建物跡 土取り穴 礎石 硬化面 [近代以降]建物基礎","縄文土器 石器 土製品 磁器 陶器 せっ器 土器 瓦 土製品 金属製品 木製品 骨角製品 ガラス製品 石製品",139.7282492,35.69941572
1310401600,13104,"16","つくどじょうあと","筑土城跡","新宿区 筑土八幡町","[中世][近世]","その他の墓・城館・社寺・その他（町屋）","[近世]大型土坑 地下室 土坑 柱穴 植栽痕","磁器 陶器 ?器 土器 瓦 土製品 金属製品",139.7404739,35.7038249
