JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
1310500100,13105,1,おおつかいせき,大塚遺跡,文京区 大塚一丁目,[縄文時代][古墳時代][近世],集落・屋敷,[縄文時代]陥穴　[古墳時代]堅穴住居跡　[近世以降]地下室　大型土坑　土坑　井戸など,（縄文）石鏃・土器　（弥生）土器　（古墳）土師器・須恵器・金属製品　（中世）板碑　（近世以降）陶磁器・土器・瓦・漆器・土製品・石製品・石塔・金属製品・銭貨類,139.7352457,35.7172957
1310500200,13105,2,おおつかこふん,大塚古墳,文京区 大塚一丁目,[古墳時代？],古墳,円墳?,,139.7344217,35.71637583
1310500300,13105,3,おおつかさんちょうめいせき,大塚三丁目遺跡,文京区 大塚三丁目,[縄文時代][古墳時代][中世][近世],包蔵地・貝塚?・屋敷・その他（村）,[縄文時代]土坑　[中世]溝　[近世]地下室　井戸　土坑　柱穴列　礎石列など,（縄文）土器・石器　（古墳）土師器・須恵器　（中世）?b器・土製品・板碑　（近世）陶磁器・?b器・土器・土製品・瓦・金属製品・石製品など,139.7373743,35.7204176
1310500400,13105,4,ごこくじけいだいいせき,護国寺境内遺跡,文京区 大塚五丁目,[縄文時代][近世],包蔵地・社寺,[近世]地下室　大型遺構　土坑　焼土跡　礎石,縄文土器・石鏃　（近世）陶磁器：土器・土製品・瓦・銭貨・金属製品・石製品・骨角製品・ガラス製品,139.7251864,35.72200637
1310500500,13105,5,たかだおいまつちょういせき,高田老松町遺跡,文京区 関口三丁目,[縄文時代（晩期）],包蔵地,,独鈷石,139.727418,35.71487057
1310500600,13105,6,,文京区№6遺跡,文京区 小日向一丁目,[縄文時代],包蔵地,,縄文土器　石斧　石皿,139.7388849,35.71127455
1310500700,13105,7,,文京区№7遺跡,文京区 小日向二丁目,[縄文時代],包蔵地,,縄文土器　打斧　石鏃,139.7354517,35.71342103
1310500800,13105,8,,文京区№8遺跡,文京区 小日向四丁目,[縄文時代],貝塚,,,139.7390566,35.71556745
1310500900,13105,9,きたのじんじゃいせき,北野神社遺跡,文京区 春日一丁目,[弥生時代][近世],包蔵地,,墓石　陶磁器類,139.74685,35.70742747
1310501000,13105,10,かすがにちょうめいせき,春日二丁目遺跡,文京区 春日二丁目,[弥生時代][近世],包蔵地・屋敷,[近世]地下室　土坑,弥生土器　近世陶磁器,139.7415629,35.71266837
1310501100,13105,11,でんづういんうらかいづか,伝通院裏貝塚,文京区 小石川三丁目,[縄文時代][弥生時代][古墳時代][近世],包蔵地・集落・貝塚?・社寺・屋敷,[弥生時代]?[古墳時代]堅穴住居跡　土坑　ピット　[近世]地下室　土坑　井戸　溝　焼土集中部　小穴,（縄文?古代）土器　（古墳）土師器　（近世）陶磁器・?b器・土器・土製品・瓦・木製品,139.7466784,35.71247324
1310501200,13105,12,ひさかたちょういせき,久堅町遺跡,文京区 小石川四丁目,[縄文時代][近世],貝塚・屋敷,[近世]土坑　地下式土坑　井戸,縄文土器　打斧　陶磁器　瓦　金属器,139.7437945,35.71328165
1310501300,13105,13,あけぼのちょうこふん,曙町古墳,文京区 本駒込一丁目,[古墳時代？],古墳,円墳,,139.7523089,35.72384597
