"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1311100100,13111,"1","かめづかふきん・まるこたまがわえんきたかいづか","亀塚付近・丸子多摩川園北貝塚","大田区 田園調布一丁目","[縄文時代（前期・後期）]","包蔵地・貝塚","","縄文土器",139.6674392,35.58883561
1311100200,13111,"2","せんげんじんじゃこふん","浅間神社古墳","大田区 田園調布一丁目","[縄文時代][弥生時代（後期）][古墳時代]","古墳・集落","前方後円墳　[縄文時代]炉穴　[弥生時代]住居　炉　柱穴","縄文土器　打斧　剥片　弥生土器　土師器　円筒埴輪　人物埴輪　動物埴輪",139.6687695,35.58743962
1311100300,13111,"3","せんげんじんじゃふきんよこあなぼぐん","浅間神社付近横穴墓群","大田区 田園調布一丁目","[古墳時代][奈良時代]","横穴墓","","直刀",139.6688781,35.58691091
1311100400,13111,"4","ほうらいこうえんないよこあなぼ","宝来公園内横穴墓","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6639081,35.59491805
1311100500,13111,"5","でんえんちょうふはにわこうぼうあと","田園調布埴輪工房址","大田区 田園調布二丁目","[古墳時代]","集落","[古墳時代]住居","土師器　円筒埴輪",139.6704679,35.59703283
1311100600,13111,"6","しもぬまべぼじゃくだによこあなぼ","下沼部牡若谷横穴墓","大田区 田園調布二丁目","[古墳時代][奈良時代]","横穴墓","","",139.6685298,35.59304569
1311100700,13111,"7","しもぬまべいっぽんぎだによこあなぼ","下沼部一本木谷横穴墓","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","",139.6670555,35.59697895
1311100800,13111,"8","にしおか19ごうふん","西岡19号墳","大田区 田園調布五丁目","[古墳時代]","古墳","前方後円墳？","直刀",139.6587397,35.59761202
1311100900,13111,"9","にしおか20ごうふん","西岡20号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","",139.6578784,35.59596871
1311101000,13111,"10","にしおか21ごうふん","西岡21号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","",139.6579115,35.59571279
1311101100,13111,"11","にしおか22ごうふん","西岡22号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","土器　鉄鏃　刀子　直刀　金環　雲珠",139.6581103,35.59556462
1311101200,13111,"12","にしおか23ごうふん","西岡23号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","",139.6582659,35.59544897
1311101300,13111,"13","にしおか24ごうふん","西岡24号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","鉄鏃　直刀　銅釧　人骨",139.6586951,35.59520469
1311101400,13111,"14","いっぽんまつこふん（にしおか25ごうふん）","一本松古墳(西岡25号墳）","大田区 田園調布五丁目","[古墳時代]","古墳","円墳？","土器",139.660401,35.59766486
1311101500,13111,"15","にしおか26ごうふん","西岡26号墳","大田区 田園調布四丁目","[古墳時代]","古墳","円墳","埴輪",139.6602508,35.59732463
1311101600,13111,"16","にしおか27ごうふん","西岡27号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","",139.6598109,35.596112
1311101700,13111,"17","にしおか28ごうふん","西岡28号墳","大田区 田園調布五丁目","[古墳時代]","古墳","[古墳時代]横穴式石室","鉄鏃　鹿角柄刀子　轡　六鈴鏡　直刀",139.6602231,35.59584821
1311101800,13111,"18","にしおか29ごうふん","西岡29号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","土師器",139.6593983,35.59610788
1311101900,13111,"19","にしおか30ごうふん","西岡30号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","小刀　管玉　耳環",139.6594643,35.59568898
1311102000,13111,"20","にしおか31ごうふん","西岡31号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳？","土器　石釧",139.6593099,35.59519127
1311102100,13111,"21","にしおか32ごうふん","西岡32号墳","大田区 田園調布五丁目","[古墳時代]","古墳","円墳","土器　円筒埴輪",139.6591834,35.59476115
1311102200,13111,"22","にしおか33ごうふん","西岡33号墳","大田区 田園調布四丁目","[古墳時代]","古墳","","土器",139.6606553,35.59527542
1311102300,13111,"23","せんげんさまこふん（にしおか34ごうふん）","浅間様古墳(西岡34号墳）","大田区 田園調布四丁目","[古墳時代]","古墳","※遺跡範囲うち、石室部分が大田区指定史跡古墳石室（俗称穴八幡）となっています。 円墳　[古墳時代]横穴式石室","",139.6608623,35.59448064
1311102400,13111,"24","にしおか35ごうふん","西岡35号墳","大田区 田園調布四丁目","[古墳時代]","古墳","","円筒埴輪",139.6613682,35.59369521
1311102500,13111,"25","かんのんづかこふん（にしおか36ごうふん）","観音塚古墳(西岡36号墳）","大田区 田園調布四丁目","[古墳時代]","古墳","前方後円墳　[古墳時代]横穴式石室","鉄鏃　刀子　円筒埴輪　人物埴輪　玉まき　大刀埴輪　玉類　直刀　鉄環　轡　鐙　木製鐙金具　辻金具　雲珠",139.6625296,35.59444324
1311102600,13111,"26","たまがわだいこふんぐん","多摩川台古墳群1～8号墳","大田区 田園調布一丁目　 田園調布四丁目","[古墳時代]","古墳","1号墳：前方後円墳　径39m　横穴式石室 2号墳：円墳？　礫槨　 3号墳：円墳　径13～14m　横穴式石室　 4号墳：円墳　径18m　横穴式石室　 5号墳：円墳　径20.1m　横穴式石室　 6号墳：円墳　径20m　横穴式石室　 7号墳：円墳　径18.5m　横穴式石室　 8号墳：円墳　径16m　横穴式石室","1号墳：土師器　須恵器　鉄鏃　円筒埴輪　形象埴輪　 2号墳：勾玉　 3号墳：土師器　須恵器　鉄鏃　直刀　金環　 4号墳：土師器　須恵器　鉄鏃　刀子　埴輪　直刀　轡　 5号墳：鉄鏃　刀子　玉類　直刀　金環　銅環　轡　 7号墳：鉄鏃　大刀　 8号墳：土師器　須恵器　鉄鏃　刀子　玉類　直刀　金環　鉾",139.6653353,35.59098393
1311102800,13111,"28","しもぬまべきつねづか1・2ごうふん","下沼部狐塚1・2号墳","大田区 田園調布二丁目","[古墳時代]","古墳","円墳2基","",139.6707426,35.5931476
1311102900,13111,"29","とうこういんうらいせき","東光院裏遺跡","大田区 田園調布本町","[中世]","包蔵地・その他（板碑出土地）","","板碑",139.6732746,35.58384688
1311103000,13111,"30","いしづかこふん","石塚古墳","大田区 西嶺町","[古墳時代]","古墳","円墳","",139.6774303,35.58177573
1311103100,13111,"31","はくさんじんじゃよこあなぼ","白山神社横穴墓","大田区 東嶺町","[古墳時代][奈良時代]","横穴墓","","",139.6833003,35.57892677
1311103200,13111,"32","ぞうみょういんないよこあなぼ","増明院内横穴墓","大田区 鵜の木一丁目","[古墳時代][奈良時代]","横穴墓","[古墳時代][奈良時代]切石羨門","鉄刀",139.6870554,35.57543632
1311103300,13111,"33","はいづか","灰塚","大田区 千鳥町三丁目","[中世]","墳墓","","板碑",139.6872485,35.57255659
1311103400,13111,"34","みなみくがはらにちょうめよこあなぼぐん","南久が原二丁目横穴墓群","大田区 南久が原二丁目","[古墳時代][奈良時代]","横穴墓","1基","人骨",139.6849954,35.57589009
1311103500,13111,"35","かめのこやまこふん（にしおか46ごうふん）","亀甲山古墳（西岡46号墳）","大田区 田園調布一丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、国指定史跡亀甲山古墳となっています。 　 前方後円墳","",139.6672172,35.58937143
1311103600,13111,"36","にしおか47ごうふん","西岡47号墳","大田区 田園調布三丁目","[古墳時代]","古墳","円墳","",139.6673245,35.5914479
1311103700,13111,"37","しもぬまべしおみだいよこあなぼぐん","下沼部汐見台横穴墓群","大田区 田園調布三丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6665735,35.59169219
1311103800,13111,"38","ほうらいさん（ほうらいづか）こふん","宝莱山（蓬莱塚）古墳","大田区 田園調布四丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、都指定史跡宝莱山古墳となっています。 前方後円墳　[古墳時代]粘土槨","土器　鉄鏃　紡錘車形石製品　管玉　勾玉　丸玉　小玉　四獣鏡　鉄剣",139.6632476,35.59286127
1311103900,13111,"39","かみぬまべほうらいよこあなぼぐん","上沼部宝来横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","直刀　人骨",139.6622981,35.59404778
1311104000,13111,"40","かみぬまべはなのよこあなぼぐん","上沼部花野横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","",139.6616543,35.59408267
1311104100,13111,"41","かみぬまべにいのさとよこあなぼぐん","上沼部新居里横穴墓群","大田区 田園調布四丁目","[古墳時代][奈良時代]","横穴墓","","",139.6619011,35.59460613
1311104200,13111,"42","かみぬまべふきあげほくぶよこあなぼぐん","上沼部吹上北部横穴墓群","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","木製品　人骨",139.6603512,35.59931764
1311104300,13111,"43","かみぬまべふきあげなんぶよこあなぼぐん","上沼部吹上南部横穴墓群","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","人骨",139.6582484,35.59718903
1311104400,13111,"44","かみぬまべ29ばんちよこあなぼ","上沼部29番地横穴墓","大田区 田園調布五丁目","[古墳時代][奈良時代]","横穴墓","","",139.6576046,35.59610725
