"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1311500100,13115,1,"","杉並区№1遺跡","杉並区 上井草二丁目","[縄文時代（早期）]","包蔵地","","縄文土器",139.604657725038,35.7215860223227
1311500300,13115,3,"いぐさせきしーちてん","井草遺跡C地点","杉並区 上井草三丁目","[旧石器時代][縄文時代（早期・中期）][古墳時代][近世]","包蔵地","[旧石器時代]ブロック　礫群　[縄文時代]炉穴　遺物集中部　[近世]溝状遺構　土坑","ナイフ形石器　台形石器　縄文土器　敲石　土師器　磁器　陶器",139.602460458889,35.7213630372198
1311500400,13115,4,"いぐさいせき","井草遺跡","杉並区 上井草四丁目","[旧石器時代][縄文時代（草創期～早期）][古墳時代]","包蔵地　集落","[縄文時代]住居　土坑","[縄]縄文土器　斧形石器　敲石　特殊磨石　石皿",139.597173287955,35.7197742485694
1311500600,13115,6,"いぐさいせきびーちてん","井草遺跡Ｂ地点","杉並区 上井草四丁目","[旧石器時代][縄文時代（中期）]","包蔵地","[旧石器時代]ブロック","[旧]ナイフ形石器　スクレイパー　剥片",139.59878690516,35.7226173215019
1311500700,13115,7,"","杉並区№7遺跡","杉並区 下井草一丁目","[縄文時代（中期）][弥生時代][古墳時代]","包蔵地","","縄文土器　弥生土器　土師器",139.63108689648,35.7173483488927
1311500800,13115,8,"","杉並区№8遺跡","杉並区 下井草二丁目","[縄文時代（後期）][弥生時代]","包蔵地","","縄文土器　弥生土器",139.627790995947,35.7172647263011
1311500900,13115,9,"","杉並区№9遺跡","杉並区 下井草二丁目","[縄文時代（後期）]","包蔵地","","縄文土器",139.627070018687,35.7187699418528
1311501000,13115,10,"","杉並区№10遺跡","杉並区 下井草三丁目","[縄文時代（早期・後期）]","包蔵地","","縄文土器",139.623465129771,35.7182403326292
1311501100,13115,11,"","杉並区№11遺跡","杉並区 下井草四丁目","[縄文時代]","包蔵地","","縄文土器",139.619834898494,35.722331363414
1311501200,13115,12,"いおぎさんちょうめいせき","井荻三丁目遺跡","杉並区 善福寺一丁目　 善福寺二丁目","[縄文時代（中期）]","集落","[縄文時代]住居","縄文土器　打斧　石鏃",139.595182016244,35.7128055040362
1311501300,13115,13,"","杉並区№13遺跡","杉並区 善福寺一丁目","[縄文時代]","包蔵地","","縄文土器",139.597447945896,35.7150355685915
