"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1321800100,13218,"1","","福生市№1遺跡","福生市 加美平三丁目","[縄文時代（前期～後期）]","包蔵地","","縄文土器 打斧 礫器 土師器",139.3202321,35.75024378
1321800200,13218,"2","","福生市№2遺跡","福生市 福生","[縄文時代（中期）]","その他","単独出土地","石棒",139.3209875,35.74174508
1321800300,13218,"3","","福生市№3遺跡","福生市 福生","[縄文時代（後期）][平安時代?]","集落","[縄文時代]敷石住居?","縄文土器 石鏃 土師器",139.3245237,35.73937643
1321800400,13218,"4","ながさわいせき","長沢遺跡","福生市 福生","[縄文時代（前期～後期）]［近世？］","集落","[縄文時代]住居 土坑 配石 [時代不明]敷石遺構","縄文土器 打斧 石槍 石鏃 石匙 石皿 凹石 土製円板 土偶",139.3253133,35.74358422
1321800500,13218,"5","ふっさふどうそんいせき","福生不動尊遺跡","福生市 福生","[縄文時代（早期・中期～後期）]","集落","[縄文時代]集石土坑","縄文土器 打斧 礫器 石鏃 石皿 磨石 スタンプ形石器",139.3325231,35.74386288
1321800600,13218,"6","しもいせき","志茂遺跡","福生市 志茂","[縄文時代（後期）][平安時代？]","包蔵地","","縄文土器 石錘 土師器",139.3283689,35.73324548
1321800700,13218,"7","","福生市№7遺跡","福生市 武蔵野台二丁目","[縄文時代（中期）][平安時代]","包蔵地","","縄文土器 剥片 土師器",139.3283075,35.75070337
1321800800,13218,"8","","福生市№8遺跡","福生市 武蔵野台一丁目","[縄文時代]","包蔵地","","石鏃",139.3335087,35.74949147
1321800900,13218,"9","","福生市№9遺跡","福生市 福生","[縄文時代]","包蔵地","","石鏃",139.3375356,35.74138282
1321801000,13218,"10","","福生市№10遺跡","福生市 福生","[縄文時代]","包蔵地","","石鏃",139.3415868,35.73834535
1321801100,13218,"11","","福生市№11遺跡","福生市 福生","[縄文時代（早期・中期）]","包蔵地","[縄文時代]集石土坑?","縄文土器 石鏃 土師器",139.336128,35.73789947
1321801200,13218,"12","","福生市№12遺跡","福生市 牛浜","[縄文時代]","包蔵地","","打斧",139.336917,35.73523342
1321801300,13218,"13","","福生市№13遺跡","福生市 熊川","[縄文時代（前期～中期）][平安時代]","包蔵地","","縄文土器 打斧 剥片 土師器",139.3390456,35.72968826
1321801400,13218,"14","","福生市№14遺跡","福生市 熊川","[縄文時代][古墳時代]","包蔵地","","剥片 土師器",139.3486929,35.72266464
1321801500,13218,"15","","福生市№15遺跡","福生市 熊川","[時代不明]","包蔵地","","土師器",139.3372603,35.71742439
1321801600,13218,"16","","福生市№16遺跡","福生市 熊川","[縄文時代（中期）]","包蔵地","","縄文土器 土師器",139.3331187,35.71633926
1321801700,13218,"17","","福生市№17遺跡","福生市 武蔵野台一丁目","[縄文時代]","包蔵地","","石鏃",139.3354313,35.74539545
1321801800,13218,"18","","福生市№18遺跡","福生市 熊川","[中世]","包蔵地","[中世]溝状遺構","板碑",139.335625,35.72550959
1321801900,13218,"19","","福生市№19遺跡","福生市 熊川","[中世]","その他","","銭貨4,909枚",139.3336337,35.72132872
