JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
1322800100,13228,1,たけのしろいせき,竹の後遺跡,あきる野市 乙津,[縄文時代(中期)],包蔵地,,縄文土器 石鏃 石皿,139.1797183,35.72689206
1322800200,13228,2,てらおかいせき,寺岡遺跡,あきる野市 養沢,[縄文時代（中期）],集落,[縄文時代]住居,縄文土器,139.1821902,35.73051524
1322800300,13228,3,ぐんどういせき,軍道遺跡,あきる野市 乙津,[縄文時代（早期〜前期）][平安時代],包蔵地,,縄文土器　須恵器,139.1847995,35.73475137
1322800400,13228,4,うさだけはらいせき,宇佐岳原遺跡,あきる野市 乙津,[縄文時代（早期〜中期）],集落,[縄文時代]住居,縄文土器　礫器　石鏃　掻器　石皿　敲石　剥片石器　剥片,139.1892283,35.73154642
1322800500,13228,5,かもっぱらいせき,加茂原遺跡,あきる野市 乙津,[縄文時代（中期）],集落,[縄文時代]住居　土坑　配石遺構,縄文土器　打斧　礫器　石鏃　掻器　石匙　石錐　石皿　磨石　凹石　敲石　円形石器　砥石　石核　土製円板　土偶,139.1912539,35.73034802
1322800600,13228,6,とくらじょうあと,戸倉城跡,あきる野市 戸倉,[中世],城館,[中世]井戸　空堀　東西曲輪　土塁　枡形,,139.1972621,35.72591656
1322800700,13228,7,とくらおおらっぱらいせき,戸倉オオラッ原遺跡,あきる野市 戸倉,[縄文時代（中期〜後期）],集落,[縄文時代]敷石住居,縄文土器　打斧　磨斧　石鏃　石錘　石皿　磨石　石棒,139.2028926,35.72747735
1322800800,13228,8,しもじゅくみちうえいせき,下宿道上遺跡,あきる野市 戸倉,[縄文時代],集落,[縄文時代]敷石住居?,縄文土器　石器,139.2051928,35.72669696
1322800900,13228,9,まえはたいせき,前畑遺跡,あきる野市 小中野,[縄文時代],包蔵地,,剥片,139.211982,35.72767942
1322801000,13228,10,たけのはないせき,竹の花遺跡,あきる野市 小中野,[縄文時代],包蔵地,,掻器,139.2138703,35.727122
1322801100,13228,11,にしいりのいせき,西入野遺跡,あきる野市 五日市,[縄文時代（前期〜中期）],包蔵地,,磨斧　剥片,139.2176469,35.73197144
1322801200,13228,12,いつかいちこうこういせき,五日市高校遺跡,あきる野市 五日市,[縄文時代（中期〜晩期）],集落,[縄文時代]敷石住居　炉　土坑　柱穴　立石　土壙墓,縄文土器　打斧　磨斧　石鏃　石匙　石錘　石皿　敲石　砥石　耳飾　石棒　石冠　土偶　三角形土製品　貝輪,139.2181275,35.72910083
