"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1330700100,13307,1,"なかのだいらいせき","中之平遺跡","檜原村 藤原","[縄文時代（早期）]","集落","[縄文時代]炉穴","縄文土器　尖頭器　石鏃　掻器　彫器",139.0716743,35.75846009
1330700200,13307,2,"おおたけさんいせき","大岳山遺跡","檜原村 白倉","[縄文時代（中期）]","包蔵地","","縄文土器",139.1327514,35.76495126
1330700300,13307,3,"くらかけいせき","倉掛遺跡","檜原村 倉掛","[縄文時代（早期～前期）]","包蔵地","","縄文土器",139.0730444,35.7416383
1330700400,13307,4,"おねどおり（どうひら）いせき","尾根通り(堂平）遺跡","檜原村 尾根通","[縄文時代（早期～中期）]","集落","[縄文時代]住居","縄文土器　磨斧　石皿　石棒",139.0948646,35.74182518
1330700500,13307,5,"おうじがしょういせき","王子ヶ城遺跡","檜原村 小岩　 王子ケ原","[旧石器時代][縄文時代（早期・中期～晩期）]","集落","[縄文時代]敷石住居","細石刃核　縄文土器　打斧　磨斧　石鏃　掻器　石錘　耳栓　石棒　石剣　土偶",139.1125791,35.73067187
1330700600,13307,6,"かずま・おおだいらいせき","数馬・大平遺跡","檜原村 数馬","[縄文時代（早期～前期）]","包蔵地","","縄文土器",139.0417998,35.72828461
1330700700,13307,7,"うずしきいせき","笛吹遺跡","檜原村 人里","[縄文時代（中期）]","包蔵地","","縄文土器",139.0761664,35.7117834
1330700800,13307,8,"かみだいらいせき","上平遺跡","檜原村 人里","[縄文時代（中期）]","包蔵地","","縄文土器",139.0845435,35.71373473
1330700900,13307,9,"たかおばらいせき","高尾原遺跡","檜原村 人里","[縄文時代（早期）]","包蔵地","","縄文土器",139.088835,35.71345597
1330701000,13307,10,"いでのいせき","出野遺跡","檜原村 南郷","[縄文時代（中期）]","包蔵地","","縄文土器　石皿",139.1256409,35.7036551
1330701100,13307,11,"かみかわのり・みねいせき","上川苔・峰遺跡","檜原村 上川乗","[縄文時代（中期）]","集落","[縄文時代]住居　炉","縄文土器",139.1080825,35.70419714
1330701200,13307,12,"かみかわのり・くまのじんじゃえーちてんいせき","上川苔・熊野神社A地点遺跡","檜原村 上川乗","[縄文時代（中期）]","集落","[縄文時代]住居　炉","縄文土器　石鏃　剥片",139.1097992,35.70210617
1330701300,13307,13,"よまごいせき","与孫遺跡","檜原村 小沢","[縄文時代（前期～後期）]","包蔵地","","縄文土器",139.1229818,35.73855867
1330701400,13307,14,"","檜原村<U+FFFD><U+FFFD>14遺跡","檜原村 白倉","[縄文時代（中期）]","包蔵地","","縄文土器",139.1337262,35.74089328
1330701500,13307,15,"","檜原村<U+FFFD><U+FFFD>15遺跡","檜原村 白倉","[縄文時代（中期）]","包蔵地","","縄文土器",139.1358204,35.74078181
1330701600,13307,16,"かんだいらいせき","寒平遺跡","檜原村 寒平","[縄文時代（早期・中期～後期）]","包蔵地","","縄文土器",139.1388968,35.74029316
1330701700,13307,17,"ぞうしっぱらいせき","雑司原遺跡","檜原村 本宿","[縄文時代（中期～晩期）]","集落","[縄文時代]敷石住居?","縄文土器　石皿　土師器　須恵器",139.1449211,35.72981401
1330701800,13307,18,"どうさかいせき","堂坂遺跡","檜原村 本宿","[縄文時代（中期～後期）]","包蔵地","","縄文土器",139.146775,35.72610719
1330701900,13307,19,"ひのはらじょう（ほんじゅくじょう）あと","檜原城（本宿城）跡","檜原村 本宿","[中世]","城館","[中]物見櫓　堀切　曲輪","",139.1449211,35.72574485
1330702000,13307,20,"かげったいせき","陰ツ田遺跡","檜原村 本宿","[縄文時代（早期）]","包蔵地","","縄文土器",139.1426895,35.73073373
1330702100,13307,21,"みなみひのはらしょうがっこういせき","南檜原小学校遺跡","檜原村 上川乗","[縄文時代（中期）]","包蔵地","","縄文土器　石皿",139.1114814,35.70297044
1330702200,13307,22,"てらやしきいせき","寺屋敷遺跡","檜原村 柏木野","[縄文時代（中期）]","包蔵地","","縄文土器　打斧",139.1402519,35.70285892
1330702300,13307,23,"おおのいせき","大野遺跡","檜原村 笹野　笹平　大野","[縄文時代（前期～中期）]","包蔵地","","縄文土器　石鏃",139.1575337,35.70161329
1330702400,13307,24,"","檜原村<U+FFFD><U+FFFD>24遺跡","檜原村 御前山","[縄文時代]","包蔵地","","石匙",139.0814246,35.76993768
1330702500,13307,25,"","檜原村<U+FFFD><U+FFFD>25遺跡","檜原村 大ダワ","[時代不明]","包蔵地","","剥片",139.1036033,35.77795986
1330702600,13307,26,"","檜原村<U+FFFD><U+FFFD>26遺跡","檜原村 三都郷","[時代不明]","包蔵地","","土器",139.1320304,35.74698086
1330702700,13307,27,"","檜原村<U+FFFD><U+FFFD>27遺跡","檜原村 三都郷","[縄文時代（中期）]","包蔵地","","縄文土器　石錘",139.1409169,35.73932615
1330702800,13307,28,"ちょうじゃやしきいせき","長者屋敷遺跡","檜原村 笹平","[縄文時代（中期）]","包蔵地","","縄文土器",139.1578961,35.68831996
1330702900,13307,29,"ひがしがわいせき","東川遺跡","檜原村 南郷","[縄文時代（前期～後期）]","包蔵地","","縄文土器　打斧　石錘　剥片",139.1267739,35.70396177
1330703000,13307,30,"こにしいせき","小西遺跡","檜原村 南郷","[縄文時代（中期）]","包蔵地","","縄文土器",139.1201134,35.70479815
1330703100,13307,31,"こもりはらいせき","子守原遺跡","檜原村 人里","[縄文時代（早期・中期）]","包蔵地","","縄文土器　石鏃　剥片",139.0833418,35.7200623
1330703200,13307,32,"せんげんだいいせき","浅間台遺跡","檜原村 樋里","[縄文時代（早期～中期）][中世]","包蔵地","","縄文土器　経石",139.1059035,35.72042181
1330703300,13307,33,"しろいわいせき","白岩遺跡","檜原村 倉掛","[縄文時代（前期～中期）]","包蔵地","","縄文土器",139.0688215,35.74127604
1330703400,13307,34,"しんめいいせき","神明遺跡","檜原村 大沢","[縄文時代（中期～後期）]","包蔵地","","縄文土器",139.1212995,35.73727677
1330703500,13307,35,"","檜原村<U+FFFD><U+FFFD>35遺跡","檜原村 三都郷","[縄文時代（中期～後期）]","包蔵地","","縄文土器",139.1440068,35.73835081
1330703600,13307,36,"おうじがじょうびーちてんいせき","王子ヶ城B地点遺跡","檜原村 樋里","[縄文時代（中期）]","包蔵地","","縄文土器",139.1138686,35.73115239
1330703700,13307,37,"なかざといせき","中里遺跡","檜原村 三都郷","[縄文時代（中期～後期）]","包蔵地","","縄文土器",139.1408482,35.74010642
1330703800,13307,38,"かずましょうがっこういせき","数馬小学校遺跡","檜原村 数馬","[時代不明]","包蔵地","","",139.0498679,35.72669596
1330703900,13307,39,"くまのじんじゃびーちてんいせき","熊野神社B地点遺跡","檜原村 上川乗","[縄文時代]","包蔵地","","縄文土器",139.1099708,35.70297044
1330704000,13307,40,"なつじばらいせき","夏地原遺跡","檜原村 下川乗","[縄文時代]","包蔵地","","縄文土器",139.1200447,35.70582967
1330704100,13307,41,"しもだいらいせき","下平遺跡","檜原村 南郷","[縄文時代（後期）]","包蔵地","","縄文土器",139.1467896,35.70454724
1330704200,13307,42,"ささのばんばいせき","笹野馬場遺跡","檜原村 笹野","[縄文時代（中期）]","包蔵地","","縄文土器",139.1520279,35.71431665
