JASID,自治体コード,経度,緯度
13102000100,13102,139.7714904,35.6864713
13102000200,13102,139.7711986,35.68524433
13102000300,13102,139.7748035,35.68259513
13102000400,13102,139.771225,35.676655
13102000500,13102,139.7855102,35.6827226
13102000600,13102,139.775024,35.675598
13102000700,13102,139.774719,35.675674
13102000800,13102,139.7679198,35.67700364
13102000900,13102,139.7631815,35.66008643
13102001000,13102,139.767242,35.671967
13102001100,13102,139.766251,35.671169
13102001200,13102,139.7763601,35.66854652
13102001300,13102,139.7745288,35.68454718
13102001400,13102,139.7769953,35.66552021
13102001500,13102,139.7817431,35.67463281
13102001600,13102,139.774489,35.66871386
13102001700,13102,139.7744945,35.68156332
13102001800,13102,139.7766519,35.66936931
13102001900,13102,139.7779737,35.66716587
13102002000,13102,139.7703912,35.66499573
13102002100,13102,139.778992,35.67697575
13102002200,13102,139.7765557,35.67701036
13102002300,13102,139.775024,35.675598
13102002400,13102,139.7813912,35.6752673
13102002500,13102,139.7835424,35.6956419
13102002600,13102,139.7838392,35.69189006
13102002700,13102,139.78689,35.66711564
13102002800,13102,139.786684,35.66806397
13102002900,13102,139.7837312,35.69562796
13102003000,13102,139.7814942,35.6742563
13102003100,13102,139.7736362,35.68090797
13102003200,13102,139.7822752,35.67504418
13102003300,13102,139.785802,35.68195571
13102003400,13102,139.7852527,35.68229035
13102003500,13102,139.7631471,35.66705978
13102003600,13102,139.775024,35.675598
13102003700,13102,139.7768132,35.67571353
13102003800,13102,139.7821992,35.67469371
13102003900,13102,139.779811,35.68586742
13102004000,13102,139.7835896,35.69491832
13102004100,13102,139.7640741,35.66678085
13102004200,13102,139.7822065,35.67723347
13102004300,13102,139.775024,35.675598
13102004400,13102,139.7831047,35.69573949
13102004500,13102,139.7704942,35.66574883
13102004600,13102,139.7862827,35.68664822
13102004700,13102,139.7750965,35.67719164
13102004800,13102,139.7736889,35.67413777
13102004900,13102,139.7758451,35.66952272
13102005000,13102,139.78547,35.69152757
13102005100,13102,139.775024,35.675598
