JASID,経度,緯度
1310300100,139.7195241,35.66801712
1310300200,139.7220303,35.66494895
1310300300,139.7170178,35.66430742
1310300400,139.7327679,35.68029287
1310300500,139.7275235,35.67749979
1310300600,139.7339686,35.67303835
1310300700,139.7357195,35.67250843
1310300800,139.7354352,35.66837971
1310300900,139.7304227,35.66606467
1310300902,139.7324483,35.66653884
1310301000,139.7426556,35.67016904
1310301100,139.7432735,35.66997381
1310301102,139.7431362,35.66963911
1310301200,139.7415913,35.66883026
1310301300,139.7489113,35.67025917
1310301401,139.747538,35.66470866
1310301402,139.7478813,35.66627065
1310301403,139.7464222,35.66330005
1310301404,139.7467655,35.66445762
1310301500,139.7441082,35.66585452
1310301601,139.745224,35.66363703
1310301602,139.7449322,35.66320468
1310301700,139.7431469,35.66328836
1310301800,139.7427521,35.66141948
1310301900,139.7524818,35.66500153
1310302000,139.7571771,35.65864238
1310302100,139.7586597,35.65480671
1310302201,139.7518276,35.65818211
1310302202,139.7512096,35.6576242
1310302203,139.7525657,35.65839133
1310302204,139.7516902,35.6570105
1310302205,139.7515014,35.65756841
1310302206,139.7523597,35.6579729
1310302300,139.7485145,35.65458354
1310302400,139.7479137,35.65494619
1310302500,139.7474845,35.65553201
1310302501,139.7474502,35.65461143
1310302502,139.7468494,35.6548625
1310302503,139.7466262,35.65519726
1310302504,139.7464889,35.65565755
1310302505,139.7465232,35.65610388
1310302506,139.7468494,35.65646653
1310302507,139.7473129,35.6563131
1310302508,139.7477249,35.65645258
1310302509,139.748051,35.65628521
1310302600,139.7473472,35.65747078
1310302700,139.7473987,35.65784737
1310302800,139.7462486,35.65836343
1310302900,139.7454246,35.65865633
1310303000,139.740219,35.661404
1310303100,139.7396279,35.65899265
1310303200,139.740219,35.661404
1310303300,139.740219,35.661404
1310303400,139.740219,35.661404
1310303501,139.7302167,35.6635543
1310303502,139.7295644,35.66358219
1310303600,139.7316628,35.66153105
1310303700,139.73168,35.65765368
1310303800,139.7256352,35.66043017
1310303900,139.7240903,35.66107175
1310304000,139.72076,35.65945386
1310304100,139.7280751,35.65772341
1310304200,139.7324353,35.65678891
1310304300,139.7270451,35.65443168
1310304400,139.7296029,35.65494777
1310304500,139.7310105,35.65480829
1310304600,139.7326756,35.65346924
1310304700,139.7268048,35.65233941
1310304800,139.7260323,35.65146064
1310304900,139.724762,35.65140484
1310305000,139.729311,35.65173961
1310305100,139.7295685,35.64860108
1310305200,139.7501336,35.65254864
1310305300,139.7539444,35.65000995
