JASID,経度,緯度
13106000100,139.7664873,35.72277819
13106000200,139.7723925,35.72591381
13106000300,139.7738078,35.7139363
13106000401,139.7736828,35.71547164
13106000402,139.7701558,35.71985475
13106000403,139.7703325,35.72290362
13106000404,139.7736284,35.72539818
13106000405,139.7701043,35.72060734
13106000406,139.7733144,35.72286506
13106000407,139.7724904,35.72336676
13106000408,139.7754773,35.72326921
13106000409,139.7745332,35.72296261
13106000410,139.7717008,35.72193132
13106000411,139.7719411,35.7207467
13106000412,139.7730448,35.72482681
13106000413,139.7742757,35.72312985
13106000414,139.7726621,35.72271176
13106000500,139.7754214,35.7186193
13106000600,139.7788419,35.719799
13106000700,139.8054762,35.72539993
13106000801,139.794425,35.7116722
13106000802,139.7995399,35.71708653
13106000900,139.7875929,35.70195662
13106001000,139.7675451,35.70926132
13106001100,139.7831294,35.70815492
13106001200,139.7814471,35.70131062
13106001300,139.7739747,35.71767561
13106001400,139.7756398,35.71442817
13106001500,139.7688655,35.72484107
13106001601,139.7858245,35.70938153
13106001602,139.7860991,35.7092979
13106001700,139.8056478,35.72793623
13106001800,139.801116,35.72099607
13106001900,139.7670473,35.71425123
13106002000,139.7908717,35.71023654
13106002100,139.7924681,35.71413924
13106002200,139.7844512,35.71076145
13106002300,139.7796965,35.71253637
13106002400,139.7834277,35.72044442
13106002500,139.7921934,35.70555305
13106002600,139.7907249,35.71210372
13106002700,139.7934809,35.71038987
13106002800,139.7869918,35.71031542
13106002900,139.7869746,35.69990265
13106003001,139.7653994,35.72164668
13106003002,139.7664293,35.7212704
13106003100,139.7688154,35.7186694
13106003201,139.7704012,35.7240882
13106003202,139.7701609,35.72744673
13106003203,139.7700235,35.7245899
13106003204,139.7708475,35.72530063
13106003300,139.7746038,35.70774166
13106003400,139.7779624,35.70171488
13106003500,139.7674765,35.7095401
13106003600,139.7899009,35.71707951
13106003700,139.7961073,35.70981839
13106003800,139.776543,35.72470678
13106003900,139.767174,35.72375373
13106004000,139.7819453,35.71536576
13106004200,139.778564,35.709805
13106004300,139.778564,35.709805
13106004400,139.7780478,35.71247102
13106004500,139.7785289,35.70204944
13106004600,139.7984724,35.71935152
13106004700,139.7678949,35.72259702
13106004800,139.7678713,35.72088537
13106004900,139.7835993,35.72194958
13106005000,139.7810643,35.71676046
13106005100,139.8031072,35.7226127
13106005200,139.7763659,35.70195186
13106005300,139.779439,35.71327509
13106005400,139.7885847,35.72545568
13106005500,139.7678369,35.72128953
13106005600,139.780182,35.710777
13106005700,139.791669,35.71734432
13106005800,139.7844687,35.70330879
13106005900,139.7681974,35.72084356
13106006000,139.7790095,35.7022446
13106006100,139.7669086,35.72170541
13106006200,139.774209,35.70676593
13106006300,139.7811725,35.70430768
13106006400,139.7810062,35.71800054
13106006500,139.7896182,35.70819673
13106006600,139.7689012,35.71588194
13106006700,139.7799313,35.71514371
13106006800,139.781087,35.71285695
13106006900,139.7945967,35.70728152
13106007000,139.7700579,35.72103613
13106007100,139.7935324,35.70657062
13106007200,139.7671911,35.72509159
13106007300,139.7933779,35.70565063
13106007400,139.7804858,35.70670526
13106007500,139.7676138,35.71128241
13106007600,139.7884166,35.70776463
13106007700,139.7819161,35.71846046
13106007800,139.7950087,35.70818755
13106007900,139.7805063,35.72298393
13106008000,139.7692274,35.70933102
13106008100,139.780326,35.72298393
13106008200,139.7784602,35.7054786
13106008300,139.7815384,35.7212339
13106008400,139.7827174,35.69983295
13106008500,139.7881937,35.70323909
13106008600,139.7822539,35.70713737
13106008700,139.7678541,35.71334526
13106008800,139.7827689,35.71060813
13106008900,139.7940131,35.70643123
13106009000,139.7860213,35.71546276
13106009100,139.780182,35.710777
13106009200,139.8016309,35.71673133
13106009300,139.7948879,35.71449415
13106009400,139.7870264,35.71080802
13106009500,139.7816424,35.72083465
13106009600,139.792786,35.725433
13106009700,139.7733395,35.71043263
13106009800,139.7815556,35.71755455
13106009900,139.7921419,35.70293241
13106010000,139.7814182,35.72382881
13106010100,139.7828032,35.70918639
13106010200,139.7814303,35.70314151
13106010300,139.7923956,35.72275207
13106010400,139.7807608,35.71546333
13106010500,139.8047208,35.72369974
13106010600,139.7816188,35.69919169
13106010700,139.767528,35.71315013
13106010800,139.8013219,35.72715584
13106010900,139.7802627,35.70408465
13106011000,139.789361,35.70275119
13106011100,139.7791073,35.7142935
13106011200,139.7843654,35.69778369
13106011300,139.7870089,35.71005059
13106011400,139.7688219,35.7268475
13106011500,139.7954168,35.72467526
13106011600,139.7933607,35.70427062
13106011700,139.7900897,35.7160342
13106011800,139.7874213,35.71450163
13106011900,139.7691481,35.7217469
13106012000,139.7855906,35.72309236
13106012100,139.7871809,35.71483613
13106012200,139.7870433,35.70858702
13106012300,139.7825289,35.7121461
13106012400,139.7857561,35.71388836
13106012500,139.7898417,35.70861966
13106012600,139.7891894,35.70991596
13106012700,139.7932062,35.71210429
13106012800,139.7884341,35.70921902
13106012900,139.7879703,35.70999483
13106013000,139.789963,35.712971
13106013100,139.7819332,35.72196134
13106013200,139.7868891,35.71313571
13106013300,139.7832327,35.71544939
13106013400,139.7844233,35.72245129
13106013500,139.7821166,35.70822461
13106013600,139.7851725,35.71197885
