JASID,経度,緯度
13107000100,139.8162445,35.73373965
13107000200,139.8267159,35.70553135
13107000300,139.8138756,35.71907927
13107000400,139.7975975,35.7052043
13107000500,139.7932029,35.69696567
13107000600,139.8034683,35.70806183
13107000700,139.801002,35.71009582
13107000800,139.8130525,35.70637744
13107000900,139.8053878,35.71090059
13107001000,139.8111641,35.701227
13107001101,139.7959689,35.6966302
13107001102,139.7962654,35.69780884
13107001103,139.7957348,35.69815102
13107001104,139.7963902,35.69921557
13107001105,139.7950482,35.69856924
13107001200,139.8004691,35.69637653
13107001400,139.8104723,35.69721298
13107001500,139.8109093,35.69628782
13107001600,139.8001525,35.70457368
13107001602,139.7994502,35.70470041
13107001700,139.8086984,35.70464751
13107001800,139.8181347,35.7070984
13107002100,139.8098221,35.69975693
13107002200,139.8164336,35.70055942
13107002300,139.8093538,35.69961725
13107002302,139.8093695,35.69985832
13107002400,139.8185092,35.69840499
13107002500,139.8171983,35.69954558
13107002600,139.8012605,35.70875543
13107002700,139.806805,35.69680743
13107002800,139.8112577,35.70033961
13107002900,139.8036793,35.70688001
13107003000,139.7987012,35.70310368
13107003100,139.8094943,35.70392519
13107003200,139.796982,35.690418
13107003300,139.8183843,35.69786004
13107003400,139.8115074,35.70246864
13107003500,139.807242,35.69765655
13107003600,139.8093227,35.70047929
13107003700,139.7936593,35.69888607
13107003800,139.8097752,35.70072008
13107004000,139.829102,35.705215
13107004100,139.8163088,35.70689565
13107004200,139.8100093,35.70244358
13107004300,139.8120953,35.69589493
13107004400,139.8033828,35.70784307
13107004500,139.8015102,35.70766566
13107004600,139.8080066,35.69689615
13107004700,139.8061138,35.71056746
13107004800,139.829102,35.705215
13107004900,139.829102,35.705215
13107005000,139.7973266,35.70043219
13107005100,139.8183063,35.70499483
13107005200,139.7943927,35.69979853
13107005300,139.8074292,35.69859438
13107005400,139.7979352,35.69806231
13107005500,139.7996264,35.69569215
13107005600,139.796982,35.690418
13107005700,139.796982,35.690418
13107005800,139.8000276,35.70306566
13107005900,139.796982,35.690418
13107006000,139.8077882,35.69827755
13107006100,139.7980913,35.7000013
13107006200,139.8145922,35.70844161
13107006300,139.8114399,35.69513451
13107006400,139.8034453,35.7074249
13107006500,139.794617,35.690819
13107006600,139.8097283,35.70324088
13107006700,139.7982642,35.70349653
13107006800,139.8140551,35.72774507
13107006900,139.7994814,35.7090849
13107007000,139.7960978,35.70058402
13107007100,139.8020564,35.70900887
13107007200,139.7994814,35.70381334
13107007300,139.7983422,35.70576487
13107007400,139.8003499,35.70410107
13107007500,139.8066333,35.69758051
13107007600,139.8074655,35.70422933
13107007700,139.8112206,35.70082576
