JASID,経度,緯度
1311100100,139.6674392,35.58883561
1311100200,139.6687695,35.58743962
1311100300,139.6688781,35.58691091
1311100400,139.6639081,35.59491805
1311100500,139.6704679,35.59703283
1311100600,139.6685298,35.59304569
1311100700,139.6670555,35.59697895
1311100800,139.6587397,35.59761202
1311100900,139.6578784,35.59596871
1311101000,139.6579115,35.59571279
1311101100,139.6581103,35.59556462
1311101200,139.6582659,35.59544897
1311101300,139.6586951,35.59520469
1311101400,139.660401,35.59766486
1311101500,139.6602508,35.59732463
1311101600,139.6598109,35.596112
1311101700,139.6602231,35.59584821
1311101800,139.6593983,35.59610788
1311101900,139.6594643,35.59568898
1311102000,139.6593099,35.59519127
1311102100,139.6591834,35.59476115
1311102200,139.6606553,35.59527542
1311102300,139.6608623,35.59448064
1311102400,139.6613682,35.59369521
1311102500,139.6625296,35.59444324
1311102600,139.6653353,35.59098393
1311102800,139.6707426,35.5931476
1311102900,139.6732746,35.58384688
1311103000,139.6774303,35.58177573
1311103100,139.6833003,35.57892677
1311103200,139.6870554,35.57543632
1311103300,139.6872485,35.57255659
1311103400,139.6849954,35.57589009
1311103500,139.6672172,35.58937143
1311103600,139.6673245,35.5914479
1311103700,139.6665735,35.59169219
1311103800,139.6632476,35.59286127
1311103900,139.6622981,35.59404778
1311104000,139.6616543,35.59408267
1311104100,139.6619011,35.59460613
1311104200,139.6603512,35.59931764
1311104300,139.6582484,35.59718903
1311104400,139.6576046,35.59610725
1311104500,139.6761517,35.58467801
1311104600,139.6745531,35.58391891
1311104700,139.6743063,35.5827497
1311104800,139.6724802,35.58533812
1311104900,139.6847028,35.5965309
1311105000,139.6709538,35.58545938
1311105100,139.6708465,35.58590436
1311105200,139.6716083,35.58488351
1311105300,139.6722949,35.5844996
1311105400,139.676801,35.5810443
1311105500,139.6781743,35.58182961
1311105600,139.6771517,35.59133995
1311105700,139.6844687,35.58976951
1311105800,139.6920433,35.60212279
1311105900,139.7019138,35.59277077
1311106000,139.7035017,35.59549274
1311106100,139.7128043,35.59316087
1311106200,139.7166881,35.58939185
1311106300,139.7140918,35.58647772
1311106400,139.7028265,35.58682673
1311106500,139.7096019,35.59124845
1311106600,139.6986138,35.58900204
1311106700,139.7014033,35.58769331
1311106800,139.7217452,35.59301536
1311106900,139.7303283,35.59301536
1311106902,139.7288048,35.59189863
1311107000,139.721874,35.58434285
1311107100,139.7208869,35.58397639
1311107200,139.7214663,35.58542479
1311107300,139.7252696,35.58752753
1311107400,139.7069823,35.57945652
1311107500,139.7042143,35.57996262
1311107600,139.6882712,35.586053
1311107700,139.6936786,35.58212659
1311107800,139.6912324,35.58052107
1311107900,139.6921765,35.5802942
1311108000,139.6937644,35.57514582
1311108100,139.6939146,35.57641986
1311108200,139.6880781,35.5987558
1311108300,139.6935284,35.57388922
1311108400,139.6882283,35.57483168
1311108500,139.6891725,35.57711795
1311108600,139.6916401,35.57430809
1311108700,139.6829192,35.57566033
