JASID,経度,緯度
1311202600,139.5967239,35.62605718
1311202801,139.5959157,35.62654554
1311202802,139.5954507,35.62687117
1311202803,139.5945424,35.62693509
1311202804,139.5941561,35.62704558
1311202805,139.5943922,35.62721415
1311202806,139.5941203,35.62743505
1311202807,139.5941632,35.62727808
1311202808,139.5929331,35.62763859
1311202900,139.5907257,35.63643646
1311203000,139.608383,35.633945
1311203100,139.6095821,35.63202333
1311203200,139.6108034,35.6296297
1311203301,139.6115471,35.62908311
1311203302,139.6122911,35.62878085
1311203303,139.6120479,35.62908311
1311203600,139.6143795,35.63115279
1311203700,139.6083733,35.62732583
1311203800,139.6130779,35.62209475
1311203901,139.6095178,35.62616894
1311203902,139.6087096,35.62694796
1311203903,139.6090672,35.62671538
1311203904,139.6091315,35.62623871
1311203905,139.6087525,35.6262503
