JASID,画面経度,画面緯度
1311216000,139.6154904,35.64397266
1311216100,139.6630523,35.66017714
1311216200,139.66959,35.6574442
1311216300,139.6412825,35.63515619
1311216500,139.6380122,35.60631337
1311216700,139.6609159,35.60826729
1311216800,139.6426511,35.6016517
1311217200,139.5922706,35.68148408
1311217500,139.587979,35.6733964
1311217700,139.5947768,35.66469426
1311217800,139.600928,35.67158016
1311217900,139.6065982,35.66533359
1311218000,139.6058085,35.65473362
1311218100,139.6068728,35.65308771
1311218200,139.6054309,35.65152546
1311218300,139.605545,35.643986
1311218400,139.611851,35.65548682
1311218500,139.6227687,35.65138597
1311218600,139.5895397,35.64444121
1311218800,139.589677,35.64137214
1311218900,139.5937282,35.63782861
1311219000,139.5961315,35.63640558
1311219100,139.5951198,35.62435062
1311219200,139.5921673,35.62019235
1311219300,139.5990337,35.61960627
