JASID,経度,緯度
1311300100,139.683779,35.69146488
1311300200,139.6924308,35.67891625
1311300300,139.6886542,35.67131712
1311300400,139.6886199,35.67215383
1311300600,139.6897872,35.67449659
1311300700,139.6753964,35.67072841
1311300800,139.6794476,35.67117466
1311300900,139.6788639,35.67022637
1311301000,139.6796536,35.66749299
1311301100,139.674847,35.66478742
1311301200,139.6887859,35.66827397
1311301300,139.6903996,35.66687937
1311301400,139.6867603,35.66612627
1311301500,139.6845631,35.66453638
1311301600,139.697884,35.68085216
1311301700,139.6976093,35.68040597
1311302000,139.6992573,35.68015498
1311302100,139.6971287,35.6784817
1311302200,139.6996349,35.67401947
1311302300,139.6924252,35.67438203
1311302600,139.69809,35.66961276
1311302700,139.6912922,35.6695012
1311302800,139.6922878,35.67262497
1311302900,139.6967854,35.66492689
1311303000,139.6962704,35.66534528
1311303100,139.6896326,35.66033388
1311303300,139.689774,35.659973
1311303400,139.6953318,35.65787912
1311303500,139.6944735,35.65648434
1311303600,139.699865,35.65712594
1311303800,139.6968781,35.65743279
1311303900,139.6980297,35.65605875
1311304000,139.6964661,35.65983177
1311304100,139.7021496,35.65614244
1311304200,139.7007763,35.65499869
1311304400,139.699453,35.65149082
1311304500,139.7039349,35.65424548
1311304600,139.7020809,35.65307382
1311304700,139.7025616,35.65251587
1311304800,139.7046902,35.65307382
1311304900,139.701051,35.65086991
1311305000,139.7003643,35.64802429
1311305100,139.700742,35.6476616
1311305200,139.7021153,35.65131628
1311305300,139.7029392,35.64955871
1311305400,139.709943,35.64556915
1311305500,139.709943,35.64556915
1311305600,139.7095997,35.64448106
1311305700,139.7046558,35.64554125
1311305800,139.720998,35.64621084
1311306200,139.7143719,35.64462056
1311306300,139.707491,35.66677346
1311306400,139.7036458,35.66139007
1311306500,139.7032338,35.6597164
1311306600,139.7065244,35.65755713
1311306700,139.7082754,35.65738975
1311306800,139.7071081,35.65605076
1311307100,139.709564,35.653313
1311307200,139.7128073,35.65761292
1311307300,139.7118116,35.65719449
1311307400,139.7119489,35.65596707
1311307500,139.7106443,35.65513018
1311307700,139.7148182,35.65120469
1311307800,139.7170498,35.65128839
1311307900,139.7175648,35.6556961
1311308100,139.6897185,35.68206753
1311308200,139.6987359,35.67572944
1311309300,139.7046705,35.65744555
1311309400,139.6987766,35.66623784
1311309500,139.720174,35.65193003
1311309600,139.6984231,35.65017962
1311309700,139.7135822,35.64322554
1311309800,139.708212,35.66314738
1311309900,139.6859763,35.6825695
1311310000,139.7102323,35.66003979
1311310100,139.7030381,35.68387873
1311310200,139.7069691,35.67258397
1311310400,139.7131918,35.67816183
