JAID,経度,緯度
1311400100,139.6382068,35.72144459
1311400200,139.6390995,35.72158396
1311400300,139.6329197,35.72300547
1311400400,139.634087,35.71993942
1311400500,139.6349453,35.72024603
1311400600,139.6360782,35.7208035
1311400700,139.6345676,35.72197418
1311400800,139.6473392,35.71684538
1311400900,139.6501888,35.71720775
1311401000,139.6450046,35.71508925
1311401100,139.6410907,35.71952132
1311401200,139.6508754,35.71402998
1311401300,139.6461376,35.71430874
1311401400,139.6540354,35.71617321
1311401500,139.6577433,35.71831956
1311401600,139.6568507,35.71831956
1311401700,139.6547564,35.71857042
1311401800,139.6532787,35.71835061
1311401900,139.6519054,35.717375
1311402000,139.6545676,35.72606822
1311402100,139.651718,35.72525995
1311402200,139.6745833,35.72425655
1311402300,139.6755789,35.72682075
1311402400,139.6711844,35.72709946
1311402500,139.6718367,35.72523207
1311402600,139.6692961,35.72787986
1311402700,139.6661404,35.72901701
1311403100,139.6637343,35.72492548
1311403200,139.6630476,35.7268765
1311403300,139.6748608,35.72737263
1311403400,139.6725949,35.72723328
1311403500,139.6728009,35.73124662
1311403600,139.6708783,35.73038265
1311403700,139.6683034,35.7310794
1311403800,139.668784,35.73211058
1311403900,139.6700887,35.73160893
1311404000,139.6713246,35.73174827
1311404100,139.669814,35.73238927
1311404200,139.67115,35.7183753
1311404300,139.6742399,35.72255633
1311404400,139.6697081,35.72252846
1311404500,139.6702231,35.72342038
1311404600,139.6688841,35.71887704
1311404700,139.6667898,35.71985262
1311404800,139.6672362,35.72336464
1311404900,139.6652792,35.72107906
1311405000,139.6580866,35.71681433
1311405100,139.6622237,35.72110693
1311405200,139.6595972,35.71530908
1311405300,139.6622065,35.71639621
1311405400,139.6665324,35.71508607
1311405500,139.6684206,35.71720458
1311405600,139.6810182,35.71287992
1311405700,139.6756819,35.71887704
1311405800,139.6764372,35.71815231
1311405900,139.6759027,35.70462815
1311406000,139.6713708,35.70412632
1311406100,139.66333,35.702892
1311406200,139.6750787,35.70727661
1311406300,139.6788209,35.70404268
1311406400,139.689224,35.708805
1311406500,139.689224,35.708805
1311406600,139.6838773,35.6989713
1311407100,139.6837743,35.69830215
1311407200,139.6802724,35.6942035
1311407300,139.6771138,35.69492845
1311407400,139.6758092,35.69593221
1311407500,139.6740239,35.69423138
1311407600,139.6723073,35.69431503
1311407700,139.670213,35.69333913
1311407800,139.6679815,35.69303242
1311407900,139.66447,35.69528811
1311408000,139.6663583,35.69684951
1311408100,139.6796544,35.69080174
1311408200,139.6705907,35.69018829
1311408300,139.6739896,35.68935176
1311408400,139.6704534,35.68784599
1311408500,139.6684621,35.68779022
1311408600,139.6678098,35.68988157
1311408700,139.6687368,35.69071809
1311408800,139.6756376,35.68659116
1311408900,139.6697667,35.68190628
1311409000,139.6721357,35.68502956
1311409100,139.6680845,35.68617288
1311409200,139.6639646,35.68408144
1311409300,139.6613553,35.6853642
1311409500,139.6750787,35.7029275
1311409600,139.6817144,35.69361796
1311409700,139.670638,35.73169253
1311409800,139.6672018,35.72297442
1311409900,139.673313,35.72110693
1311410000,139.6722387,35.68700944
1311410100,139.6662062,35.719769
1311410200,139.6676138,35.71890491
