JASID,経度,緯度
13119000100,139.6267984,35.77824962
13119000200,139.6277597,35.78089564
13119000300,139.6312273,35.78042215
13119000400,139.6341455,35.78418215
13119000500,139.6352098,35.78585321
13119000600,139.6367891,35.78624312
13119000700,139.6316049,35.78356942
13119000800,139.6324976,35.78490628
13119000900,139.6501444,35.77145313
13119001000,139.6481531,35.77245593
13119001100,139.6432779,35.77214952
13119001200,139.6414926,35.77331944
13119001300,139.6412523,35.776467
13119001400,139.639364,35.77794324
13119001500,139.6364458,35.77641128
13119001600,139.6372354,35.78025504
13119001700,139.6358965,35.78033859
13119001800,139.6399477,35.78334661
13119001900,139.638746,35.78376438
13119002000,139.6407373,35.78510124
13119002100,139.6386087,35.78479488
13119002200,139.6390894,35.78652162
13119002300,139.641115,35.78638237
13119002400,139.6415956,35.78136913
13119002500,139.6422823,35.7831795
13119002600,139.6433122,35.78432141
13119002700,139.6441705,35.78139698
13119002800,139.6433122,35.78259462
13119002900,139.6442735,35.7745172
13119003000,139.6490457,35.77437792
13119003100,139.6484707,35.77630335
13119003200,139.6496294,35.77972584
13119003300,139.6476467,35.78156758
13119003400,139.6455524,35.78424134
13119003500,139.6482647,35.78399068
13119003600,139.6522536,35.7764412
13119003700,139.6519446,35.77805671
13119003800,139.652082,35.7793101
13119003900,139.6513027,35.78112479
13119004000,139.653294,35.78173754
13119004100,139.6520237,35.78315798
13119004200,139.6548046,35.7812362
13119004300,139.6661239,35.77142733
13119004400,139.6638923,35.7717616
13119004500,139.6652656,35.77346077
13119004600,139.661489,35.77298723
13119004700,139.6594291,35.77354434
13119004800,139.6524596,35.77128805
13119004900,139.6539359,35.77298723
13119005000,139.6557212,35.77451925
13119005100,139.6539016,35.77900372
13119005200,139.6565108,35.77864163
13119005300,139.6624846,35.77861377
13119005400,139.6597037,35.77872518
13119005500,139.660871,35.78003427
13119005600,139.6626906,35.78098126
13119005700,139.6586051,35.78073058
13119005800,139.670392,35.77291791
13119005900,139.6728982,35.77634402
13119006000,139.6706901,35.77747178
13119006100,139.6704497,35.77847451
13119006200,139.6682181,35.77755534
13119006300,139.6682525,35.77443569
13119006400,139.6700721,35.77566128
13119006500,139.6736879,35.76776454
13119006600,139.6725892,35.77080089
13119006700,139.6718683,35.76876739
13119006800,139.6692247,35.76907381
13119006900,139.6692933,35.77052233
13119007000,139.675003,35.770569
13119007100,139.6767434,35.77419924
13119007200,139.6745805,35.77367
13119007300,139.6747522,35.7748956
13119007400,139.6803988,35.76675995
13119007500,139.6776361,35.76840525
13119007600,139.6811884,35.76948992
13119007700,139.680314,35.7701602
13119007800,139.6822709,35.77227724
13119007900,139.6824426,35.77380927
13119008000,139.6784257,35.7694638
13119008100,139.6773958,35.77091232
13119008200,139.6774987,35.77216582
13119008300,139.6780481,35.77322432
13119008400,139.678872,35.77464491
13119008500,139.6911674,35.76872194
13119008600,139.6924034,35.7698362
13119008700,139.6944977,35.76941835
13119008800,139.6929871,35.77156327
13119008900,139.6886612,35.7705326
13119009000,139.6894852,35.77164683
13119009100,139.6915794,35.77108972
13119009200,139.6887642,35.77256606
13119009300,139.6898628,35.77356885
13119009400,139.6853711,35.77037696
13119009500,139.6867443,35.77274469
13119009600,139.6984116,35.7656298
13119009700,139.7008835,35.76805338
