JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
13120000200,13120,2,おおいずみがくえんちょうきたおおいずみちょう№1いせき,大泉学園町・北大泉町No.1遺跡,練馬区 西大泉四丁目,[縄文時代（中期）][奈良時代][平安時代][中世],包蔵地,集石土坑,土師器　陶器
13120000300,13120,3,おおいずみがくえんちょうきたおおいずみちょう№2いせき,大泉学園町・北大泉町No.2遺跡,練馬区 大泉学園町五丁目,[縄文時代（中期～後期）][奈良時代][平安時代][中世],集落,[時代不明]柱穴　溝状遺構,縄文土器　土師器　陶器
13120000400,13120,4,おおいずみがくえんちょうきたおおいずみちょう№3いせき,大泉学園町・北大泉町No.3遺跡,練馬区 大泉学園町三丁目,[縄文時代（前期～中期）][中世],包蔵地,,縄文土器　陶器
13120000500,13120,5,おおいずみがくえんちょうきたおおいずみちょう№4いせき,大泉学園町・北大泉町No.4遺跡,練馬区 大泉学園町一丁目　 大泉学園町四丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器　陶器
13120000600,13120,6,びくにばしいせきびーちてん,比丘尼橋遺跡Ｂ地点,練馬区 大泉町二丁目,[旧石器時代][縄文時代（草創期～晩期）][弥生時代（後期）][近世],包蔵地・集落,[旧石器時代]石器ブロック　礫群　[縄文時代]炉穴　竪穴住居跡　土坑　ピット　陥穴　集石土坑,ナイフ型石器　彫器　縄文土器　石鏃　打製石斧　玦状耳飾　陶磁器　近世陶磁器
13120000700,13120,7,おおいずみうちこしいせき,大泉打越遺跡,練馬区 大泉町六丁目,[縄文時代（早期～前期・中期・後期）][弥生時代][平安時代],集落,[縄文時代]土坑、竪穴住居跡、貯蔵穴、土坑、集石土坑,縄文土器　打製石斧　石棒　弥生土器　土師器
13120000800,13120,8,,練馬区№8遺跡,練馬区 大泉町五丁目,[弥生時代][古墳時代][奈良時代][平安時代],包蔵地,,弥生土器　土師器
13120000900,13120,9,はしとびーちてんいせき,橋戸B地点遺跡,練馬区 大泉町四丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器
13120001000,13120,10,がいかんどうろかんれん,外かん道路関連遺跡,練馬区 大泉町三丁目　 大泉町四丁目,[旧石器時代][縄文時代（草創期～後期）][弥生時代（中期～後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・その他（低湿地）,[縄文時代]石器製作址（石鏃）　[弥生時代]方形周溝墓　[古墳時代]竪穴住居跡,（旧石器）尖頭器　ナイフ型石器　（縄文）縄文土器　打製石斧　石鏃　垂飾り　（弥生～古墳）土器　木器（段梯子　農耕具）　ガラス玉　（奈良・平安）土師器　須恵器
13120001100,13120,11,えちごやまいせき,越後山遺跡,練馬区 大泉町一丁目,[縄文時代（早期～後期）][弥生時代（後期）][古墳時代],集落,[弥生時代]住居　方形周溝墓,縄文土器　弥生土器　土師器
13120001300,13120,13,えちごやまにしいせき,越後山西遺跡,練馬区 大泉町一 丁目,[旧石器時代][縄文時代（中期）][弥生時代（後期）],集落,[弥生時代]竪穴住居跡,石器　縄文土器　弥生土器
13120001500,13120,15,,練馬区№15遺跡,練馬区 大泉町二丁目,[旧石器時代][縄文時代（早期）],包蔵地,,石器　縄文土器
13120001600,13120,16,,練馬区№16遺跡,練馬区 大泉町二丁目,[縄文時代（草創期）],包蔵地,,有舌尖頭器
13120001700,13120,17,おおいずみなかざといせき,大泉中里遺跡,練馬区 大泉町二丁目,[旧石器時代][縄文時代（早期～後期）],集落,[旧石器時代]礫群　[縄文時代]住居　集石　土坑,石器　縄文土器　石器
13120001800,13120,18,,練馬区№18遺跡,練馬区 大泉町一丁目,[旧石器時代][縄文時代（早期・中期）][弥生時代],包蔵地,ピット,（旧石器）細部調整剥片　（縄文）土器（早期撚糸文）　（弥生）土器
13120002000,13120,20,まるやまいせき,丸山遺跡,練馬区 大泉町三丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代][奈良時代][平安時代][中世],集落,[旧石器時代]礫群　[弥生時代]住居　[中世]地下式土坑　[時代不明]溝状遺構,石器　縄文土器　弥生土器　土師器　須恵器
13120002100,13120,21,はしとえーちてんいせき,橋戸A地点遺跡,練馬区 大泉町三丁目,[縄文時代（早期・中期～後期）],包蔵地,,縄文土器　土錘
13120002200,13120,22,やつがやといせき,八ヶ谷戸遺跡,練馬区 大泉町二丁目,[旧石器時代][縄文時代（草創期～後期）],集落,[旧石器時代]礫群　[縄文時代]竪穴住居跡　竪穴状遺構　集石　土坑　埋甕　屋外炉　ピット,旧石器（剥片）　縄文土器　石器（石鏃　打製石斧　磨製石斧　石皿　凹石）　耳栓　土錘　垂飾り
13120002300,13120,23,おおいずみいのがしらいせき,大泉井頭遺跡,練馬区 東大泉七丁目,[縄文時代（前期～後期）],集落,[縄文時代]竪穴住居跡　土坑　柱穴,縄文土器　石器（石鏃　打製石斧　石皿他）
13120002400,13120,24,,練馬区№24遺跡,練馬区 東大泉四丁目,[中世],地下式横穴,[中世]地下式土坑,
13120002500,13120,25,,練馬区№25遺跡,練馬区 東大泉四丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器
13120002600,13120,26,,練馬区№26遺跡,練馬区 東大泉四丁目,[中世],地下式横穴,[中世]地下式土坑,
13120002800,13120,28,,練馬区№28遺跡,練馬区 東大泉二丁目,[縄文時代（早期～後期）][弥生時代],包蔵地,,縄文土器　弥生土器　土師器
13120002900,13120,29,とやまいせきだい1ちてん,外山遺跡第1地点,練馬区 東大泉三丁目,[旧石器時代][縄文時代（草創期～後期）],集落,[旧石器時代]石器ブロック　竪穴状遺構　陥穴,旧石器　縄文土器　石器
13120003000,13120,30,,練馬区№30遺跡,練馬区 南大泉四丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器
13120003100,13120,31,,練馬区№31遺跡,練馬区 南大泉四丁目,[縄文時代（前期～晩期）][弥生時代],包蔵地,,縄文土器
13120003400,13120,34,ふたつづか,二ツ塚,練馬区 関町南四丁目,[近世?],塚,,
13120003600,13120,36,ふじみいけせいほういせき,富士見池西方遺跡,練馬区 関町北三丁目,[縄文時代（早期・中期）][近世],集落,[縄文時代]住居,縄文土器　石器　近世木製品
13120003700,13120,37,かわきたいせき,川北遺跡,練馬区 関町北四丁目,[旧石器時代][縄文時代（早期～中期）][近世],集落,[旧石器時代]石器ブロック　[縄文時代]炉穴　陥穴　住居,［旧石器時代］黒曜石石核　［縄文時代］縄文土器（早期・中期）
13120003800,13120,38,ふじみいけいせきぐん,富士見池遺跡群,練馬区 関町北三丁目　 関町南四丁目,[旧石器時代][縄文時代（早期～後期）][中世],集落,[旧石器時代]石器ブロック　礫群　[縄文時代]住居,石器（石鏃　打製石斧）　石棒　縄文土器
13120004200,13120,42,むさしせききたいせき,武蔵関北遺跡,練馬区 関町北四丁目,[旧石器時代][縄文時代（草創期～中期）],集落,[旧石器時代]石器ブロック　礫群　[縄文時代]集石　陥穴　土坑　貯蔵穴,石器　縄文土器
