JASID,経度,緯度
13120000200,139.5771344,35.76533944
13120000300,139.5826962,35.76414155
13120000400,139.5871937,35.76344509
13120000500,139.5893567,35.7636401
13120000600,139.5997269,35.7575946
13120000700,139.5919678,35.75564398
13120000800,139.5951607,35.75851399
13120000900,139.5963624,35.76408583
13120001000,139.5996239,35.76386297
13120001100,139.6099236,35.76971265
13120001300,139.6026108,35.76826411
13120001500,139.6020615,35.76230288
13120001600,139.6025422,35.76475443
13120001700,139.6058037,35.76442013
13120001800,139.6059067,35.76787411
13120002000,139.5983193,35.7636401
13120002100,139.5971863,35.76545087
13120002200,139.6028512,35.75923835
13120002300,139.579718,35.74674124
13120002400,139.5829452,35.75231391
13120002500,139.5831512,35.75167308
13120002600,139.5841812,35.75248109
13120002800,139.5967744,35.75441808
13120002900,139.5911858,35.75242004
13120003000,139.5735725,35.74389903
13120003100,139.5752548,35.74727066
13120003400,139.5725426,35.72037723
13120003600,139.5663971,35.72631408
13120003700,139.5701736,35.72943562
13120003800,139.5691093,35.72575664
13120004200,139.5746712,35.72885034
13120004300,139.5684227,35.72885034
13120004400,139.5969157,35.73184361
13120004500,139.5927615,35.732401
13120004900,139.5878204,35.72344326
13120005000,139.5958224,35.73608288
13120005600,139.596818,35.73934338
13120005700,139.5870967,35.73256821
13120005800,139.578791,35.73024386
13120005900,139.6014872,35.73402062
13120006000,139.6059847,35.73457799
13120006100,139.6046801,35.73271077
13120006200,139.6128056,35.7411269
13120006400,139.6020365,35.73797788
13120006800,139.6060534,35.7412383
13120006900,139.607049,35.74299386
13120007000,139.6128419,35.76804125
13120007200,139.636788,35.74611723
13120007300,139.6302749,35.74707284
13120007400,139.6270604,35.77399357
13120007500,139.6261678,35.77708539
13120007600,139.6156208,35.74059744
13120007700,139.6164104,35.74165636
13120007800,139.6162388,35.74279886
13120007900,139.6190884,35.74853898
13120008000,139.6113636,35.73828449
13120008100,139.608182,35.73725333
13120008200,139.6192257,35.73836809
13120008300,139.6087656,35.73914831
13120008400,139.6208736,35.73914837
13120008500,139.6223499,35.7447773
13120008600,139.6206333,35.74207435
13120008700,139.6110546,35.7407089
13120008800,139.6334734,35.73681426
13120008900,139.6368036,35.73993539
13120009100,139.633851,35.74043699
13120009300,139.6295595,35.73642411
13120009400,139.6271906,35.74341865
13120009500,139.636117,35.74152378
13120009800,139.6398092,35.74706462
13120010000,139.661941,35.75106414
13120010100,139.6525683,35.74844499
13120010200,139.6520189,35.74568643
13120010300,139.6658902,35.75998138
13120010400,139.6674685,35.75675087
13120010500,139.6675715,35.7554414
13120010600,139.6679491,35.75792101
13120010700,139.6733736,35.75315674
13120010800,139.6531301,35.74299634
13120011200,139.6654429,35.74554712
13120011300,139.66225,35.74755335
13120011400,139.6583018,35.74844499
13120011500,139.669495,35.738518
13120011600,139.67833,35.74126865
13120011700,139.6726308,35.73809183
13120011800,139.6760859,35.74359656
13120011900,139.6748842,35.74231474
13120012000,139.646805,35.728279
13120012200,139.648514,35.729378
13120012300,139.656189,35.728069
13120012400,139.656189,35.728069
13120012600,139.651611,35.728554
13120012700,139.651611,35.728554
13120012800,139.665527,35.734074
13120012900,139.6725153,35.75546926
13120013000,139.6458275,35.74255871
13120014300,139.6597437,35.75106414
13120014600,139.5759071,35.72595174
13120014800,139.5904229,35.75597831
13120014900,139.6094086,35.76553409
13120015000,139.5999673,35.75929407
13120015100,139.5844902,35.75482149
13120015200,139.662674,35.730206
13120015300,139.6792444,35.74287205
13120015400,139.5902169,35.75333147
13120015500,139.5986626,35.75583901
