JASID,経度,緯度
13122000100,139.8501105,35.78187029
13122000200,139.8760904,35.76204366
13122000400,139.8720469,35.7571478
13122000500,139.8696093,35.75812292
13122000600,139.8751712,35.75831794
13122000700,139.8654895,35.75452885
13122000800,139.855644,35.75541297
13122001000,139.8672747,35.75575476
13122001100,139.8567598,35.73976267
13122001200,139.8573262,35.7394004
13122001300,139.8576352,35.73979054
13122001400,139.8341544,35.73452287
13122001500,139.8833385,35.75546786
13122001600,139.8174384,35.75575087
13122001700,139.8379285,35.75715428
13122001800,139.8772234,35.77569338
13122001900,139.8635132,35.72651646
13122002000,139.8751025,35.75781646
13122002100,139.8779444,35.75842191
13122002200,139.8620275,35.73322804
13122002300,139.8626112,35.73292148
13122002400,139.8597272,35.73077553
13122002500,139.8589376,35.73010665
13122002600,139.8160308,35.759122
13122002700,139.8505285,35.76127755
13122002800,139.8554036,35.73973481
13122002900,139.8688596,35.73291592
