JASID,経度,緯度
1320400100,139.5281783,35.6866886
1320400200,139.5294654,35.68325278
1320400300,139.5313359,35.68085111
1320400400,139.5307326,35.68080221
1320400500,139.5272323,35.68011585
1320400600,139.5331371,35.67883908
1320400700,139.5318166,35.67846921
1320400800,139.5311942,35.67851858
1320400900,139.52998,35.67678015
1320401000,139.5326815,35.67554427
1320401100,139.5329231,35.67555183
1320401200,139.5359284,35.67582296
1320401300,139.5389942,35.67418323
1320401400,139.5358014,35.67239775
1320401500,139.5373271,35.66874042
1320401600,139.5407272,35.66787721
1320401700,139.540178,35.6647383
1320401800,139.5407709,35.67571175
1320401900,139.5400361,35.6739065
1320402000,139.5404034,35.66997304
1320402100,139.5406238,35.66868985
1320402200,139.5434357,35.66708379
1320402300,139.5651184,35.68168289
1320402400,139.5677619,35.67933557
1320402500,139.5652209,35.67565823
