"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度"
1320500100,13205,1,"","青梅市№1遺跡","青梅市 成木七丁目","[縄文時代]","包蔵地","","縄文土器　剥片",139.170851392014,35.8456116983389
1320500200,13205,2,"たかっと（えぬ-1）いせき","高土戸(N-1)遺跡","青梅市 成木七丁目","[縄文時代（早期～前期）]","包蔵地","","縄文土器　掻器",139.217234301109,35.8372066924572
1320500300,13205,3,"","青梅市№3遺跡","青梅市 成木六丁目","[縄文時代（晩期）][奈良時代][平安時代]","包蔵地","","縄文土器　土師器",139.230486559213,35.8304430779479
1320500400,13205,4,"きゅうどういせき","久道遺跡","青梅市 成木四丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.247277998334,35.8258888103
1320500500,13205,5,"さとうづか","佐藤塚","青梅市 成木八丁目","[近世]","石灰窯跡・墓地","","五輪塔",139.216478990461,35.8270749731605
1320500600,13205,6,"くりだいらいせき","栗平遺跡","青梅市 成木八丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.232031508986,35.8110397178005
1320500700,13205,7,"えびさわ（えぬ-3）いせき","蜆沢(N-3)遺跡","青梅市 成木八丁目","[縄文時代（前期）]","包蔵地","","縄文土器",139.243876143996,35.8210899702837
1320500800,13205,8,"きゅうどう（えぬ-2）いせき","久道(N-2)遺跡","青梅市 成木四丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.24865128935,35.824608317824
1320500900,13205,9,"こなかおいせき","小中尾遺跡","青梅市 成木二丁目","[旧石器時代][縄文時代（早期～後期）][奈良時代][平安時代]","集落","[縄文時代]堅穴状遺構","尖頭器　掻器　縄文土器　打斧　石鏃　けつ状耳飾　須恵器",139.267499709718,35.8337383417722
1320501000,13205,10,"なかざと（あんらくじまえ）（えぬ-5）いせき","中里（安楽寺前）(N-5)遺跡","青梅市 成木一丁目","[縄文時代（前期）][平安時代][中世][近世]","包蔵地","[中世]溝","縄文土器　土師器　須恵器　陶磁器（白磁・青磁）　木製品（杭）",139.275670792309,35.8382472952626
