JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
1320700100,13207,1,やまのかみいせき,山ノ神遺跡,昭島市 拝島町三丁目,[古墳時代],集落,[古墳時代]住居,土師器 土製支脚 ろう石製玉
1320700200,13207,2,けいめいがくえんえーいせき,啓明学園A遺跡,昭島市 拝島町五丁目,[縄文時代（中期）],包蔵地,,縄文土器 打斧 石鏃
1320700300,13207,3,りゅうしんじひがしいせき,龍津寺東遺跡,昭島市 拝島町四丁目 拝島町五丁目,[縄文時代（中期～後期）][中世],集落,[縄文時代（早期）]住居 敷石住居 集落 土坑 ピット 埋甕 [中世]溝状遺構,縄文土器 打斧 磨斧 石鏃 石匙 石錘 石皿 磨石 凹石 石棒
1320700400,13207,4,さかうえいせき,坂上遺跡,昭島市 拝島町四丁目,[縄文時代（中期・晩期][奈良時代][平安時代],包蔵地,,縄文土器 打斧 石槍 石鏃 掻器 削器 石錘 土師器 須恵器
1320700500,13207,5,,昭島市№5遺跡,昭島市 拝島町一丁目,[平安時代?],包蔵地,,土師器
1320700600,13207,6,,昭島市№6遺跡,昭島市 緑町四丁目,[平安時代],包蔵地,,土師器 須恵器
1320700700,13207,7,はやしのうえいせき,林ノ上遺跡,昭島市 緑町四丁目,[旧石器時代][縄文時代（早期・中期）],集落,[旧石器時代]礫群 [縄文時代（早期）]土坑,ナイフ形石器 縄文土器 打斧 礫器 石鏃 掻器 石皿 磨石 凹石 敲石
1320700800,13207,8,はいじまだいさんしょうふきんいせき,拝島第三小附近遺跡,昭島市 松原町三丁目 松原町四丁目 緑町四丁目 緑町五丁目,[縄文時代（早期）],包蔵地,,縄文土器
1320700900,13207,9,,昭島市№9遺跡,昭島市 緑町二丁目 緑町四丁目,[縄文時代（早期・中期～後期）],包蔵地,,縄文土器
1320701000,13207,10,,昭島市№10遺跡,昭島市 緑町四丁目,[縄文時代（早期・後期）],包蔵地,,縄文土器 剥片
1320701100,13207,11,,昭島市№11遺跡,昭島市 緑町二丁目,[縄文時代（前期～中期）],包蔵地,,縄文土器
1320701200,13207,12,じょうがわらいせき,上川原遺跡,昭島市 上川原町 昭和町四丁目 昭和町五丁目,[旧石器時代][縄文時代（早期・中期）],集落,[縄文時代（早期）]住居 集石 土坑 ピット,ナイフ形石器 縄文土器 打斧 磨斧 局部磨斧 礫器 尖頭状石器 石鏃 石皿 磨石 スタンプ形石器 凹石 敲石
1320701300,13207,13,,昭島市№13遺跡,昭島市 田中町一丁目 大神町二丁目,[縄文時代（中期～後期）][近世],包蔵地,,縄文土器 銭貨（永楽通宝）
1320701400,13207,14,じょうどじあと,浄土寺址,昭島市 田中町二丁目 大神町四丁目,[奈良時代][平安時代],社寺,[時代不明]礎石,直刀
1320701500,13207,15,,昭島市№15遺跡,昭島市 拝島町六丁目,[縄文時代（早期～前期）],包蔵地,,礫器
1320701600,13207,16,,昭島市№16遺跡,昭島市 拝島町六丁目,[縄文時代（早期～前期）],包蔵地,,縄文土器 磨石 剥片
1320701700,13207,17,,昭島市№17遺跡,昭島市 大神町,[旧石器時代],包蔵地,,尖頭器
1320701800,13207,18,にしうえいせき,西上遺跡,昭島市 中神町,[縄文時代（早期・中期）],集落,[縄文時代（早期）]住居,縄文土器 打斧 磨斧 石鏃 石匙 石皿 磨石 スタンプ形石器 土製円板 土偶
1320701900,13207,19,きょうづかしたいせき,経塚下遺跡,昭島市 中神町 宮沢町,[奈良時代][平安時代][中世][近世？],集落,[平安時代]住居 土坑,土師器 須恵器 陶器（灰釉） 刀子 釘 青銅製品 硯 瓦 カワラケ
1320702000,13207,20,くまのじんじゃひがしいせき,熊野神社東遺跡,昭島市 中神町,[縄文時代（早期・中期）][平安時代],包蔵地,,縄文土器 土師器 須恵器
1320702100,13207,21,,昭島市№21遺跡,昭島市 福島町二丁目,[古墳時代],古墳,[古墳時代]横穴式石室,土師器 鉄刀
1320702200,13207,22,こうふくじだいいせき,広福寺台遺跡,昭島市 福島町二丁目,[縄文時代（前期～後期）][古墳時代][平安時代],集落,[縄文時代（早期）]住居 集石,縄文土器 打斧 石匙 石錘 土師器 陶器
1320702300,13207,23,たきのうえいせき,滝ノ上遺跡,昭島市 福島町一丁目 郷地町一丁目,[平安時代],集落,[平安時代]住居 ピット 土坑,土師器 須恵器 土師質須恵器 陶器（灰釉・緑釉） 石製品 鉄製品
1320702400,13207,24,ほうしゃくじいせき,宝積寺遺跡,昭島市 郷地町一丁目,[縄文時代（中期）],包蔵地,,縄文土器
1320702500,13207,25,,昭島市№25遺跡,昭島市 郷地町一丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器 土師器 須恵器
1320702600,13207,26,まつばらうえいせき,松原上遺跡,昭島市 松原町四丁目,[縄文時代（早期～後期）][平安時代],包蔵地,,縄文土器 打斧 環状石斧 須恵器
1320702900,13207,29,けいめいがくえんびーいせき,啓明学園B遺跡,昭島市 拝島町五丁目,[平安時代],包蔵地,,須恵器
1320703000,13207,30,けいめいがくえんしーいせき,啓明学園C遺跡,昭島市 拝島町五丁目,[縄文時代（前期）],包蔵地,,縄文土器
1320703100,13207,31,,昭島市№31遺跡,昭島市 拝島町二丁目,[平安時代?],包蔵地,,土師器
1320703200,13207,32,,昭島市№32遺跡,昭島市 拝島町五丁目,[奈良時代？][平安時代],塚,,土器
1320703300,13207,33,,昭島市№33遺跡,昭島市 緑町三丁目,[縄文時代（後期）][奈良時代？][平安時代],包蔵地,,縄文土器 須恵器 陶器
1320703400,13207,34,だいにちどうしたいせき,大日堂下遺跡,昭島市 拝島町一丁目,[奈良時代][平安時代]［中世］,包蔵地・社寺,,土師器 陶器
1320703500,13207,35,,昭島市№35遺跡,昭島市 緑町一丁目,[縄文時代（中期）],包蔵地,,縄文土器
1320703600,13207,36,かいせいえんいせき,偕生園遺跡,昭島市 田中町二丁目,[縄文時代（中期）][奈良時代][平安時代][近世],包蔵地,[平安時代]ピット 土坑 溝状 遺構,縄文土器 土師器 須恵器 陶器 陶磁器 鉄釘
1320703700,13207,37,,昭島市№37遺跡,昭島市 宮沢町,[時代不明],塚,,
1320703800,13207,38,たまがわしょうがっこういせき,玉川小学校遺跡,昭島市 中神町,[平安時代],集落,[平安時代]住居?,土師器 須恵器
1320704300,13207,43,じょうどこふんぐんいせき,浄土古墳群,昭島市 田中町二丁目,[古墳時代],古墳,※遺跡範囲のすべてが昭島市指定史跡浄土古墳となっています。,縄文土器 打斧 耳環 素焼土器
1320704400,13207,44,,昭島市№44遺跡,昭島市 大神町三丁目,[古墳時代][奈良時代],古墳,[古墳時代]横穴式石室,直刀
1320704500,13207,45,,昭島市№45遺跡,昭島市 大神町三丁目,[縄文時代（中期）],包蔵地,,縄文土器
1320704600,13207,46,きょうづかしたこふん,経塚下古墳,昭島市 宮沢町,[古墳時代][奈良時代],古墳,[古墳時代]竪穴式石室,鉄鏃 刀子
1320704700,13207,47,,昭島市№47遺跡,昭島市 宮沢町 中神町,[旧石器時代],包蔵地,,尖頭器
1320704800,13207,48,,昭島市№48遺跡,昭島市 玉川町四丁目,[縄文時代（前期）][奈良時代][平安時代],包蔵地,,縄文土器 土師器
1320704900,13207,49,ひがしこうちいせき,東耕地遺跡,昭島市 中神町,[平安時代],包蔵地,[平安時代]土坑,土師器 須恵器 陶器（灰釉・緑釉） 鎌 刀子 釘 鏃 錘
1320705000,13207,50,たまがわちょうかそうぼ,玉川町火葬墓,昭島市 玉川町三丁目,[奈良時代],火葬墓,,須恵器（獣脚付有蓋短頸壺） 石櫃 火葬骨
1320705100,13207,51,ちょうじゃやしき,長者屋敷,昭島市 松原町四丁目 松原町五丁目,[中世],城館,,陶器 板碑 銭貨
1320705200,13207,52,くりのさわいせき,栗ノ沢遺跡,昭島市 田中町一丁目,[平安時代],包蔵地,ピット,須恵器
