JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
1320800100,13208,1,みどりがおかいせき,緑ヶ丘遺跡,調布市 緑ヶ丘一丁目　 緑ヶ丘二丁目,[縄文時代（中期）][平安時代][中世][近世],包蔵地・集落,[縄文時代]埋甕　[平安時代]火葬墓　[中世][近世]掘立柱建物,縄文土器　石器　土師器　須恵器　陶磁器　銭貨
1320800200,13208,2,やしろだいせき,社田遺跡,調布市 緑ケ丘二丁目,[縄文時代][奈良時代][中世][近世],包蔵地,,縄文土器　土師器　陶磁器
1320800300,13208,3,やながわいせき,柳川遺跡,調布市 緑ケ丘二丁目,[縄文時代（中期）][奈良時代][平安時代],包蔵地,[奈良時代][平安時代]ピット　[近世]溝状遺構,縄文土器　土師器　陶磁器
1320800400,13208,4,せんがわきたいせき,仙川北遺跡,調布市 緑ケ丘二丁目,[縄文時代],包蔵地,,縄文土器　土師器
1320800500,13208,5,せんがわいせき,仙川遺跡,調布市 仙川町二丁目　 仙川町三丁目,[旧石器時代][縄文時代（早期～中期）][弥生時代][古墳時代][近世],包蔵地・集落,[旧石器時代]礫群　[縄文時代]集石　土坑　[古墳時代]住居　[近世]溝,ナイフ形石器　尖頭器　掻器　石核　剥片　縄文土器　打斧　弥生土器　土師器　須恵器　鉄製品　陶磁器
1320800600,13208,6,わかばちょういせき,若葉町遺跡,調布市 若葉町一丁目　 若葉町三丁目,[旧石器時代][縄文時代（早期・中期）],包蔵地・集落,[旧石器時代]炭化物集中箇所　[縄文時代]住居　集石　土坑　ピット　[平安時代]溝状遺構,縄文土器　打斧　局部磨斧　石槍　石鏃　磨石　スタンプ形石器　凹石　敲石　土製円板　土偶
1320800700,13208,7,おおはらいせき,大原遺跡,調布市 入間町一丁目,[縄文時代（早期・中期）][奈良時代][中世][近世],包蔵地,[中世][近世]溝状遺構,縄文土器　土師器　陶器
1320800800,13208,8,いりまちょうしろやまいせき,入間町城山遺跡,調布市 入間町一丁目　 入間町二丁目　 入間町三丁目,[旧石器時代][古墳時代][中世],集落,[旧石器時代]礫群　石器ブロック　[縄文時代]住居　炉穴　土坑　[弥生時代]住居　土坑　[古墳時代][奈良時代]住居　土坑　溝　横穴墓　[中世]住居　地下式坑　溝　[時代不明]掘立柱建物,ナイフ形石器　尖頭器　縄文土器　石器　土師器　須恵器　埴輪　墨書土器　陶磁器　鉄製品　鉄滓　紡錘車　土製品　人骨
1320800900,13208,9,がんざいせき,蟹沢遺跡,調布市 入間町三丁目,[旧石器時代][縄文時代（中期）][古墳時代][奈良時代][近世],包蔵地,[近世]土壙墓,縄文土器　石器　土師器　陶磁器　石臼　鉄製品　人骨
1320801000,13208,10,みなみだいいせき,南台遺跡,調布市 深大寺東町四丁目　 深大寺東町五丁目　 深大寺東町六丁目,[縄文時代（中期～晩期）][奈良時代][平安時代][近世],包蔵地,,縄文土器　土師器
1320801100,13208,11,じゃくぼいせき,蛇久保遺跡,調布市 西つつじヶ丘一丁目,[旧石器時代][縄文時代（中期）][弥生時代][古墳時代][奈良時代][近世],包蔵地・集落,[旧石器時代]石器集中箇所　炭化物集中箇所　[縄文時代]住居　集石　炉　焼土　土坑　土壙墓　埋甕　[古墳時代]住居　[近世]溝,ナイフ形石器　尖頭器　縄文土器　打斧　磨石　耳飾　勾玉　土師器　陶磁器
1320801200,13208,12,なかだいきたいせき,中台北遺跡,調布市 東つつじヶ丘二丁目,[縄文時代（中期）],包蔵地,,縄文土器　土師器
1320801300,13208,13,なかだいいせき,中台遺跡,調布市 東つつじヶ丘二丁目　 東つつじヶ丘三丁目,[縄文時代（中期～後期）][古墳時代],集落,[縄文時代]住居　敷石住居　集石　土坑　土壙墓　埋甕　[古墳時代]住居,縄文土器　石器　土製品　土師器　須恵器　紡錘車　陶磁器
1320801400,13208,14,なかだいみなみいせき,中台南遺跡,調布市 東つつじヶ丘三丁目,[旧石器時代][縄文時代],包蔵地,,縄文土器
1320801500,13208,15,りょうやまいせき,陵山遺跡,調布市 入間町二丁目,[縄文時代（中期）][古墳時代],包蔵地,,縄文土器
1320801600,13208,16,しゅくいせき,宿遺跡,調布市 深大寺元町四丁目,[縄文時代（中期）][奈良時代][平安時代][近世],包蔵地,[近世]土坑,縄文土器　土師器　陶磁器
1320801700,13208,17,どうやまいせき,堂山遺跡,調布市 深大寺元町五丁目　 深大寺北町一丁目　 深大寺北町二丁目,[旧石器時代][縄文時代（草創期・前期～中期）][弥生時代],包蔵地,[縄文時代]集石　土坑　[近世]溝,ナイフ形石器　尖頭器　縄文土器　弥生土器　土師器　須恵器　陶磁器　銭貨
1320801800,13208,18,てらやまいせき,寺山遺跡,調布市 深大寺元町五丁目,[縄文時代（中期～後期）][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居　敷石住居　土坑　[古墳時代][奈良時代][平安時代]住居　溝　[近世]井戸　溝,縄文土器　石器　土師器　須恵器　墨書土師器　陶磁器　鉄製品　板碑　銭貨
1320801900,13208,19,ひがしはらいせき,東原遺跡,調布市 深大寺南町五丁目　 深大寺北町二丁目　 深大寺元町五丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代],集落,[縄文時代]住居　陥し穴　埋甕　[古墳時代][奈良時代]住居　土坑,縄文土器　石器　土師器　須恵器
1320802000,13208,20,にしはらいせき,西原遺跡,調布市 深大寺東町一丁目　 深大寺元町一丁目　 深大寺元町五丁目　 深大寺南町五丁目,[旧石器時代][縄文時代（中期）][古墳時代][奈良時代],包蔵地,[縄文時代]竪穴状遺構,縄文土器　土師器
1320802100,13208,21,いけのうえいせき,池ノ上遺跡,調布市 深大寺南町一丁目　 深大寺南町四丁目　 深大寺元町二丁目,[縄文時代（早期～中期）][古墳時代][奈良時代],包蔵地・集落,[縄文時代]竪穴状遺構　集石　[古墳時代]住居　[奈良時代]住居,縄文土器　石器　土師器　須恵器　鉄製品　円面硯
1320802200,13208,22,におうづかいせき,仁王塚遺跡,調布市 深大寺元町三丁目,[旧石器時代][縄文時代（早期～中期）][弥生時代][奈良時代][平安時代][中世],集落,[縄文時代]炉穴　土坑　[弥生時代][古墳時代][奈良時代]住居　[中世]地下式土坑　[時代不明]溝,縄文土器　石器　土師器　須恵器　陶磁器　カワラケ
1320802300,13208,23,じんだいじしろやまいせき,深大寺城山遺跡,調布市 深大寺元町二丁目,[縄文時代（早期～中期）][弥生時代][古墳時代][奈良時代][平安時代][中世],包蔵地・集落・城館,[縄文時代]炉穴　陥し穴　[弥生時代]～[平安時代]住居　[中世]掘立柱建物　地下式坑　堀　土塁,縄文土器　石器　弥生土器　土師器　須恵器　鉄製品　カワラケ　銭貨　陶磁器　舶載陶磁器　鉄製品　銭貨
1320802400,13208,24,おとうざかおうけつぼぐん,御塔坂横穴墓群,調布市 深大寺元町三丁目,[古墳時代][奈良時代],横穴墓群　,6基,刀子　人骨　木片
1320802500,13208,25,うえのはらいせき,上野原遺跡,調布市 深大寺南町一丁目　 深大寺南町二丁目　 深大寺南町三丁目　 深大寺南町四丁目　　 深大寺南町五丁目　 佐須町五丁目　 柴崎二丁目,[旧石器時代][縄文時代（早期・後期）][古墳時代][奈良時代][平安時代][近世],集落,[旧石器時代]礫群　[縄文時代]住居　集石　集石土坑　炉穴　陥し穴　土坑　[古墳時代]土壙墓　[平安時代]住居溝　[中世]土坑　地下室　濠　[中世][近世]溝　堀　[時代不明]掘立柱建物,ナイフ形石器　縄文土器　打斧　土師器　須恵器　陶器（灰釉）　鉄製品　木製品　陶磁器　ガラス
1320802600,13208,26,かねこもとやま,金子本山遺跡,調布市 西つつじケ丘一丁目,[縄文時代][古墳時代][奈良時代][中世],包蔵地,[中世]地下式土壙,縄文土器　土師器　鉄片　漆喰
