"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品"
1320805304,13208,"53-4","ふるてんじん2ごうふん","古天神2号墳","調布市 布田五丁目","[古墳時代]","古墳","円墳 [古墳時代]周溝",""
1320805305,13208,"53-5","かみふだこふん3ごうふん（いいもりづか）","上布田古墳3号墳（飯盛塚）","調布市 布田五丁目","[古墳時代]","古墳","",""
1320805306,13208,"53-6","かみふだこふん4ごうふん（こうづか）","上布田古墳4号墳(庚塚)","調布市 布田五丁目","[古墳時代]","古墳","",""
1320805401,13208,"54-1","しもふだ1ごうこふん","下布田1号古墳","調布市 布田六丁目","[古墳時代]","古墳","",""
1320805402,13208,"54-2","しもふだ2ごうふん","下布田2号墳","調布市 布田六丁目","[古墳時代]","古墳","円墳 [古墳時代]周溝 礫槨","土師器 紡錘車"
1320805403,13208,"54-3","しもふだ3ごうふん","下布田3号古墳","調布市 布田六丁目","[古墳時代]","古墳","円墳 [古墳時代]周溝","土師器 円筒埴輪"
1320805404,13208,"54-4","しもふだ4ごうこふん","下布田4号古墳","調布市 布田六丁目","[古墳時代]","古墳","円墳 [古墳時代]周溝 土坑","土師器"
1320805405,13208,"54-5","しもふだ5ごうこふん","下布田5号古墳","調布市 布田六丁目","[古墳時代]","古墳","円墳 [古墳時代]周溝","土師器"
1320805406,13208,"54-6","しもふだ6ごうふんきつねづかこふん","下布田6号墳狐塚古墳","調布市 布田六丁目","[古墳時代]","古墳","円墳 [古墳時代]横穴式石室","土師器"
1320805407,13208,"54-7","しもふだ7ごうふん","下布田7号墳","調布市 布田六丁目","[古墳時代]","古墳","",""
1320805408,13208,"54-8","しもふだ8ごうふん","下布田8号墳","調布市 布田六丁目","[古墳時代]","古墳","",""
1320805409,13208,"54-9","しもふだ9ごうふん","下布田9号墳","調布市 布田六丁目","[古墳時代]","古墳","",""
1320805305,13208,"55","こくりょうみなみ1ごうふん","国領南1号墳","調布市 国領町六丁目","[古墳時代]","古墳","円墳 [古墳時代]周溝","土師器"
1320805600,13208,"56","かすみねじんじゃこふん","糟嶺神社古墳","調布市 入間町二丁目","[古墳時代]","古墳","",""
1320805700,13208,"57","うえのはらおうけつぼぐん","上野原横穴墓群","調布市 柴崎二丁目","[古墳時代]","横穴墓","","人骨"
1320805800,13208,"58","がんざおうけつぼぐん","蟹沢横穴墓群","調布市 入間町三丁目","[古墳時代]","横穴墓群","3基","人骨"
1320806000,13208,"60","こまえにゅうどうやかたあと","狛江入道館跡","調布市 佐須町五丁目","[中世]","城館","",""
1320806200,13208,"62","ぎょうにんづか","行人塚","調布市 飛田給一丁目","[近世]","塚","※遺跡範囲のすべてが調布市指定史跡飛田給薬師堂境内行人塚となっています。","人骨"
1320806300,13208,"63","のみずいせき","野水遺跡","調布市 西町","[旧石器時代]","集落","[旧石器時代]礫群","石器"
1320806400,13208,"64","ふじみちょういせき","富士見町遺跡","調布市 富士見町三丁目 富士見町四丁目","[旧石器時代][縄文時代（早期・中期）]","集落","[旧石器時代] 炭化物集中 石器集中部17 礫群7 炭化物集中3 柱穴","ナイフ形石器 台形石器等 礫 縄文土器・石器"
1320806500,13208,"65","きたのいせき","北野遺跡","調布市 緑ヶ丘一丁目","[旧石器時代][縄文時代（早期・中期）]","集落","[縄文時代]住居 小穴","縄文土器（中期）石器・キセル"
