JASID,経度,緯度
1321000100,139.4939,35.69959
1321000200,139.4983,35.69911
1321000301,139.5012,35.69879
1321000302,139.5001,35.69833
1321000400,139.5062,35.69861
1321000500,139.5119,35.69695
1321000600,139.519,35.69282
1321000700,139.5235,35.68939
1321000800,139.4948,35.69673
1321000900,139.4985,35.69394
1321001000,139.502,35.69305
1321001100,139.5023,35.69508
1321001200,139.5071,35.69322
1321001300,139.5091,35.69528
1321001400,139.5121,35.69427
1321001500,139.5117,35.69218
1321001600,139.5142,35.69129
1321001700,139.5157,35.69202
1321001800,139.5162,35.69313
1321001900,139.5198,35.69087
1321002000,139.5227,35.68884
1321002100,139.5256,35.68753
1321002200,139.5015,35.70646
1321002300,139.5018,35.68753
