JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
1321200100,13212,1,ななつづかいせき,七ツ塚遺跡,日野市 新町四丁目 新町五丁目,[旧石器時代][縄文時代（草創期～後期）][古墳時代][奈良時代][中世],集落,[縄文時代]住居 集石 土坑 溝,縄文土器 石鏃 石錘 石棒 弥生土器 土師器 須恵器 陶器
1321200200,13212,2,ななつづかこふんぐん,七ツ塚古墳群,日野市 新町五丁目,[古墳時代]［奈良時代］,古墳,市指定史跡 指定名称：七ツ塚古墳群 指定年月日：昭和36年10月1日 所有者：日野市教育委員会他 円墳[古墳時代]横穴式石室,鉄鏃 刀子 埴輪 管玉 勾玉 直刀
1321200300,13212,3,しんまちいせき,新町遺跡,日野市 新町三丁目,[平安時代],集落,[平安時代]住居 土坑 溝,土師器 須恵器
1321200400,13212,4,さかえちょういせき,栄町遺跡,日野市 栄町二丁目,[縄文時代（前期～後期）][平安時代][中世][近世],集落,[平安時代]住居 掘立柱建物 土坑 集石 溝 [中世]集石状遺構 敷石状遺構,縄文土器 打斧 石匙 土師器 須恵器 陶器（灰釉・緑釉） 陶磁器 銭貨
1321200500,13212,5,しんめいうえきたいせき,神明上北遺跡,日野市 日野本町二丁目 神明日野,[縄文時代（中期～後期）][奈良時代][平安時代][中世],集落,[縄文時代]住居 集石 土坑 [平安時代]住居 土坑 [中世]溝,縄文土器 石斧 石鏃 石匙 石皿 石棒 土師器 須恵器 陶器（灰釉） 刀子 鉄鏃 紡錘車 帯金具
1321200600,13212,6,しんめいうえいせき,神明上遺跡,日野市 神明一丁目 神明二丁目 神明三丁目 神明四丁目 大坂上三丁目 大坂上四丁目 多摩平七丁目,[旧石器時代][縄文時代（早期～中期）][弥生時代][古墳時代][奈良時代][平安時代][近世],集落,住居 掘建柱建物跡 土坑 集石 溝,石器 縄文土器 土師器 須恵器ほか
1321200700,13212,7,,日野市№7遺跡,日野市 日野本町二丁目,[奈良時代][平安時代],横穴墓,,
1321200800,13212,8,さかにしおうけつぼぐん,坂西横穴墓群,日野市 大坂上一丁目,[奈良時代][平安時代],横穴墓,※遺跡範囲のすべてが東京都指定史跡坂西横穴墓群となっています。,土師器 須恵器 編物片 人骨
1321200900,13212,9,,日野市№9遺跡,日野市 神明一丁目,[古墳時代],古墳,[古墳時代]横穴式石室,
1321201000,13212,10,やのうえおうけつぼぐん,谷ノ上横穴墓群,日野市 神明一丁目,[古墳時代][奈良時代],横穴墓,,須恵器 刀子 鉄鏃 人骨 木炭
1321201100,13212,11,ぼんてんやまおうけつぼぐん,梵天山横穴墓群,日野市 神明一丁目 神明二丁目,[古墳時代][奈良時代],横穴墓,,土師器 須恵器 鉄鏃 刀子 直刀 鉄滓 人骨 銭貨
1321201200,13212,12,,日野市№12遺跡,日野市 神明二丁目,[中世],その他（塚）,,銭貨
1321201300,13212,13,,日野市№13遺跡,日野市 大坂上一丁目 大坂上二丁目,[縄文時代（前期～中期）][古墳時代][奈良時代][平安時代],包蔵地,,縄文土器 土師器
1321201400,13212,14,みなみひろまぢいせき,南広間地遺跡,日野市 万願寺,[縄文時代（後期～晩期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[奈良時代][平安時代]住居 土坑 [中世]溝,縄文土器 打斧 磨斧 石鏃 石皿 磨石 凹石 土師器 須恵器 木製鋤柄 銭貨
1321201500,13212,15,たむらしやかたあと,田村氏館跡,日野市 下田,[中世],城館,,
1321201600,13212,16,,日野市№16遺跡,日野市 川辺堀之内,[縄文時代][古墳時代][中世],集落,ピット 溝 中世水田 畑 竪穴住居 土坑,縄文土器 石器 土師器 須恵器 中世陶器 木製品
1321201700,13212,17,かわべほりのうちいせき,川辺堀之内遺跡,日野市 川辺堀之内 豊田,[縄文時代（前期～中期）][平安時代][中世],包蔵地,竪穴状遺構 ピット 集石 土坑 溝 柱穴 落し穴,縄文土器 土師器 須恵器 古瀬戸 瓶子
1321201800,13212,18,ふきあげいせき,吹上遺跡,日野市 東豊田三丁目,[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代],集落,,
1321201900,13212,19,,日野市№19遺跡,日野市 東豊田二丁目,[古墳時代],古墳,円墳 [古墳時代]周溝,土師器
1321202000,13212,20,,日野市№20遺跡,日野市 東豊田一丁目 東豊田二丁目,[奈良時代][平安時代][中世],集落,[奈良時代][平安時代]住居 溝,土師器 須恵器 銭貨
1321202200,13212,22,ひらやまいせき,平山遺跡,日野市 東平山二丁目 西平山 豊田,[縄文時代（早期・中期）][古墳時代][奈良時代][平安時代][中世],集落,住居址 溝 土坑 ピット 炉穴 掘立柱建物跡 [縄文時代]住居址 集石 土坑 [古墳時代]住居址 方形周溝墓 [中世]地下式土坑,縄文土器 打斧 磨斧 石鏃 掻器 石匙 石皿 土師器 須恵器 鉄製刀子 人骨 銭貨 石器 鉄製品
1321202300,13212,23,ひらやまこふんぐん,平山古墳群,日野市 東平山一丁目,[古墳時代],古墳,円墳 [古墳時代]横穴式石室 周溝,土師器 須恵器 鉄鏃 刀子 直刀 耳環
1321202400,13212,24,ひらやまだいおうけつぼ,平山台横穴墓,日野市 旭が丘一丁目,[古墳時代?],横穴墓,1基,須恵器 火打ち鎌 鉄鏃
1321202500,13212,25,,日野市№25遺跡,日野市 旭が丘六丁目,[旧石器時代],包蔵地,,石器
1321202600,13212,26,ひらやましやかた,平山氏館,日野市 平山五丁目,[平安時代][中世],城館,※遺跡範囲のすべてが日野市指定史跡平山季重居館跡となっています。,鏡 刀
