JASID,経度,緯度
1321200100,139.3793835,35.68263916
1321200200,139.3779072,35.68152369
1321200300,139.386559,35.6821372
1321200400,139.3917138,35.68405216
1321200500,139.4005028,35.6742356
1321200600,139.3932299,35.67174888
1321200700,139.3956963,35.67685718
1321200800,139.3915421,35.67459816
1321200900,139.3981051,35.66889005
1321201000,139.3974185,35.66886216
1321201100,139.3936762,35.6680533
1321201200,139.3942942,35.66961523
1321201300,139.3902031,35.67769384
1321201400,139.4106364,35.67173494
1321201500,139.4150309,35.67084244
1321201600,139.4029803,35.66908529
1321201700,139.3978648,35.66526407
1321201800,139.3894416,35.665114
1321201900,139.38618,35.66165521
1321202000,139.3884116,35.66212941
1321202200,139.3768797,35.6517522
1321202300,139.3800383,35.65091527
1321202400,139.3741675,35.6560483
1321202500,139.3665114,35.65984208
1321202600,139.3805876,35.64720477
1321202700,139.3827162,35.64463801
1321202800,139.3998752,35.65271619
1321202900,139.4032484,35.64868663
1321203000,139.3967939,35.64182327
1321203100,139.4016348,35.64413902
1321203200,139.4046184,35.6450841
1321203300,139.4101513,35.66011184
1321203400,139.4098767,35.65255204
1321203500,139.4125203,35.65528592
1321203600,139.4149578,35.65584385
1321203700,139.4318174,35.65885028
1321203800,139.4368986,35.65469381
1321203900,139.4314397,35.65296421
1321204000,139.4361089,35.65129036
1321204100,139.433946,35.65109508
1321204200,139.4267706,35.64665921
1321204300,139.4295171,35.64607333
1321204400,139.3926407,35.68204432
1321204500,139.377944,35.65060839
1321204600,139.3943917,35.68237897
1321204700,139.3907818,35.68010143
1321204800,139.368125,35.64826493
1321204900,139.4075421,35.66292914
1321205000,139.3828498,35.66444457
1321205100,139.382675,35.670509
1321205200,139.379364,35.674992
1321205300,139.3759871,35.65696887
