JASID,画面経度,画面緯度
1321400100,139.4669101,35.70531943
1321400200,139.4705243,35.70254176
1321400300,139.4736221,35.69993871
1321400500,139.4739233,35.70318815
1321400600,139.4843142,35.70241947
1321400700,139.4577268,35.69368698
1321400800,139.4680368,35.69935258
1321400900,139.4717981,35.69264697
1321401000,139.4668193,35.69189309
1321401100,139.4674663,35.69221292
1321401200,139.4673256,35.69180171
1321401300,139.4789428,35.69559391
1321401400,139.4875978,35.69943317
1321401800,139.4848388,35.69845044
1321401900,139.4662512,35.6985094
1321402000,139.4827089,35.69219995
1321402100,139.4854196,35.69257342
1321402200,139.4853228,35.69644562
1321402300,139.4837496,35.6961901
1321402400,139.4823459,35.69642596
1321402500,139.4765747,35.70015531
1321402600,139.4720246,35.69197866
1321402700,139.4682732,35.69298113
