JASID,経度,緯度
1321500100,139.430145,35.688156
1321500200,139.4363187,35.68552263
1321500300,139.4362997,35.68335206
1321500400,139.4412435,35.68745127
1321500500,139.4417242,35.6828501
1321500600,139.4435438,35.68276644
1321500700,139.4503416,35.68137209
1321500800,139.423645,35.686913
1321500900,139.4220708,35.6823436
1321501000,139.4237767,35.68191135
1321500101,139.4238271,35.68127692
1321500102,139.4249376,35.68107473
1321500103,139.4261274,35.68151396
1321500104,139.4264654,35.68153487
1321500105,139.4262733,35.68127692
1321500106,139.4259332,35.68114445
1321500107,139.4263592,35.68101199
1321500108,139.4266027,35.68106079
1321500109,139.4268055,35.68131875
1321500110,139.4268055,35.68090741
1321500111,139.4260759,35.68096318
1321500112,139.4260502,35.68075403
1321500113,139.4258356,35.68146516
1321501100,139.424929,35.68186255
1321501200,139.4274159,35.6809353
1321501300,139.4324542,35.68022068
1321501400,139.4323515,35.67950363
1321501500,139.436334,35.67944785
1321501600,139.4372953,35.67972673
1321501700,139.4378103,35.6791132
1321501800,139.4403166,35.67975462
1321501900,139.4414839,35.68098167
1321502000,139.4455799,35.67939799
1321502100,139.4453291,35.67894587
1321502200,139.4485839,35.6773761
1321502300,139.4470905,35.67877051
1321500201,139.4483093,35.6775016
1321500202,139.4487728,35.67706932
1321500203,139.4492191,35.67669283
1321500204,139.4483779,35.67831036
1321500205,139.4453395,35.680639
1321500206,139.4487041,35.67764104
1321500207,139.4457172,35.67959321
1321500208,139.4498199,35.6766231
1321500209,139.4492362,35.67634421
1321500210,139.4480003,35.67758526
1321500211,139.4477771,35.67779443
1321500212,139.4449447,35.67952349
1321502400,139.4500774,35.67593982
1321502500,139.4490474,35.67598166
1321502600,139.4391254,35.67688805
1321502700,139.449552,35.68770223
1321502800,139.4420115,35.68231222
1321502900,139.4451335,35.67934222
