JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
1321800100,13218,1,,福生市№1遺跡,福生市 加美平三丁目,[縄文時代（前期～後期）],包蔵地,,縄文土器 打斧 礫器 土師器
1321800200,13218,2,,福生市№2遺跡,福生市 福生,[縄文時代（中期）],その他,単独出土地,石棒
1321800300,13218,3,,福生市№3遺跡,福生市 福生,[縄文時代（後期）][平安時代?],集落,[縄文時代]敷石住居?,縄文土器 石鏃 土師器
1321800400,13218,4,ながさわいせき,長沢遺跡,福生市 福生,[縄文時代（前期～後期）]［近世？］,集落,[縄文時代]住居 土坑 配石 [時代不明]敷石遺構,縄文土器 打斧 石槍 石鏃 石匙 石皿 凹石 土製円板 土偶
1321800500,13218,5,ふっさふどうそんいせき,福生不動尊遺跡,福生市 福生,[縄文時代（早期・中期～後期）],集落,[縄文時代]集石土坑,縄文土器 打斧 礫器 石鏃 石皿 磨石 スタンプ形石器
1321800600,13218,6,しもいせき,志茂遺跡,福生市 志茂,[縄文時代（後期）][平安時代？],包蔵地,,縄文土器 石錘 土師器
1321800700,13218,7,,福生市№7遺跡,福生市 武蔵野台二丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器 剥片 土師器
1321800800,13218,8,,福生市№8遺跡,福生市 武蔵野台一丁目,[縄文時代],包蔵地,,石鏃
1321800900,13218,9,,福生市№9遺跡,福生市 福生,[縄文時代],包蔵地,,石鏃
1321801000,13218,10,,福生市№10遺跡,福生市 福生,[縄文時代],包蔵地,,石鏃
1321801100,13218,11,,福生市№11遺跡,福生市 福生,[縄文時代（早期・中期）],包蔵地,[縄文時代]集石土坑?,縄文土器 石鏃 土師器
1321801200,13218,12,,福生市№12遺跡,福生市 牛浜,[縄文時代],包蔵地,,打斧
1321801300,13218,13,,福生市№13遺跡,福生市 熊川,[縄文時代（前期～中期）][平安時代],包蔵地,,縄文土器 打斧 剥片 土師器
1321801400,13218,14,,福生市№14遺跡,福生市 熊川,[縄文時代][古墳時代],包蔵地,,剥片 土師器
1321801500,13218,15,,福生市№15遺跡,福生市 熊川,[時代不明],包蔵地,,土師器
1321801600,13218,16,,福生市№16遺跡,福生市 熊川,[縄文時代（中期）],包蔵地,,縄文土器 土師器
1321801700,13218,17,,福生市№17遺跡,福生市 武蔵野台一丁目,[縄文時代],包蔵地,,石鏃
1321801800,13218,18,,福生市№18遺跡,福生市 熊川,[中世],包蔵地,[中世]溝状遺構,板碑
1321801900,13218,19,,福生市№19遺跡,福生市 熊川,[中世],その他,,"銭貨4,909枚"
