JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
13221000100,13221,1,のしおそとやまいせき,野塩外山遺跡,清瀬市 野塩三丁目,[縄文時代（前期～中期）][平安時代],包蔵地,,縄文土器　打斧　石鏃　石皿　凹石　石棒　土師器　須恵器
13221000200,13221,2,のしおまえはらいせき,野塩前原遺跡,清瀬市 野塩四丁目,[縄文時代（前期～中期）][平安時代],集落,[縄文時代]住居,縄文土器　打斧　磨斧　石鏃　土錘　耳栓　土師器　須恵器
13221000300,13221,3,,清瀬市№3遺跡,清瀬市 野塩四丁目,[縄文時代（中期）],包蔵地,,縄文土器
13221000400,13221,4,,清瀬市№4遺跡,清瀬市 野塩四丁目,[縄文時代（中期）],包蔵地,,縄文土器
13221000500,13221,5,,清瀬市№5遺跡,清瀬市 野塩四丁目,[縄文時代（中期）][奈良時代][平安時代],包蔵地,,縄文土器　土師器
13221000600,13221,6,,清瀬市№6遺跡,清瀬市 野塩一丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　須恵器
13221000700,13221,7,,清瀬市№7遺跡,清瀬市 野塩五丁目,[平安時代],包蔵地,,土師器　須恵器
13221000800,13221,8,,清瀬市№8遺跡,清瀬市 野塩五丁目,[平安時代],包蔵地,,土師器　須恵器
13221000900,13221,9,,清瀬市№9遺跡,清瀬市 野塩四丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器
13221001000,13221,10,,清瀬市№10遺跡,清瀬市 野塩五丁目,[平安時代],包蔵地,,土師器
13221001100,13221,11,,清瀬市№11遺跡,清瀬市 野塩一丁目,[平安時代],包蔵地,,土師器　須恵器
13221001200,13221,12,,清瀬市№12遺跡,清瀬市 野塩一丁目,[旧石器時代][縄文時代（中期）][平安時代],包蔵地,,掻器　縄文土器　打斧　土師器　須恵器
13221001300,13221,13,のしおにしはらいせき,野塩西原遺跡,清瀬市 野塩一丁目,[旧石器時代][縄文時代（中期）][平安時代],集落,[平安時代]住居,ナイフ形石器　縄文土器　打斧　焼礫　土師器　須恵器　鉄鏃
13221001400,13221,14,のしおにしはらいせき,野塩西原遺跡,清瀬市 野塩一丁目,[縄文時代（中期）][平安時代],集落,[平安時代]住居　掘立柱建物　円形小竪穴遺構,縄文土器　石鏃　土師器　須恵器　陶器（緑釉）　刀子　釘　鉄鏃　紡錘車　土錘　鞴羽口　土製品
13221001500,13221,15,,清瀬市№15遺跡,清瀬市 野塩五丁目,[平安時代],包蔵地,,土師器　須恵器
13221001600,13221,16,のしおにしはらいせき,野塩西原遺跡,清瀬市 野塩一丁目,[縄文時代（前期～後期）][弥生時代][古墳時代][平安時代],集落,[平安時代]住居,縄文土器　打斧　弥生土器　土師器　須恵器　陶器（灰釉・緑釉）　刀子　鉄鏃　土錘
13221001700,13221,17,,清瀬市№17遺跡,清瀬市 野塩一丁目,[縄文時代（前期）][平安時代],包蔵地,,縄文土器　土師器
13221001800,13221,18,,清瀬市№18遺跡,清瀬市 野塩一丁目,[縄文時代（中期）],包蔵地,,縄文土器
13221001900,13221,19,,清瀬市№19遺跡,清瀬市 梅園一丁目,[縄文時代（中期）],包蔵地,,縄文土器　打斧
13221002000,13221,20,のびどめのしおいせき,野火止野塩遺跡,清瀬市 梅園二丁目,[旧石器時代][縄文時代（早期・中期）][平安時代],集落,[縄文時代]集石　炉　炉穴群　土坑　配石,剥片　縄文土器　打斧　礫器　石鏃　掻器　石皿　磨石　凹石　土師器　須恵器　陶器(灰釉）　釘
13221002100,13221,21,,清瀬市№21遺跡,清瀬市 野塩三丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器
13221002200,13221,22,,清瀬市№22遺跡,清瀬市 中里六丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　打斧　焼礫　土師器　須恵器
13221002300,13221,23,,清瀬市№23遺跡,清瀬市 中里六丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器
13221002400,13221,24,,清瀬市№24遺跡,清瀬市 中里六丁目,[平安時代],包蔵地,,土師器
13221002500,13221,25,,清瀬市№25遺跡,清瀬市 中里五丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器　須恵器
13221002600,13221,26,,清瀬市№26遺跡,清瀬市 中里五丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器
13221002700,13221,27,,清瀬市№27遺跡,清瀬市 中里五丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　打斧　土師器　須恵器
13221002800,13221,28,,清瀬市№28遺跡,清瀬市 中里五丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器　須恵器
13221002900,13221,29,かなやまどういせき,金山道遺跡,清瀬市 中里四丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　打斧　焼礫　土師器　須恵器
13221003000,13221,30,,清瀬市№30遺跡,清瀬市 中里三丁目,[縄文時代（前期～中期）][平安時代],包蔵地,,縄文土器　土師器　須恵器
13221003100,13221,31,,清瀬市№31遺跡,清瀬市 中里三丁目,[縄文時代（中期）],包蔵地,,縄文土器
13221003200,13221,32,,清瀬市№32遺跡,清瀬市 中里三丁目,[平安時代],包蔵地,,土師器
13221003300,13221,33,,清瀬市№33遺跡,清瀬市 中里三丁目,[平安時代],包蔵地,,土師器　須恵器
13221003400,13221,34,,清瀬市№34遺跡,清瀬市 中里三丁目,[縄文時代（中期）][平安時代],包蔵地,,縄文土器　土師器
13221003500,13221,35,,清瀬市№35遺跡,清瀬市 中里三丁目,[平安時代],包蔵地,,土師器　須恵器
13221003600,13221,36,,清瀬市№36遺跡,清瀬市 中里三丁目,[縄文時代（中期）],包蔵地,,縄文土器
13221003700,13221,37,,清瀬市№37遺跡,清瀬市 中里三丁目,[平安時代],包蔵地,,土師器
13221003800,13221,38,,清瀬市№38遺跡,清瀬市 中里三丁目,[縄文時代（中期）],包蔵地,,縄文土器
13221003900,13221,39,,清瀬市№39遺跡,清瀬市 中里三丁目,[平安時代],包蔵地,,土師器　須恵器
13221004000,13221,40,,清瀬市№40遺跡,清瀬市 中里三丁目,[平安時代],包蔵地,,土師器　須恵器
13221004100,13221,41,,清瀬市№41遺跡,清瀬市 中里四丁目,[平安時代],包蔵地,,須恵器
