JASID,経度,緯度
1322300100,139.3701925,35.76669671
1322300200,139.3767285,35.76543267
1322300300,139.3792691,35.76504266
1322300400,139.3816068,35.76470685
1322300500,139.386894,35.76348108
1322300600,139.3810201,35.76264685
1322300700,139.3829801,35.76041659
1322300800,139.3851431,35.76217173
1322300900,139.3851431,35.76428897
1322301000,139.3805051,35.76086387
1322301100,139.3829115,35.75857784
1322301200,139.386173,35.76105736
1322301300,139.387821,35.75868928
1322301400,139.3912895,35.75877286
1322301500,139.3916328,35.75737985
1322301600,139.3910149,35.75935793
1322301700,139.3896416,35.75946936
1322301800,139.3980655,35.75746344
1322301900,139.3976536,35.75679478
1322302000,139.3998165,35.75891217
1322302100,139.4029751,35.75969225
1322302200,139.4062023,35.75899575
1322302300,139.4020481,35.75476091
1322302400,139.4041767,35.75565248
1322302500,139.3703084,35.7599445
1322302600,139.3671539,35.75503952
1322302700,139.3747757,35.7530892
1322302800,139.3764236,35.74996859
1322302900,139.3837364,35.75373003
1322303000,139.3823414,35.74670853
1322303100,139.3929157,35.75102738
1322303200,139.394083,35.74757232
1322303300,139.3993015,35.75286631
1322303400,139.4019451,35.7513896
1322303500,139.4034557,35.74952278
1322303600,139.4080562,35.74676426
1322303700,139.3896198,35.749885
1322303800,139.3727331,35.76496954
1322303900,139.3786512,35.76796769
1322304000,139.3756642,35.76412335
