JASID,経度,緯度
13224000100,139.4243852,35.64166408
13224000201,139.428739,35.64541337
13224000202,139.4315499,35.64706494
13224000400,139.4340158,35.6384356
13224000500,139.4345651,35.63854721
13224000600,139.4342278,35.64156861
13224000700,139.4361202,35.63531813
13224000800,139.4349529,35.63529023
13224000900,139.4333591,35.63535242
13224001000,139.4334725,35.64036886
13224001200,139.4358697,35.63772409
13224001300,139.4377409,35.63811473
13224001600,139.4397251,35.63632264
13224001700,139.4512538,35.64705639
13224001800,139.4504298,35.64613571
13224001900,139.4501208,35.63846298
13224002000,139.4651332,35.62869501
13224002100,139.463262,35.62500931
13224002200,139.4597773,35.62640672
13224002300,139.4587644,35.62115808
13224002400,139.4567045,35.62428374
13224002500,139.4528502,35.62393682
13224002600,139.4527815,35.62301587
13224002700,139.4595044,35.64554104
13224002900,139.4617703,35.64827516
13224003000,139.460603,35.6384263
13224003100,139.455202,35.63916053
13224003200,139.454584,35.63977437
13224003300,139.4534167,35.64055561
13224003400,139.4506702,35.63667722
13224003500,139.4505672,35.63547739
13224003600,139.4634182,35.63404554
13224003700,139.4645512,35.63401763
13224003800,139.4655468,35.63410134
13224003900,139.4672978,35.63337584
13224004000,139.4666111,35.63365488
13224004100,139.4661648,35.63276195
13224004200,139.4666111,35.63223177
13224004300,139.4663708,35.63192482
13224004400,139.4675038,35.63164578
13224004500,139.4665081,35.63103188
13224004600,139.4655125,35.63167368
13224004700,139.4645495,35.63151342
13224004800,139.4540861,35.63278293
13224004900,139.4564551,35.62714609
13224005000,139.4571417,35.62692284
13224005100,139.4582404,35.62642053
13224005200,139.4575971,35.62509304
13224005300,139.4606527,35.62442327
13224005400,139.4589704,35.62445118
13224005500,139.4607214,35.62369768
13224005600,139.4573568,35.62344652
13224005700,139.4599661,35.62199532
13224005800,139.4542235,35.62410426
13224005900,139.4018206,35.61450004
13224006000,139.4031938,35.6151978
13224006100,139.4018549,35.6154769
13224006200,139.4038805,35.61597929
13224006300,139.4060778,35.61564437
13224006400,139.4079317,35.61609093
13224006500,139.4091284,35.61639563
13224006600,139.4127332,35.61798648
13224006700,139.4048504,35.6132615
13224006800,139.4053482,35.61306613
13224006900,139.4111426,35.61459322
13224007000,139.4114859,35.61376986
13224007100,139.4187426,35.62607249
13224007200,139.4198413,35.62780267
13224007300,139.4225192,35.62769105
13224007400,139.4221759,35.62568179
13224007500,139.4250416,35.62771762
13224007600,139.4264974,35.6286193
13224007700,139.4267549,35.62864721
13224007800,139.4273386,35.63079591
13224007900,139.4280123,35.62840765
13224008000,139.4289393,35.62914489
13224008100,139.4301753,35.62992624
13224008200,139.4163725,35.62007966
13224008300,139.4183294,35.61890749
13224008400,139.4201846,35.62467715
13224008500,139.4204249,35.62325388
13224008600,139.4190516,35.62389575
13224008700,139.418777,35.62317016
13224008800,139.4182963,35.62263991
13224008900,139.4190859,35.62227711
13224009000,139.4201846,35.62160732
13224009100,139.4251628,35.6231729
13224009200,139.4265361,35.6238589
13224009300,139.4256434,35.62639842
13224009400,139.4266734,35.62614726
13224009500,139.4284243,35.62654964
13224009600,139.429214,35.62610314
13224009700,139.4290423,35.62297755
13224009800,139.4258837,35.62020296
13224010200,139.4277033,35.6152909
13224010400,139.4250598,35.61495598
13224010500,139.4256777,35.61456524
13224010600,139.4255404,35.61353254
13224010700,139.4338199,35.63222081
13224010800,139.4340602,35.63322536
13224010900,139.4376995,35.63330907
13224011200,139.4382144,35.63333698
13224011300,139.4383518,35.63286261
13224011400,139.4410984,35.63205338
13224011500,139.4419223,35.63515071
13224011600,139.4409267,35.63573668
13224011700,139.443124,35.63478797
13224011800,139.4451254,35.63297826
13224011900,139.4452628,35.63200161
13224012000,139.4487646,35.63356424
13224012100,139.4374999,35.62987332
13224012200,139.4352039,35.62771761
13224012300,139.4344272,35.62773854
13224012400,139.4337748,35.62712461
13224012500,139.4361996,35.62375487
13224012600,139.4353069,35.62199669
13224012700,139.4405598,35.61965239
13224012800,139.4426192,35.61860635
13224012900,139.4453314,35.63102494
13224013000,139.4434775,35.63116447
13224013100,139.4426535,35.62307169
13224013200,139.4447821,35.62002971
13224013300,139.4493483,35.62887625
13224013400,139.4467734,35.62728562
13224013500,139.4495886,35.62658796
13224013600,139.4505499,35.6227368
13224013700,139.4520605,35.6227368
13224013800,139.4523352,35.62047624
13224013900,139.4302601,35.61697311
13224014000,139.4336933,35.6169452
13224014100,139.4368519,35.61915003
13224014200,139.4362339,35.6267409
13224014300,139.4441539,35.63579249
13224014400,139.4452113,35.63528207
13224014500,139.4434088,35.63007618
13224014600,139.4439581,35.62859719
13224014700,139.4435461,35.62817861
13224014800,139.4433401,35.62742515
13224014900,139.4430998,35.62703446
13224015000,139.4432715,35.62608565
13224015100,139.3945507,35.60824086
13224015200,139.394894,35.60840833
13224015300,139.396027,35.60895263
13224015400,139.3953661,35.610425
13224015500,139.3960527,35.61115071
13224015600,139.396602,35.61156938
13224015700,139.3981384,35.61219041
13224015800,139.4002069,35.61218343
13224015900,139.4018206,35.61274166
13224016000,139.4015888,35.61057154
13224016100,139.4028763,35.61057154
13224016200,139.4024643,35.61004121
13224016300,139.4028162,35.60969929
13224016400,139.4042238,35.61048082
13224016500,139.4053654,35.61197759
13224016800,139.4303974,35.61058154
13224016900,139.4320448,35.60685576
13224017000,139.4332808,35.60836306
13224017100,139.4331097,35.61594044
13224017200,139.4343794,35.61042857
13224017500,139.4288827,35.63754857
13224017600,139.4412807,35.62568045
13224017700,139.4440611,35.62930878
13224017800,139.4511851,35.6365098
13224017900,139.4261297,35.64369752
13224018000,139.4222802,35.64360537
13224018200,139.4466533,35.64493602
13224018300,139.4444903,35.64814445
13224018400,139.4410571,35.64203438
13224018600,139.4092363,35.61402556
13224018700,139.4003443,35.610425
13224018800,139.4112913,35.61622818
13224018900,139.4159948,35.61946566
13224019100,139.4150335,35.62074946
13224019200,139.41785,35.62484459
13224019300,139.4436663,35.6294204
13224019400,139.445633,35.631485
13224019500,139.4480093,35.63311778
13224019600,139.4502409,35.63487571
13224019700,139.4507731,35.63517046
13224019900,139.4656498,35.63362698
13224020000,139.4644293,35.62729765
13224020400,139.4222802,35.64564207
13224020500,139.426576,35.63889006
13224020600,139.4304041,35.63791349
13224020700,139.4365049,35.63864487
13224020800,139.4325155,35.64413547
13224020801,139.4330133,35.64360537
13224020802,139.4324812,35.64368907
13224020803,139.4322194,35.64376928
13224020804,139.4319319,35.64342401
13224020805,139.4324646,35.64348409
13224020806,139.4332027,35.64419555
13224020807,139.4319152,35.64370729
13224020808,139.4321212,35.64333064
13224020809,139.4316744,35.6434409
13224020900,139.4271253,35.64328451
13224021000,139.4359073,35.64326201
13224021100,139.4377065,35.64002601
13224021200,139.4384479,35.6402487
13224021300,139.4394092,35.64119735
13224021400,139.4393748,35.64256449
13224021500,139.4387569,35.64317831
13224021600,139.4400271,35.64351311
13224021800,139.4369716,35.64582881
13224021900,139.4360008,35.6465564
13224022000,139.4371509,35.64805963
13224022100,139.4412288,35.65205018
13224022200,139.4514598,35.64524292
13224022300,139.4508075,35.64474072
13224022400,139.4499148,35.64225759
13224022500,139.4487132,35.64089043
13224022600,139.4493655,35.63988598
13224022700,139.4471339,35.63896522
13224022800,139.4480266,35.63784913
13224022900,139.4475802,35.63684464
13224023000,139.4532902,35.64467614
13224023100,139.4543094,35.64317831
13224023200,139.4583714,35.64361593
13224023300,139.4589894,35.64057473
13224023400,139.4612896,35.639933
13224023500,139.4640705,35.64026782
13224023600,139.4649289,35.63970979
13224023700,139.4633152,35.63864951
13224023800,139.4644482,35.63781245
13224023900,139.4637272,35.6372823
13224024000,139.4629719,35.63518958
13224024100,139.438582,35.642007
13224024200,139.4569638,35.64180239
13224024300,139.4284839,35.64338815
13224024400,139.4297885,35.64366716
13224024500,139.4361896,35.64819912
13224024800,139.434576,35.64911978
13224024900,139.4523181,35.63985808
13224025000,139.4679844,35.63295728
13224025100,139.4003786,35.61408138
13224025200,139.397117,35.61017379
13224025300,139.4007906,35.61427676
13224025400,139.4003443,35.61357899
13224025500,139.4004473,35.611374
13224025600,139.4013742,35.6118485
13224025700,139.4028419,35.61232997
13224025800,139.4044298,35.61327197
13224025900,139.4060778,35.61338361
13224026000,139.4068931,35.61403254
13224026100,139.4083351,35.61171243
13224026200,139.4132826,35.61882376
13224026300,139.4123899,35.61968893
13224026400,139.4123213,35.62063783
13224026500,139.4120466,35.62114017
13224026600,139.4170248,35.6215867
13224026700,139.4172994,35.62083318
13224026800,139.4174024,35.61999593
13224026900,139.4170591,35.61943775
13224027000,139.4185354,35.61734457
13224027100,139.4170934,35.6177353
13224027200,139.4164068,35.61762366
13224027300,139.4158231,35.6177353
13224027400,139.4156565,35.61717941
13224027500,139.4171621,35.61647937
13224027600,139.4136995,35.61592347
13224027700,139.4148668,35.61494661
13224027800,139.4139742,35.61419303
13224027900,139.4250254,35.60775478
13224028000,139.4257121,35.60828512
13224028100,139.4259181,35.60909459
13224028200,139.4271197,35.61090887
13224028300,139.4267764,35.61286268
13224028400,139.4254718,35.61663059
13224028500,139.427669,35.61615612
13224028600,139.4273944,35.62070531
13224028700,139.4311871,35.62646184
13224028800,139.4327556,35.62594208
13224028900,139.434677,35.623928
13224029000,139.4316334,35.62841526
13224029100,139.4324917,35.62847107
13224029200,139.434483,35.6281362
13224029300,139.4339336,35.62738274
13224029400,139.4361094,35.62789203
13224029500,139.4375965,35.62909546
13224029600,139.4371501,35.62792342
13224029700,139.4369205,35.62090828
13224029800,139.4416927,35.62115945
13224029900,139.4402851,35.6291129
13224030000,139.4413837,35.62755018
13224030100,139.4401134,35.62727112
13224030200,139.4409374,35.62515023
13224030300,139.439987,35.620628
13224030400,139.439987,35.620628
13224030500,139.4425848,35.60970285
13224030600,139.4437178,35.6095912
13224030700,139.4554342,35.61886957
13224030800,139.4593138,35.62160461
13224030900,139.4593118,35.62871534
13224031000,139.4582818,35.62857581
13224031100,139.4573892,35.63013851
13224031200,139.4009279,35.61343943
13224031300,139.4050821,35.61472333
13224031400,139.4127382,35.61408138
13224031500,139.4139005,35.61837721
13224031600,139.4156858,35.62049828
13224031700,139.4268408,35.6278798
13224031800,139.4278407,35.62129139
13224031900,139.4290423,35.62176582
13224032000,139.4300379,35.62293795
13224032100,139.440343,35.63252775
13224032200,139.4530218,35.63378747
13224032300,139.4555624,35.6286251
13224032400,139.4395641,35.62852688
13224032500,139.4555453,35.6401929
13224032600,139.3993744,35.61027846
