JASID,経度,緯度
13225000100,139.4766499,35.61807499
13225000200,139.4788815,35.61935881
13225000300,139.4832074,35.62139613
13225000500,139.4855763,35.62424271
13225000700,139.4807711,35.61954104
13225000900,139.4748488,35.62269467
13225001000,139.4741777,35.62371711
13225001100,139.4748472,35.6235078
13225001300,139.4713238,35.62401753
13225001400,139.4732807,35.62301286
13225001700,139.4662499,35.62499428
13225001800,139.4672112,35.62750586
13225001900,139.4663186,35.62750586
13225002000,139.4700133,35.6236675
13225002100,139.4707238,35.62430247
13225002200,139.4715134,35.62623324
13225002300,139.4666202,35.62904067
13225002400,139.4669366,35.62837094
13225002500,139.4684129,35.6268082
13225002600,139.4690652,35.6268082
13225002700,139.4691682,35.6282035
13225002900,139.4709534,35.62719889
13225003000,139.4725643,35.6266985
13225003100,139.473354,35.62647525
13225003200,139.4745556,35.62427061
13225003300,139.474281,35.62496829
13225003400,139.4763706,35.62605473
13225003500,139.4760273,35.62446404
13225003600,139.4729374,35.62421288
13225003700,139.4761646,35.62276169
13225003800,139.4807995,35.62527334
13225003900,139.4794995,35.62577758
13225004000,139.4791218,35.62535898
13225004100,139.4828297,35.6281217
13225004200,139.4808336,35.63176739
13225004300,139.4844385,35.63263242
13225004400,139.4811769,35.63263242
13225004500,139.4930742,35.62895347
13225004600,139.4951847,35.62518962
13225004700,139.4897256,35.64651755
13225004800,139.4879404,35.6424541
13225004900,139.4886957,35.64270521
13225005000,139.4904123,35.64136597
13225005100,139.4966608,35.64164498
13225005200,139.49852,35.633564
13225005300,139.49852,35.633564
13225005400,139.49852,35.633564
13225005500,139.4973817,35.64125436
13225005600,139.49852,35.633564
13225005700,139.49852,35.633564
13225005800,139.49852,35.633564
13225005900,139.49852,35.633564
13225006000,139.49852,35.633564
13225006100,139.49852,35.633564
13225006200,139.5049005,35.62827925
13225006300,139.512808,35.62727464
13225006500,139.4910008,35.61039956
13225006600,139.4894558,35.60972967
13225006700,139.4869839,35.61081824
13225006800,139.4830357,35.6095622
13225006900,139.4893142,35.60824682
13225007000,139.4891155,35.60878838
13225007100,139.4921024,35.6093885
13225007200,139.4917076,35.60701592
13225007300,139.491021,35.60828596
13225007400,139.4904201,35.60673679
13225007500,139.4898592,35.60512054
13225007600,139.4900768,35.60454557
13225007700,139.4893387,35.60506197
13225007800,139.489888,35.60843948
13225007900,139.4928577,35.61159354
13225008000,139.4924972,35.61063059
13225008100,139.4899665,35.60496701
13225008200,139.4704309,35.64503887
13225008400,139.4822117,35.62996346
13225008500,139.489863,35.6471692
13225008600,139.4653098,35.62701631
13225008800,139.5227301,35.63218596
13225008900,139.4948144,35.61751488
13225009000,139.5142157,35.63254871
13225009100,139.5000021,35.63709697
13225009300,139.4957687,35.61041003
13225009400,139.4763886,35.62530711
13225009500,139.4812981,35.62539083
13225009600,139.4799029,35.61412224
13225010100,139.474157,35.63744564
13225010200,139.4924561,35.62737219
13225010300,139.4951341,35.62678616
13225010400,139.4960267,35.62808839
13225010500,139.4967821,35.62633031
13225010600,139.4975202,35.62747446
13225010700,139.4664495,35.63075335
13225010800,139.4899316,35.64605322
13225010900,139.4671426,35.62544078
13225011000,139.4690995,35.62513381
13225011100,139.4697834,35.62427061
13225011200,139.4688908,35.62376828
13225011300,139.4681355,35.62318223
13225011400,139.4697445,35.62292914
13225011500,139.472118,35.62273571
13225011600,139.472736,35.62055888
13225011700,139.472736,35.62457759
13225011800,139.4771992,35.62558224
13225011900,139.4796368,35.62507992
13225012000,139.4811817,35.63013089
13225012100,139.4831387,35.62876353
13225012200,139.4829965,35.63893853
13225012300,139.4858118,35.64161708
13225012400,139.488112,35.63955237
13225012500,139.4868074,35.63888272
13225012600,139.4877344,35.63787824
13225012700,139.4856744,35.63648311
13225012800,139.4862238,35.63586925
13225012900,139.49852,35.633564
13225013000,139.4794308,35.62161939
13225013100,139.4898678,35.62661478
13225013200,139.4931294,35.62429852
13225013300,139.4878079,35.62189847
13225013400,139.4885289,35.61891226
13225013500,139.4869839,35.61821454
13225013600,139.4846493,35.61667951
13225013700,139.4831044,35.61832617
13225013800,139.4839627,35.61799126
13225013900,139.4881598,35.61502933
13225014000,139.482289,35.61491769
13225014100,139.483208,35.61307989
13225014200,139.4829161,35.61201372
13225014300,139.477432,35.61426187
13225014400,139.4772432,35.61324312
13225014500,139.484826,35.61176926
13225014600,139.4860963,35.61241122
13225014700,139.4833447,35.61659578
13225014800,139.4840133,35.61939782
13225014900,139.4858103,35.61840915
13225015000,139.4866762,35.61911892
13225015100,139.4876547,35.61678849
13225015200,139.4905558,35.61870029
13225015300,139.489234,35.61739204
13225015400,139.4865376,35.62304269
13225015500,139.4895272,35.62362683
13225015600,139.4890032,35.62421405
13225015700,139.490737,35.62361404
13225015800,139.4919901,35.62319543
13225015900,139.5081045,35.62961871
13225016000,139.5062849,35.62995357
13225016100,139.503298,35.62827925
