JASID,経度,緯度
1322800100,139.1797183,35.72689206
1322800200,139.1821902,35.73051524
1322800300,139.1847995,35.73475137
1322800400,139.1892283,35.73154642
1322800500,139.1912539,35.73034802
1322800600,139.1972621,35.72591656
1322800700,139.2028926,35.72747735
1322800800,139.2051928,35.72669696
1322800900,139.211982,35.72767942
1322801000,139.2138703,35.727122
1322801100,139.2176469,35.73197144
1322801200,139.2181275,35.72910083
1322801300,139.2185395,35.7227461
1322801400,139.2210801,35.73066156
1322801500,139.2220414,35.73283539
1322801600,139.2241357,35.72492015
1322801700,139.2260583,35.73927291
1322801800,139.2262643,35.73353211
1322801900,139.2286675,35.7281811
1322802000,139.2318261,35.72319207
1322802100,139.2341607,35.72781878
1322802200,139.2327187,35.72820897
1322802300,139.2363923,35.72296909
1322802400,139.2373536,35.72511525
1322802500,139.2415078,35.73250096
1322802600,139.2434991,35.73311408
1322802700,139.2411645,35.72890574
1322802800,139.2427781,35.72046051
1322802900,139.2477219,35.73202718
1322803000,139.246692,35.720572
1322803100,139.2521165,35.73534358
1322803200,139.2520135,35.72333143
1322803300,139.2512925,35.72065562
1322803400,139.2577813,35.73277965
1322803500,139.2547601,35.72112947
1322803600,139.2599786,35.72578417
1322803700,139.2655061,35.72422335
1322803800,139.2567513,35.72104585
1322803900,139.2560647,35.72037689
1322804000,139.2570946,35.71934556
1322804100,139.2376282,35.72299696
1322804200,139.2873744,35.75373129
1322804300,139.2879237,35.7515023
1322804400,139.289812,35.74553947
1322804500,139.2836665,35.74317093
1322804600,139.2947987,35.74245687
1322804701,139.2936829,35.74205282
1322804702,139.2946099,35.74208068
1322804703,139.2939747,35.74160696
1322804704,139.2969102,35.74096604
1322804800,139.2984723,35.7409939
1322804900,139.3028325,35.74060377
1322805000,139.3013905,35.74056197
1322805100,139.3054589,35.73916864
1322805200,139.3060597,35.73751053
1322805300,139.2993199,35.75091892
1322805400,139.3045384,35.74785395
1322805500,139.3084522,35.74905209
1322805600,139.310083,35.74658613
1322805700,139.3081947,35.74544368
1322805800,139.3054825,35.74209984
1322805900,139.3102547,35.73739035
1322805901,139.3067185,35.74028853
1322805902,139.3087441,35.74000986
1322805903,139.3076733,35.73843016
1322805904,139.3076218,35.73787281
1322805905,139.3104886,35.73790068
1322805906,139.3114499,35.73707859
1322805907,139.3137845,35.7352811
1322805908,139.3142651,35.7348352
